solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 93.04 s
objective value: 282021.66

stacks (top to bottom):
stack 0:    
stack 1:    251 
stack 2:    
stack 3:    3 
stack 4:    254 4 
stack 5:    5 
stack 6:    
stack 7:    
stack 8:    257 
stack 9:    259 
stack 10:    260 
stack 11:    261 
stack 12:    262 
stack 13:    15 25 335 411 134 
stack 14:    228 493 290 266 264 
stack 15:    268 123 202 116 99 
stack 16:    75 122 48 203 32 
stack 17:    281 277 270 285 17 
stack 18:    230 313 26 166 418 
stack 19:    28 437 161 103 480 
stack 20:    306 483 383 498 282 
stack 21:    275 29 174 27 271 
stack 22:    239 343 214 286 138 
stack 23:    231 144 458 327 380 
stack 24:    376 420 210 375 440 
stack 25:    346 390 89 195 70 
stack 26:    78 490 279 121 184 
stack 27:    105 157 398 246 221 
stack 28:    54 422 190 147 152 
stack 29:    34 323 373 461 341 
stack 30:    348 342 39 392 191 
stack 31:    109 170 291 449 381 
stack 32:    395 405 248 102 43 
stack 33:    318 463 80 357 61 
stack 34:    287 382 325 485 179 
stack 35:    108 55 448 352 145 
stack 36:    363 126 57 454 443 
stack 37:    87 292 497 45 247 
stack 38:    237 295 38 459 74 
stack 39:    120 361 172 468 289 
stack 40:    51 403 378 442 441 
stack 41:    414 169 243 417 233 
stack 42:    388 205 316 489 125 
stack 43:    484 486 453 336 293 
stack 44:    196 204 112 164 186 
stack 45:    133 49 213 452 234 
stack 46:    328 176 197 249 65 
stack 47:    433 423 354 360 345 
stack 48:    64 436 407 201 107 
stack 49:    199 182 227 151 471 
stack 50:    118 391 139 435 450 
stack 51:    119 110 149 324 310 
stack 52:    474 477 312 334 364 
stack 53:    245 91 464 356 160 
stack 54:    374 129 482 350 238 
stack 55:    143 451 408 220 492 
stack 56:    332 384 114 355 244 
stack 57:    447 479 400 470 347 
stack 58:    467 104 386 136 219 
stack 59:    404 321 187 194 379 
stack 60:    0 250 
stack 61:    2 
stack 62:    1 252 
stack 63:    253 
stack 64:    
stack 65:    255 
stack 66:    6 256 
stack 67:    7 
stack 68:    8 258 9 
stack 69:    10 
stack 70:    
stack 71:    11 
stack 72:    385 14 263 85 12 
stack 73:    340 81 311 315 13 
stack 74:    265 456 16 180 274 
stack 75:    267 269 399 425 319 
stack 76:    365 21 276 432 24 
stack 77:    462 481 90 370 369 
stack 78:    86 127 320 278 18 
stack 79:    20 19 23 37 35 
stack 80:    273 308 82 106 338 
stack 81:    178 142 272 47 22 
stack 82:    402 495 173 406 50 
stack 83:    472 499 162 359 419 
stack 84:    206 236 216 362 93 
stack 85:    488 283 225 131 209 
stack 86:    368 165 183 377 33 
stack 87:    317 280 135 60 284 
stack 88:    427 46 300 36 30 
stack 89:    445 302 31 140 163 
stack 90:    111 137 298 72 73 
stack 91:    242 117 42 181 367 
stack 92:    294 132 460 288 330 
stack 93:    215 69 150 158 240 
stack 94:    44 305 97 409 41 
stack 95:    296 155 154 59 413 
stack 96:    68 241 84 235 63 
stack 97:    415 309 62 153 232 
stack 98:    101 66 146 333 156 
stack 99:    297 475 208 389 487 
stack 100:    40 88 188 53 52 
stack 101:    351 130 366 478 401 
stack 102:    326 339 337 177 211 
stack 103:    79 371 476 349 94 
stack 104:    229 200 141 496 446 
stack 105:    207 92 434 314 430 
stack 106:    113 96 387 71 189 
stack 107:    412 457 372 212 98 
stack 108:    344 77 416 193 322 
stack 109:    171 329 304 299 218 
stack 110:    301 394 58 455 175 
stack 111:    303 444 307 438 466 
stack 112:    167 465 222 224 100 
stack 113:    428 469 76 192 491 
stack 114:    148 198 95 424 124 
stack 115:    223 128 396 185 56 
stack 116:    217 393 473 421 494 
stack 117:    115 353 358 439 410 
stack 118:    331 226 159 168 426 
stack 119:    429 431 67 397 83 
