instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
750_130_7_17,GH + HC,3600.0,1024.84,692261.76,59951.0,8.0,286.593,540,890
750_130_7_18,LB,3600.0,-,692233.9,-,-,-,-,-
750_130_7_18,BinP,3600.0,3601.80,692239.96
750_130_7_18,GH,3600.0,0.00,749752.0
750_130_7_18,GH + TS,3600.0,897.04,692239.96,57512.0,8.0,80.341,166,516
750_130_7_18,GH + HC,3600.0,608.15,692239.96,57512.0,8.0,55.713,94,444
750_130_7_19,LB,3600.0,-,692236.34,-,-,-,-,-
750_130_7_19,BinP,3600.0,1828.82,692247.28
750_130_7_19,GH,3600.0,0.00,750351.94
750_130_7_19,GH + TS,3600.0,913.76,692260.58,58091.0,8.0,70.089,156,506
750_130_7_19,GH + HC,3600.0,1091.67,692247.28,58105.0,8.0,345.782,569,919
