solved with: SP.post_optimization_methods.LocalSearch
time limit: 2700.0 s
time to solve: 17.29 s
objective value: 211702.6

stacks (top to bottom):
stack 0:    250 
stack 1:    
stack 2:    
stack 3:    
stack 4:    254 
stack 5:    255 
stack 6:    256 
stack 7:    7 
stack 8:    258 
stack 9:    259 
stack 10:    
stack 11:    261 
stack 12:    262 
stack 13:    
stack 14:    14 
stack 15:    15 
stack 16:    
stack 17:    267 
stack 18:    268 
stack 19:    269 
stack 20:    20 
stack 21:    271 
stack 22:    22 
stack 23:    23 
stack 24:    
stack 25:    
stack 26:    282 26 27 
stack 27:    478 278 277 
stack 28:    30 456 45 
stack 29:    31 32 279 
stack 30:    472 281 280 
stack 31:    33 461 35 
stack 32:    34 46 49 
stack 33:    293 484 296 
stack 34:    285 474 284 
stack 35:    469 60 61 
stack 36:    44 39 41 
stack 37:    288 476 289 
stack 38:    63 468 62 
stack 39:    301 302 482 
stack 40:    291 290 475 
stack 41:    43 42 365 
stack 42:    366 68 69 
stack 43:    316 493 313 
stack 44:    448 331 329 
stack 45:    369 70 71 
stack 46:    330 327 436 
stack 47:    305 486 306 
stack 48:    370 77 76 
stack 49:    490 303 304 
stack 50:    488 309 308 
stack 51:    319 441 318 
stack 52:    376 82 81 
stack 53:    324 325 437 
stack 54:    84 83 380 
stack 55:    335 491 334 
stack 56:    430 199 201 
stack 57:    182 372 91 
stack 58:    458 236 233 
stack 59:    346 215 347 
stack 60:    494 345 344 
stack 61:    183 86 422 
stack 62:    379 94 95 
stack 63:    90 374 93 
stack 64:    237 455 235 
stack 65:    399 140 141 
stack 66:    460 418 174 
stack 67:    202 431 203 
stack 68:    198 432 200 
stack 69:    121 120 394 
stack 70:    171 169 413 
stack 71:    404 150 151 
stack 72:    205 442 204 
stack 73:    407 152 153 
stack 74:    433 211 213 
stack 75:    429 388 109 
stack 76:    103 390 100 
stack 77:    248 249 111 
stack 78:    163 411 162 
stack 79:    220 221 440 
stack 80:    197 196 434 
stack 81:    132 402 133 
stack 82:    378 104 105 
stack 83:    406 147 146 
stack 84:    383 107 106 
stack 85:    226 446 445 
stack 86:    229 227 457 
stack 87:    409 157 145 
stack 88:    137 353 352 
stack 89:    102 393 101 
stack 90:    165 164 412 
stack 91:    234 231 228 
stack 92:    423 180 181 
stack 93:    143 403 142 
stack 94:    417 167 166 
stack 95:    451 232 230 
stack 96:    122 408 124 
stack 97:    240 454 241 
stack 98:    401 149 148 
stack 99:    125 123 385 
stack 100:    426 186 189 
stack 101:    0 
stack 102:    1 251 
stack 103:    252 2 
stack 104:    253 3 
stack 105:    4 
stack 106:    5 
stack 107:    6 
stack 108:    257 
stack 109:    8 
stack 110:    9 260 
stack 111:    10 
stack 112:    11 
stack 113:    12 
stack 114:    263 
stack 115:    264 13 
stack 116:    265 
stack 117:    16 266 
stack 118:    17 
stack 119:    18 
stack 120:    19 
stack 121:    270 
stack 122:    21 
stack 123:    272 
stack 124:    273 
stack 125:    25 24 274 
stack 126:    275 471 
stack 127:    36 473 276 
stack 128:    175 28 29 
stack 129:    299 298 477 
stack 130:    67 66 368 
stack 131:    40 38 467 
stack 132:    283 480 363 
stack 133:    55 466 56 
stack 134:    479 286 287 
stack 135:    208 310 311 
stack 136:    292 294 483 
stack 137:    485 295 297 
stack 138:    47 48 37 
stack 139:    300 114 307 
stack 140:    51 53 463 
stack 141:    50 465 52 
stack 142:    57 470 54 
stack 143:    320 217 321 
stack 144:    371 74 75 
stack 145:    79 373 80 
stack 146:    462 65 64 
stack 147:    216 323 322 
stack 148:    464 58 59 
stack 149:    317 315 206 
stack 150:    450 328 326 
stack 151:    443 314 312 
stack 152:    73 72 375 
stack 153:    333 332 489 
stack 154:    367 89 78 
stack 155:    336 338 492 
stack 156:    88 386 92 
stack 157:    113 452 392 
stack 158:    377 85 87 
stack 159:    96 97 381 
stack 160:    194 340 342 
stack 161:    339 209 337 
stack 162:    244 453 245 
stack 163:    117 116 384 
stack 164:    136 396 138 
stack 165:    359 496 361 
stack 166:    398 126 127 
stack 167:    115 387 487 
stack 168:    98 382 99 
stack 169:    360 351 139 
stack 170:    177 176 420 
stack 171:    212 195 428 
stack 172:    348 481 350 
stack 173:    497 356 355 
stack 174:    459 242 243 
stack 175:    341 495 343 
stack 176:    159 414 161 
stack 177:    214 354 349 
stack 178:    449 246 247 
stack 179:    128 130 397 
stack 180:    499 357 358 
stack 181:    154 156 410 
stack 182:    439 222 223 
stack 183:    395 108 110 
stack 184:    415 155 158 
stack 185:    225 224 444 
stack 186:    129 131 400 
stack 187:    498 364 362 
stack 188:    192 112 193 
stack 189:    179 178 421 
stack 190:    447 238 239 
stack 191:    190 188 425 
stack 192:    391 134 135 
stack 193:    118 389 119 
stack 194:    210 207 435 
stack 195:    416 170 168 
stack 196:    438 218 219 
stack 197:    144 405 160 
stack 198:    187 191 427 
stack 199:    184 185 424 
stack 200:    419 172 173 
