solved with: SP.post_optimization_methods.LocalSearch
time limit: 2700.0 s
time to solve: 34.81 s
objective value: 211714.72

stacks (top to bottom):
stack 0:    0 
stack 1:    1 
stack 2:    
stack 3:    3 
stack 4:    254 
stack 5:    5 
stack 6:    
stack 7:    257 
stack 8:    8 
stack 9:    259 
stack 10:    10 
stack 11:    
stack 12:    
stack 13:    
stack 14:    14 
stack 15:    15 
stack 16:    16 
stack 17:    267 
stack 18:    
stack 19:    19 
stack 20:    20 
stack 21:    271 
stack 22:    22 
stack 23:    
stack 24:    
stack 25:    28 
stack 26:    35 34 280 
stack 27:    31 214 33 
stack 28:    285 289 148 
stack 29:    293 208 291 
stack 30:    243 302 296 
stack 31:    399 288 283 
stack 32:    107 77 32 
stack 33:    410 68 69 
stack 34:    284 483 149 
stack 35:    294 295 209 
stack 36:    39 173 37 
stack 37:    303 221 301 
stack 38:    42 213 43 
stack 39:    305 194 307 
stack 40:    223 319 321 
stack 41:    420 49 48 
stack 42:    324 327 225 
stack 43:    58 59 408 
stack 44:    476 53 51 
stack 45:    478 328 330 
stack 46:    62 431 60 
stack 47:    311 456 310 
stack 48:    415 71 76 
stack 49:    75 418 222 
stack 50:    164 329 331 
stack 51:    80 81 428 
stack 52:    314 316 463 
stack 53:    363 360 137 
stack 54:    448 345 347 
stack 55:    312 313 198 
stack 56:    234 342 341 
stack 57:    70 72 457 
stack 58:    442 351 350 
stack 59:    192 193 187 
stack 60:    204 424 205 
stack 61:    145 144 391 
stack 62:    92 475 87 
stack 63:    152 171 453 
stack 64:    186 183 184 
stack 65:    119 487 116 
stack 66:    155 150 496 
stack 67:    129 128 480 
stack 68:    460 105 96 
stack 69:    162 403 405 
stack 70:    142 334 159 
stack 71:    390 373 134 
stack 72:    90 462 88 
stack 73:    344 491 343 
stack 74:    439 83 82 
stack 75:    220 219 437 
stack 76:    337 338 211 
stack 77:    237 239 467 
stack 78:    110 108 466 
stack 79:    140 494 441 
stack 80:    445 103 468 
stack 81:    200 185 201 
stack 82:    356 216 215 
stack 83:    109 111 470 
stack 84:    156 158 497 
stack 85:    353 354 139 
stack 86:    499 136 133 
stack 87:    452 181 188 
stack 88:    369 240 372 
stack 89:    138 238 374 
stack 90:    436 246 248 
stack 91:    386 387 485 
stack 92:    384 388 440 
stack 93:    244 376 377 
stack 94:    206 411 207 
stack 95:    115 472 114 
stack 96:    358 417 359 
stack 97:    368 370 177 
stack 98:    357 443 395 
stack 99:    131 132 493 
stack 100:    486 385 389 
stack 101:    250 
stack 102:    251 252 
stack 103:    2 
stack 104:    253 
stack 105:    4 255 
stack 106:    
stack 107:    6 256 
stack 108:    7 
stack 109:    258 
stack 110:    9 
stack 111:    260 
stack 112:    261 
stack 113:    11 12 262 
stack 114:    13 263 
stack 115:    264 
stack 116:    265 
stack 117:    266 
stack 118:    17 
stack 119:    18 
stack 120:    268 269 
stack 121:    270 
stack 122:    21 
stack 123:    272 
stack 124:    23 273 
stack 125:    274 25 24 
stack 126:    275 
stack 127:    26 30 276 
stack 128:    277 278 27 
stack 129:    29 36 38 
stack 130:    279 247 281 
stack 131:    56 282 57 
stack 132:    427 287 286 
stack 133:    151 45 44 
stack 134:    40 474 41 
stack 135:    50 398 52 
stack 136:    218 66 67 
stack 137:    304 297 196 
stack 138:    224 300 299 
stack 139:    292 290 429 
stack 140:    166 317 320 
stack 141:    430 65 64 
stack 142:    79 78 458 
stack 143:    46 182 47 
stack 144:    426 63 61 
stack 145:    407 412 406 
stack 146:    199 309 308 
stack 147:    55 54 249 
stack 148:    242 298 306 
stack 149:    318 464 315 
stack 150:    176 371 375 
stack 151:    73 419 74 
stack 152:    379 378 245 
stack 153:    348 339 235 
stack 154:    438 84 86 
stack 155:    433 93 91 
stack 156:    465 195 197 
stack 157:    352 495 355 
stack 158:    102 101 449 
stack 159:    447 346 349 
stack 160:    113 477 112 
stack 161:    120 121 481 
stack 162:    118 117 471 
stack 163:    169 422 168 
stack 164:    397 396 163 
stack 165:    479 323 322 
stack 166:    122 488 123 
stack 167:    423 160 161 
stack 168:    153 392 154 
stack 169:    364 451 365 
stack 170:    361 362 416 
stack 171:    459 325 326 
stack 172:    490 125 124 
stack 173:    228 229 434 
stack 174:    210 336 340 
stack 175:    461 95 100 
stack 176:    157 332 333 
stack 177:    241 444 236 
stack 178:    414 85 89 
stack 179:    401 404 413 
stack 180:    381 380 141 
stack 181:    226 435 227 
stack 182:    335 498 143 
stack 183:    189 190 191 
stack 184:    172 409 175 
stack 185:    97 94 421 
stack 186:    383 382 489 
stack 187:    174 170 402 
stack 188:    126 484 127 
stack 189:    367 366 450 
stack 190:    482 135 130 
stack 191:    104 473 106 
stack 192:    455 179 178 
stack 193:    492 165 167 
stack 194:    98 99 432 
stack 195:    425 203 202 
stack 196:    147 146 400 
stack 197:    212 446 217 
stack 198:    231 454 230 
stack 199:    469 393 394 
stack 200:    233 180 232 
