solved with: SP.post_optimization_methods.LocalSearch
time limit: 2700.0 s
time to solve: 799.06 s
objective value: 211724.4

stacks (top to bottom):
stack 0:    250 
stack 1:    
stack 2:    252 
stack 3:    
stack 4:    254 
stack 5:    5 
stack 6:    6 256 
stack 7:    
stack 8:    
stack 9:    259 
stack 10:    260 
stack 11:    
stack 12:    262 
stack 13:    
stack 14:    264 
stack 15:    15 
stack 16:    266 16 
stack 17:    
stack 18:    268 
stack 19:    
stack 20:    20 
stack 21:    
stack 22:    
stack 23:    
stack 24:    24 274 
stack 25:    
stack 26:    280 439 30 
stack 27:    27 282 29 
stack 28:    448 278 281 
stack 29:    493 289 290 
stack 30:    50 36 441 
stack 31:    298 233 295 
stack 32:    40 41 177 
stack 33:    291 488 292 
stack 34:    226 35 37 
stack 35:    51 52 168 
stack 36:    314 301 175 
stack 37:    43 42 169 
stack 38:    58 248 55 
stack 39:    485 49 48 
stack 40:    64 56 391 
stack 41:    54 222 53 
stack 42:    69 180 68 
stack 43:    63 392 65 
stack 44:    315 318 423 
stack 45:    303 304 475 
stack 46:    481 323 322 
stack 47:    326 464 328 
stack 48:    487 302 299 
stack 49:    67 66 387 
stack 50:    137 138 426 
stack 51:    389 75 72 
stack 52:    134 130 419 
stack 53:    84 81 393 
stack 54:    124 125 418 
stack 55:    351 352 189 
stack 56:    465 332 333 
stack 57:    399 98 99 
stack 58:    166 167 452 
stack 59:    151 150 436 
stack 60:    157 433 156 
stack 61:    239 240 482 
stack 62:    427 148 146 
stack 63:    110 111 405 
stack 64:    154 155 449 
stack 65:    438 162 161 
stack 66:    231 469 230 
stack 67:    173 461 170 
stack 68:    359 183 356 
stack 69:    188 353 350 
stack 70:    103 408 102 
stack 71:    330 430 331 
stack 72:    243 495 242 
stack 73:    79 82 394 
stack 74:    429 336 334 
stack 75:    402 87 89 
stack 76:    483 219 220 
stack 77:    122 415 123 
stack 78:    354 358 499 
stack 79:    413 126 127 
stack 80:    338 339 443 
stack 81:    217 479 218 
stack 82:    212 472 215 
stack 83:    160 444 163 
stack 84:    407 115 114 
stack 85:    88 397 85 
stack 86:    136 431 133 
stack 87:    171 437 172 
stack 88:    97 94 400 
stack 89:    209 478 208 
stack 90:    388 96 90 
stack 91:    91 92 396 
stack 92:    360 361 451 
stack 93:    165 446 164 
stack 94:    420 144 143 
stack 95:    373 377 228 
stack 96:    380 382 192 
stack 97:    159 158 440 
stack 98:    187 381 384 
stack 99:    149 147 435 
stack 100:    498 245 244 
stack 101:    0 
stack 102:    1 
stack 103:    251 2 
stack 104:    3 
stack 105:    4 253 
stack 106:    
stack 107:    255 
stack 108:    257 
stack 109:    7 8 
stack 110:    258 9 
stack 111:    10 
stack 112:    11 261 
stack 113:    12 
stack 114:    13 263 
stack 115:    14 
stack 116:    265 
stack 117:    
stack 118:    17 267 
stack 119:    18 
stack 120:    269 
stack 121:    270 19 
stack 122:    21 271 
stack 123:    22 272 
stack 124:    23 273 
stack 125:    25 
stack 126:    275 26 
stack 127:    28 276 277 
stack 128:    296 279 489 
stack 129:    223 34 33 
stack 130:    283 458 176 
stack 131:    32 38 39 
stack 132:    287 447 31 
stack 133:    284 456 285 
stack 134:    300 492 297 
stack 135:    57 497 241 
stack 136:    466 293 294 
stack 137:    288 474 286 
stack 138:    249 45 44 
stack 139:    62 227 61 
stack 140:    312 311 425 
stack 141:    308 307 486 
stack 142:    135 320 321 
stack 143:    47 46 237 
stack 144:    310 484 309 
stack 145:    317 319 140 
stack 146:    73 77 390 
stack 147:    325 480 324 
stack 148:    232 305 306 
stack 149:    78 395 76 
stack 150:    386 59 60 
stack 151:    80 74 412 
stack 152:    316 313 467 
stack 153:    459 198 194 
stack 154:    401 71 70 
stack 155:    327 329 214 
stack 156:    139 428 145 
stack 157:    225 224 476 
stack 158:    202 468 201 
stack 159:    445 195 191 
stack 160:    199 200 462 
stack 161:    203 197 471 
stack 162:    421 131 132 
stack 163:    403 100 101 
stack 164:    106 406 107 
stack 165:    463 206 207 
stack 166:    368 367 190 
stack 167:    153 152 453 
stack 168:    179 174 455 
stack 169:    409 118 116 
stack 170:    349 442 347 
stack 171:    491 370 369 
stack 172:    490 376 372 
stack 173:    235 337 335 
stack 174:    247 246 494 
stack 175:    204 375 374 
stack 176:    234 340 341 
stack 177:    398 83 86 
stack 178:    105 104 410 
stack 179:    363 450 365 
stack 180:    120 121 417 
stack 181:    95 404 93 
stack 182:    432 344 345 
stack 183:    216 346 348 
stack 184:    142 141 422 
stack 185:    113 411 112 
stack 186:    342 343 434 
stack 187:    496 355 357 
stack 188:    196 454 193 
stack 189:    385 383 186 
stack 190:    414 108 109 
stack 191:    477 221 213 
stack 192:    416 119 117 
stack 193:    236 238 460 
stack 194:    184 457 185 
stack 195:    205 366 371 
stack 196:    210 470 211 
stack 197:    362 182 364 
stack 198:    473 178 181 
stack 199:    129 424 128 
stack 200:    229 378 379 
