solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 121.60 s
objective value: 282007.1

stacks (top to bottom):
stack 0:    251 
stack 1:    1 
stack 2:    
stack 3:    
stack 4:    254 
stack 5:    5 
stack 6:    
stack 7:    7 
stack 8:    258 
stack 9:    
stack 10:    10 
stack 11:    11 
stack 12:    13 
stack 13:    305 140 143 486 292 
stack 14:    58 204 264 22 14 
stack 15:    265 306 185 465 55 
stack 16:    31 16 366 164 102 
stack 17:    17 361 19 205 190 
stack 18:    480 26 188 269 270 
stack 19:    25 70 369 20 66 
stack 20:    227 192 62 245 272 
stack 21:    281 481 145 476 483 
stack 22:    127 451 82 432 282 
stack 23:    75 403 290 447 280 
stack 24:    446 427 487 34 24 
stack 25:    479 83 442 393 493 
stack 26:    404 304 222 33 294 
stack 27:    60 390 497 59 471 
stack 28:    40 176 496 303 138 
stack 29:    136 115 335 220 322 
stack 30:    463 352 30 44 288 
stack 31:    477 68 368 199 163 
stack 32:    359 207 386 441 208 
stack 33:    193 215 148 301 482 
stack 34:    300 165 317 284 238 
stack 35:    78 320 456 389 438 
stack 36:    414 411 307 181 455 
stack 37:    244 373 169 38 198 
stack 38:    350 80 375 498 48 
stack 39:    218 413 247 99 499 
stack 40:    429 430 93 90 183 
stack 41:    467 46 213 445 63 
stack 42:    150 101 121 494 94 
stack 43:    478 372 240 458 209 
stack 44:    347 108 370 356 382 
stack 45:    311 340 214 439 180 
stack 46:    177 423 201 189 296 
stack 47:    410 329 122 113 126 
stack 48:    491 470 154 351 105 
stack 49:    425 71 310 174 394 
stack 50:    81 184 237 156 376 
stack 51:    336 312 161 129 323 
stack 52:    400 72 315 77 104 
stack 53:    53 200 321 112 462 
stack 54:    431 348 437 377 179 
stack 55:    210 125 355 448 106 
stack 56:    103 120 84 396 69 
stack 57:    378 74 118 405 402 
stack 58:    194 97 395 98 379 
stack 59:    325 387 337 152 406 
stack 60:    250 0 
stack 61:    2 
stack 62:    252 
stack 63:    3 
stack 64:    4 253 
stack 65:    255 
stack 66:    6 256 
stack 67:    257 
stack 68:    8 
stack 69:    9 259 
stack 70:    260 
stack 71:    261 
stack 72:    12 419 45 263 262 
stack 73:    266 130 434 267 365 
stack 74:    287 15 422 384 443 
stack 75:    18 35 226 302 42 
stack 76:    49 268 316 488 21 
stack 77:    23 27 313 490 418 
stack 78:    271 135 489 341 362 
stack 79:    285 274 357 459 424 
stack 80:    147 124 475 28 197 
stack 81:    37 279 248 468 173 
stack 82:    273 246 61 291 216 
stack 83:    324 277 332 276 229 
stack 84:    175 444 43 342 275 
stack 85:    128 41 385 47 278 
stack 86:    219 52 186 32 286 
stack 87:    412 29 91 464 142 
stack 88:    36 239 95 401 473 
stack 89:    283 330 484 346 338 
stack 90:    228 289 293 309 299 
stack 91:    435 426 295 131 380 
stack 92:    182 399 132 449 453 
stack 93:    85 206 39 339 166 
stack 94:    495 107 50 149 344 
stack 95:    235 408 233 79 167 
stack 96:    160 89 234 297 162 
stack 97:    436 225 334 134 111 
stack 98:    119 381 231 236 421 
stack 99:    223 110 211 221 398 
stack 100:    461 298 492 158 203 
stack 101:    454 151 457 333 178 
stack 102:    87 212 144 54 92 
stack 103:    374 358 308 331 51 
stack 104:    230 133 109 420 363 
stack 105:    417 137 474 187 415 
stack 106:    367 327 65 96 116 
stack 107:    172 343 76 242 56 
stack 108:    353 73 195 232 224 
stack 109:    460 139 153 409 249 
stack 110:    318 155 319 170 364 
stack 111:    146 88 123 67 383 
stack 112:    157 141 450 243 371 
stack 113:    354 202 100 452 314 
stack 114:    392 217 416 64 466 
stack 115:    440 86 326 114 391 
stack 116:    57 345 328 428 360 
stack 117:    433 196 397 191 171 
stack 118:    241 407 485 469 349 
stack 119:    117 168 388 472 159 
