solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 52.14 s
objective value: 281996.16

stacks (top to bottom):
stack 0:    
stack 1:    251 
stack 2:    252 
stack 3:    3 
stack 4:    
stack 5:    
stack 6:    6 
stack 7:    257 
stack 8:    
stack 9:    9 
stack 10:    
stack 11:    261 
stack 12:    
stack 13:    266 268 297 312 265 
stack 14:    276 274 320 372 159 
stack 15:    277 479 284 376 475 
stack 16:    477 18 16 30 366 
stack 17:    34 25 42 155 17 
stack 18:    216 282 93 29 77 
stack 19:    271 454 139 461 488 
stack 20:    429 23 302 210 22 
stack 21:    40 66 319 490 375 
stack 22:    371 87 121 384 164 
stack 23:    24 149 55 26 279 
stack 24:    249 73 102 383 209 
stack 25:    234 329 411 354 440 
stack 26:    364 101 385 423 43 
stack 27:    141 217 158 314 438 
stack 28:    94 483 233 96 171 
stack 29:    130 492 349 287 425 
stack 30:    378 452 357 381 208 
stack 31:    52 245 470 433 449 
stack 32:    299 143 46 491 335 
stack 33:    292 231 472 345 35 
stack 34:    285 190 499 127 146 
stack 35:    172 321 202 54 186 
stack 36:    443 346 154 289 471 
stack 37:    153 64 337 318 37 
stack 38:    105 95 389 124 38 
stack 39:    497 435 191 226 451 
stack 40:    211 420 58 183 110 
stack 41:    473 495 416 118 194 
stack 42:    464 339 72 394 60 
stack 43:    177 131 184 485 305 
stack 44:    307 228 336 123 468 
stack 45:    120 181 45 161 86 
stack 46:    112 247 380 197 362 
stack 47:    162 132 239 395 99 
stack 48:    419 341 230 50 166 
stack 49:    200 126 113 410 448 
stack 50:    128 51 332 61 317 
stack 51:    240 189 397 237 436 
stack 52:    404 323 147 331 80 
stack 53:    333 244 377 219 223 
stack 54:    351 442 236 225 356 
stack 55:    401 241 330 309 326 
stack 56:    246 227 400 379 338 
stack 57:    188 469 104 152 119 
stack 58:    496 428 405 92 176 
stack 59:    187 178 136 221 201 
stack 60:    0 250 
stack 61:    1 
stack 62:    2 
stack 63:    253 
stack 64:    254 4 
stack 65:    5 255 
stack 66:    256 
stack 67:    7 
stack 68:    258 
stack 69:    259 8 
stack 70:    10 260 
stack 71:    11 12 
stack 72:    263 13 264 262 15 
stack 73:    41 205 300 156 267 
stack 74:    21 14 343 36 275 
stack 75:    280 175 432 81 122 
stack 76:    273 390 374 32 369 
stack 77:    430 290 137 270 20 
stack 78:    218 19 283 458 269 
stack 79:    100 71 62 358 295 
stack 80:    222 272 49 85 286 
stack 81:    31 212 91 447 129 
stack 82:    409 407 304 89 90 
stack 83:    108 278 48 76 293 
stack 84:    370 179 301 27 281 
stack 85:    322 53 148 413 33 
stack 86:    28 361 294 418 39 
stack 87:    480 456 196 465 150 
stack 88:    111 368 70 445 170 
stack 89:    439 402 478 160 291 
stack 90:    163 360 59 421 398 
stack 91:    213 415 306 489 444 
stack 92:    198 463 185 441 334 
stack 93:    476 288 324 494 422 
stack 94:    382 367 481 134 359 
stack 95:    142 427 98 79 386 
stack 96:    453 455 493 474 169 
stack 97:    235 426 340 387 350 
stack 98:    229 56 347 417 424 
stack 99:    238 248 138 97 487 
stack 100:    303 296 414 165 114 
stack 101:    107 434 67 396 117 
stack 102:    437 224 298 460 408 
stack 103:    47 63 106 109 242 
stack 104:    83 57 182 457 44 
stack 105:    103 232 310 311 195 
stack 106:    206 482 75 84 466 
stack 107:    459 220 327 173 168 
stack 108:    78 215 140 403 467 
stack 109:    116 325 144 308 450 
stack 110:    167 344 352 393 82 
stack 111:    243 373 462 199 498 
stack 112:    406 342 328 135 486 
stack 113:    391 355 180 193 69 
stack 114:    399 446 348 363 192 
stack 115:    88 316 125 174 74 
stack 116:    68 214 365 203 207 
stack 117:    65 151 392 353 115 
stack 118:    412 204 388 157 431 
stack 119:    145 315 133 484 313 
