solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 44.94 s
objective value: 282019.22

stacks (top to bottom):
stack 0:    
stack 1:    251 
stack 2:    
stack 3:    
stack 4:    
stack 5:    5 
stack 6:    256 
stack 7:    7 
stack 8:    
stack 9:    258 259 
stack 10:    11 10 
stack 11:    
stack 12:    262 
stack 13:    480 268 269 17 16 
stack 14:    14 493 264 112 15 
stack 15:    161 413 184 267 364 
stack 16:    266 484 389 19 29 
stack 17:    380 18 24 231 354 
stack 18:    331 173 244 496 243 
stack 19:    286 223 393 194 475 
stack 20:    30 346 61 170 36 
stack 21:    271 298 340 144 412 
stack 22:    26 80 284 382 486 
stack 23:    387 281 42 483 190 
stack 24:    388 462 438 472 291 
stack 25:    307 48 371 324 373 
stack 26:    76 350 365 245 127 
stack 27:    198 289 203 78 215 
stack 28:    420 221 487 477 53 
stack 29:    89 134 66 120 336 
stack 30:    179 294 305 310 77 
stack 31:    352 235 35 396 433 
stack 32:    282 357 220 330 233 
stack 33:    381 44 466 33 290 
stack 34:    459 293 345 50 353 
stack 35:    72 226 75 402 297 
stack 36:    180 46 375 87 70 
stack 37:    237 225 248 162 360 
stack 38:    440 320 63 187 91 
stack 39:    469 96 110 246 111 
stack 40:    492 408 425 356 474 
stack 41:    196 95 414 439 224 
stack 42:    470 247 295 471 304 
stack 43:    45 326 168 136 369 
stack 44:    145 424 105 363 343 
stack 45:    449 445 442 422 335 
stack 46:    113 126 391 485 415 
stack 47:    313 300 123 405 460 
stack 48:    478 394 57 435 219 
stack 49:    199 309 427 156 100 
stack 50:    368 306 432 183 106 
stack 51:    347 149 200 476 171 
stack 52:    152 452 79 139 204 
stack 53:    108 444 419 397 121 
stack 54:    321 130 222 239 69 
stack 55:    467 114 316 98 488 
stack 56:    178 164 362 342 242 
stack 57:    216 395 491 443 68 
stack 58:    479 494 436 60 146 
stack 59:    327 385 407 461 348 
stack 60:    250 0 
stack 61:    2 1 
stack 62:    253 252 
stack 63:    3 
stack 64:    4 
stack 65:    255 254 
stack 66:    6 
stack 67:    257 
stack 68:    8 
stack 69:    9 
stack 70:    260 
stack 71:    261 
stack 72:    454 400 20 12 329 
stack 73:    263 13 274 21 434 
stack 74:    338 265 366 177 272 
stack 75:    22 401 299 448 275 
stack 76:    205 328 457 122 376 
stack 77:    202 399 315 34 181 
stack 78:    458 143 285 463 28 
stack 79:    468 490 132 129 287 
stack 80:    23 374 332 270 277 
stack 81:    88 323 283 167 86 
stack 82:    31 192 125 358 214 
stack 83:    32 312 450 273 140 
stack 84:    498 489 189 276 279 
stack 85:    428 25 27 54 455 
stack 86:    151 163 406 341 278 
stack 87:    211 398 384 93 288 
stack 88:    280 83 59 437 409 
stack 89:    465 118 116 109 482 
stack 90:    115 38 383 296 37 
stack 91:    131 71 41 456 148 
stack 92:    355 39 453 40 227 
stack 93:    207 141 49 361 228 
stack 94:    81 107 84 292 301 
stack 95:    47 319 325 379 314 
stack 96:    117 410 97 174 372 
stack 97:    236 101 430 154 359 
stack 98:    377 43 421 158 423 
stack 99:    337 213 133 311 175 
stack 100:    404 185 217 142 191 
stack 101:    344 206 302 176 317 
stack 102:    230 390 349 473 499 
stack 103:    90 124 166 201 135 
stack 104:    417 62 155 153 119 
stack 105:    94 229 51 73 431 
stack 106:    52 56 104 55 351 
stack 107:    238 208 102 411 249 
stack 108:    418 497 481 240 58 
stack 109:    322 446 303 441 182 
stack 110:    159 150 392 186 212 
stack 111:    403 197 386 92 209 
stack 112:    232 103 138 160 147 
stack 113:    464 308 193 234 429 
stack 114:    367 74 339 318 333 
stack 115:    195 188 241 218 128 
stack 116:    447 137 426 378 82 
stack 117:    416 64 157 169 67 
stack 118:    334 495 210 99 85 
stack 119:    370 165 172 451 65 
