solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 62.48 s
objective value: 282009.54

stacks (top to bottom):
stack 0:    250 
stack 1:    251 
stack 2:    252 
stack 3:    
stack 4:    
stack 5:    255 
stack 6:    
stack 7:    7 257 
stack 8:    8 
stack 9:    9 
stack 10:    
stack 11:    11 
stack 12:    12 
stack 13:    102 247 264 37 19 
stack 14:    134 318 269 22 429 
stack 15:    477 353 267 24 266 
stack 16:    422 233 181 52 35 
stack 17:    335 51 415 345 212 
stack 18:    53 25 291 288 271 
stack 19:    471 295 20 359 21 
stack 20:    178 438 49 475 164 
stack 21:    146 464 158 468 424 
stack 22:    453 190 382 388 279 
stack 23:    327 410 451 29 302 
stack 24:    219 292 72 466 286 
stack 25:    242 26 118 224 96 
stack 26:    350 485 296 351 369 
stack 27:    395 372 194 433 27 
stack 28:    244 114 93 420 28 
stack 29:    43 298 280 370 403 
stack 30:    439 317 289 148 450 
stack 31:    82 195 47 374 33 
stack 32:    310 473 193 373 203 
stack 33:    285 413 486 226 290 
stack 34:    141 347 331 402 119 
stack 35:    309 385 39 465 301 
stack 36:    427 307 168 131 432 
stack 37:    197 165 155 56 170 
stack 38:    153 431 222 322 81 
stack 39:    348 328 383 303 408 
stack 40:    140 441 210 294 421 
stack 41:    83 332 213 84 205 
stack 42:    60 419 120 152 304 
stack 43:    116 206 182 482 184 
stack 44:    339 454 308 407 80 
stack 45:    338 191 137 45 167 
stack 46:    160 123 297 216 64 
stack 47:    418 461 218 365 300 
stack 48:    434 489 474 88 66 
stack 49:    496 124 412 428 110 
stack 50:    77 112 377 87 225 
stack 51:    449 95 187 448 202 
stack 52:    445 366 312 103 180 
stack 53:    122 111 495 172 490 
stack 54:    117 159 86 469 127 
stack 55:    67 436 435 314 98 
stack 56:    147 97 341 460 100 
stack 57:    57 104 163 68 183 
stack 58:    157 389 108 144 467 
stack 59:    357 69 132 491 426 
stack 60:    
stack 61:    0 1 
stack 62:    2 3 
stack 63:    253 
stack 64:    254 4 
stack 65:    5 256 
stack 66:    6 
stack 67:    
stack 68:    258 
stack 69:    259 
stack 70:    260 10 
stack 71:    261 
stack 72:    263 268 262 32 397 
stack 73:    125 367 55 344 13 
stack 74:    139 265 75 492 14 
stack 75:    18 272 31 306 15 
stack 76:    16 30 270 333 135 
stack 77:    54 17 179 442 275 
stack 78:    283 423 91 85 479 
stack 79:    398 245 380 273 278 
stack 80:    276 293 274 284 101 
stack 81:    381 23 204 430 34 
stack 82:    38 487 393 488 396 
stack 83:    238 192 358 281 324 
stack 84:    360 169 76 48 174 
stack 85:    313 493 394 462 173 
stack 86:    346 463 399 211 287 
stack 87:    455 277 458 406 42 
stack 88:    447 201 499 126 236 
stack 89:    130 133 363 41 484 
stack 90:    497 228 186 129 329 
stack 91:    36 319 94 387 237 
stack 92:    340 200 440 232 282 
stack 93:    46 150 334 414 376 
stack 94:    79 391 498 472 207 
stack 95:    315 90 199 417 136 
stack 96:    185 235 209 151 44 
stack 97:    92 240 384 128 214 
stack 98:    61 299 342 416 459 
stack 99:    234 362 400 40 336 
stack 100:    50 476 198 223 196 
stack 101:    138 305 378 478 375 
stack 102:    371 401 379 58 70 
stack 103:    74 425 106 456 364 
stack 104:    154 176 105 227 443 
stack 105:    189 217 220 248 175 
stack 106:    405 229 354 392 177 
stack 107:    215 437 230 323 330 
stack 108:    115 457 361 121 208 
stack 109:    71 221 59 320 241 
stack 110:    480 343 452 321 411 
stack 111:    349 162 149 166 481 
stack 112:    316 107 99 142 231 
stack 113:    409 368 78 337 143 
stack 114:    470 109 446 145 311 
stack 115:    390 444 161 356 171 
stack 116:    352 494 243 483 89 
stack 117:    326 62 404 65 325 
stack 118:    249 156 188 386 239 
stack 119:    73 246 63 355 113 
