instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_120_5_15,GH + HC,3600.0,205.44,282004.66,37972.0,12.0,78.722,21,71
500_120_5_16,LB,3600.0,-,282011.9,-,-,-,-,-
500_120_5_16,BinP,3600.0,656.69,282019.22,-,-,-,-,-
500_120_5_16,3Idx,3600.0,4089.31,311891.88,-,-,-,-,-
500_120_5_16,GH,3600.0,0.00,319188.52,-,-,-,-,-
500_120_5_16,GH + HC,3600.0,156.22,282019.22,39708.0,12.0,71.501,20,70
500_120_5_17,LB,3600.0,-,281998.6,-,-,-,-,-
500_120_5_17,BinP,3600.0,537.67,282003.48,-,-,-,-,-
500_120_5_17,3Idx,3600.0,3603.74,296446.12,-,-,-,-,-
500_120_5_17,GH,3600.0,0.00,320042.98,-,-,-,-,-
500_120_5_17,GH + HC,3600.0,174.7,282003.48,39191.0,12.0,96.779,24,74
500_120_5_18,LB,3600.0,-,281987.66,-,-,-,-,-
500_120_5_18,BinP,3600.0,624.15,281996.16,-,-,-,-,-
500_120_5_18,3Idx,3600.0,3963.26,305529.9,-,-,-,-,-
500_120_5_18,GH,3600.0,0.00,319679.38,-,-,-,-,-
500_120_5_18,GH + HC,3600.0,163.98,281996.16,36938.0,12.0,53.768,17,67
500_120_5_19,LB,3600.0,-,281997.34,-,-,-,-,-
500_120_5_19,BinP,3600.0,600.13,281999.78,-,-,-,-,-
500_120_5_19,GH,3600.0,0.00,318855.22,-,-,-,-,-
500_120_5_19,GH + HC,3600.0,180.2,281999.78,36468.0,11.0,72.895,20,70
