lower bound for relaxed s_ij: 501812.33

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1024635.17

stacks (top to bottom):
stack 0:    307 69 
stack 1:    130 717 
stack 2:    511 583 
stack 3:    850 592 
stack 4:    445 492 
stack 5:    961 202 
stack 6:    694 218 
stack 7:    689 888 
stack 8:    754 239 
stack 9:    773 237 
stack 10:    274 449 
stack 11:    436 884 
stack 12:    322 637 
stack 13:    609 965 
stack 14:    726 747 
stack 15:    755 335 
stack 16:    83 648 
stack 17:    820 701 
stack 18:    559 131 
stack 19:    802 135 
stack 20:    74 787 
stack 21:    253 730 
stack 22:    782 171 
stack 23:    311 167 
stack 24:    706 446 
stack 25:    721 912 
stack 26:    41 283 
stack 27:    671 899 
stack 28:    862 943 
stack 29:    920 116 
stack 30:    267 506 
stack 31:    705 741 
stack 32:    396 979 
stack 33:    756 39 
stack 34:    364 142 
stack 35:    764 29 
stack 36:    630 781 
stack 37:    73 96 
stack 38:    7 946 
stack 39:    917 960 
stack 40:    34 841 
stack 41:    249 651 
stack 42:    462 347 
stack 43:    500 209 
stack 44:    652 220 
stack 45:    295 427 
stack 46:    544 887 
stack 47:    110 343 
stack 48:    560 955 
stack 49:    806 417 
stack 50:    228 128 
stack 51:    410 281 
stack 52:    723 728 
stack 53:    865 759 
stack 54:    872 837 
stack 55:    871 621 
stack 56:    921 491 
stack 57:    360 320 
stack 58:    523 174 
stack 59:    340 610 
stack 60:    695 547 
stack 61:    62 377 
stack 62:    54 688 
stack 63:    731 966 
stack 64:    734 245 
stack 65:    524 895 
stack 66:    279 472 
stack 67:    852 250 
stack 68:    183 924 
stack 69:    913 811 
stack 70:    121 196 
stack 71:    794 443 
stack 72:    313 662 
stack 73:    866 5 
stack 74:    241 743 
stack 75:    708 458 
stack 76:    16 138 
stack 77:    517 356 
stack 78:    217 120 
stack 79:    584 17 
stack 80:    79 896 
stack 81:    159 405 
stack 82:    284 428 
stack 83:    290 878 
stack 84:    429 30 
stack 85:    680 727 
stack 86:    656 15 
stack 87:    812 304 
stack 88:    20 204 
stack 89:    674 790 
stack 90:    514 735 
stack 91:    618 665 
stack 92:    38 331 
stack 93:    389 319 
stack 94:    344 956 
stack 95:    457 629 
stack 96:    425 914 
stack 97:    875 456 
stack 98:    984 150 
stack 99:    567 997 
stack 100:    324 703 
stack 101:    507 608 
stack 102:    911 32 
stack 103:    788 700 
stack 104:    925 86 
stack 105:    580 771 
stack 106:    321 516 
stack 107:    412 118 
stack 108:    391 553 
stack 109:    690 981 
stack 110:    562 859 
stack 111:    593 818 
stack 112:    371 94 
stack 113:    683 280 
stack 114:    454 140 
stack 115:    370 101 
stack 116:    718 55 
stack 117:    505 1 
stack 118:    187 587 
stack 119:    444 102 
stack 120:    858 172 
stack 121:    619 424 
stack 122:    467 469 
stack 123:    21 332 
stack 124:    873 382 
stack 125:    876 413 
stack 126:    353 503 
