lower bound for relaxed s_ij: 1006898.48

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1208877.74

stacks (top to bottom):
stack 0:    907 856 368 235 
stack 1:    49 651 195 935 
stack 2:    755 417 103 450 
stack 3:    60 723 70 305 
stack 4:    237 863 477 889 
stack 5:    59 65 481 511 
stack 6:    473 164 200 822 
stack 7:    559 620 154 665 
stack 8:    525 77 946 432 
stack 9:    66 319 212 408 
stack 10:    792 141 294 491 
stack 11:    449 552 33 827 
stack 12:    1 635 830 718 
stack 13:    847 989 682 730 
stack 14:    896 34 940 409 
stack 15:    228 936 531 937 
stack 16:    666 960 46 97 
stack 17:    420 743 986 3 
stack 18:    451 526 664 902 
stack 19:    57 688 454 4 
stack 20:    820 798 463 446 
stack 21:    784 763 149 758 
stack 22:    341 649 945 124 
stack 23:    377 852 613 708 
stack 24:    895 75 842 540 
stack 25:    134 851 385 768 
stack 26:    404 72 746 51 
stack 27:    307 501 717 286 
stack 28:    921 392 290 270 
stack 29:    45 179 91 542 
stack 30:    700 878 646 817 
stack 31:    621 86 557 602 
stack 32:    619 329 826 964 
stack 33:    215 363 274 642 
stack 34:    644 793 543 306 
stack 35:    275 780 734 832 
stack 36:    117 749 658 222 
stack 37:    185 467 670 99 
stack 38:    865 582 355 335 
stack 39:    489 745 698 92 
stack 40:    181 757 401 833 
stack 41:    578 352 173 893 
stack 42:    696 246 973 67 
stack 43:    436 769 570 498 
stack 44:    315 685 512 667 
stack 45:    224 465 706 548 
stack 46:    433 604 163 425 
stack 47:    704 532 346 226 
stack 48:    376 617 505 412 
stack 49:    536 609 551 720 
stack 50:    974 80 252 208 
stack 51:    601 340 733 952 
stack 52:    104 742 492 483 
stack 53:    460 850 358 41 
stack 54:    561 366 744 928 
stack 55:    256 109 287 201 
stack 56:    660 971 773 283 
stack 57:    407 258 472 774 
stack 58:    741 311 925 324 
stack 59:    88 596 846 61 
stack 60:    203 257 52 938 
stack 61:    606 178 544 312 
stack 62:    388 54 554 464 
stack 63:    485 40 556 908 
stack 64:    650 808 171 926 
stack 65:    471 965 165 476 
stack 66:    10 848 170 736 
stack 67:    783 750 869 138 
stack 68:    546 953 261 263 
stack 69:    285 712 804 431 
stack 70:    95 813 545 834 
stack 71:    867 614 372 276 
stack 72:    378 360 82 336 
stack 73:    597 223 374 589 
stack 74:    177 807 811 883 
stack 75:    957 419 167 369 
stack 76:    493 383 113 627 
stack 77:    982 267 595 351 
stack 78:    527 56 791 753 
stack 79:    25 600 157 233 
stack 80:    334 216 539 461 
stack 81:    89 954 479 323 
stack 82:    415 775 594 764 
