instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
1000_300_4_00,LB,3600.0,-,1006892.42,-,-,-,-,-
1000_300_4_00,GH,3600.0,0.02,1202272.36,-,-,-,-,-
1000_300_4_00,GH + HC,3600.0,1063.74,1006905.8,195367.0,16.0,514.998,35,85
1000_300_4_01,LB,3600.0,-,1006863.22,-,-,-,-,-
1000_300_4_01,GH,3600.0,0.00,1205496.28,-,-,-,-,-
1000_300_4_01,GH + HC,3600.0,1019.57,1006881.48,198615.0,16.0,491.079,34,84
1000_300_4_02,LB,3600.0,-,1006855.9,-,-,-,-,-
1000_300_4_02,GH,3600.0,0.00,1205199.29,-,-,-,-,-
1000_300_4_02,GH + HC,3600.0,1061.06,1006877.86,198321.0,16.0,500.493,33,83
1000_300_4_03,LB,3600.0,-,1006854.72,-,-,-,-,-
1000_300_4_03,GH,3600.0,0.00,1212683.42,-,-,-,-,-
1000_300_4_03,GH + HC,3600.0,1104.83,1006881.48,205802.0,17.0,629.563,46,96
1000_300_4_04,LB,3600.0,-,1006860.86,-,-,-,-,-
1000_300_4_04,GH,3600.0,0.00,1206447.68,-,-,-,-,-
1000_300_4_04,GH + HC,3600.0,1284.26,1006875.5,199572.0,17.0,498.474,33,83
1000_300_4_05,LB,3600.0,-,1006888.72,-,-,-,-,-
1000_300_4_05,GH,3600.0,0.00,1212653.11,-,-,-,-,-
1000_300_4_05,GH + HC,3600.0,998.47,1006900.92,205752.0,17.0,499.347,33,83
1000_300_4_06,LB,3600.0,-,1006864.4,-,-,-,-,-
1000_300_4_06,GH,3600.0,0.00,1204750.87,-,-,-,-,-
1000_300_4_06,GH + HC,3600.0,1075.23,1006882.66,197868.0,16.0,516.324,34,84
1000_300_4_07,LB,3600.0,-,1006905.72,-,-,-,-,-
1000_300_4_07,GH,3600.0,0.00,1209520.09,-,-,-,-,-
1000_300_4_07,GH + HC,3600.0,1049.15,1006916.66,202603.0,17.0,489.972,34,84
1000_300_4_08,LB,3600.0,-,1006872.9,-,-,-,-,-
1000_300_4_08,GH,3600.0,0.00,1205175.11,-,-,-,-,-
1000_300_4_08,GH + HC,3600.0,1278.68,1006892.34,198283.0,16.0,822.568,62,112
1000_300_4_09,LB,3600.0,-,1006868.1,-,-,-,-,-
1000_300_4_09,GH,3600.0,0.00,1203981.23,-,-,-,-,-
1000_300_4_09,GH + HC,3600.0,1040.62,1006885.1,197096.0,16.0,472.869,32,82
1000_300_4_10,LB,3600.0,-,1006898.48,-,-,-,-,-
1000_300_4_10,GH,3600.0,0.00,1208877.74,-,-,-,-,-
1000_300_4_10,GH + HC,3600.0,1054.66,1006905.81,201972.0,17.0,474.72,31,81
1000_300_4_11,LB,3600.0,-,1006860.86,-,-,-,-,-
1000_300_4_11,GH,3600.0,0.00,1205793.19,-,-,-,-,-
1000_300_4_11,GH + HC,3600.0,1200.75,1006891.24,198902.0,16.0,752.65,52,102
1000_300_4_12,LB,3600.0,-,1006854.72,-,-,-,-,-
1000_300_4_12,GH,3600.0,0.00,1204550.91,-,-,-,-,-
1000_300_4_12,GH + HC,3600.0,1302.85,1006870.54,197680.0,16.0,488.542,33,83
1000_300_4_13,LB,3600.0,-,1006911.62,-,-,-,-,-
1000_300_4_13,GH,3600.0,0.00,1202363.25,-,-,-,-,-
1000_300_4_13,GH + HC,3600.0,1110.57,1006916.5,195447.0,16.0,451.308,30,80
1000_300_4_14,LB,3600.0,-,1006899.58,-,-,-,-,-
1000_300_4_14,GH,3600.0,0.00,1204981.18,-,-,-,-,-
1000_300_4_14,GH + HC,3600.0,1042.08,1006937.29,198044.0,16.0,569.185,33,83
1000_300_4_15,LB,3600.0,-,1006876.52,-,-,-,-,-
1000_300_4_15,GH,3600.0,0.00,1211586.57,-,-,-,-,-
1000_300_4_15,GH + HC,3600.0,1248.22,1006908.17,204678.0,17.0,802.833,61,111
1000_300_4_16,LB,3600.0,-,1006863.22,-,-,-,-,-
1000_300_4_16,GH,3600.0,0.00,1208308.1,-,-,-,-,-
1000_300_4_16,GH + HC,3600.0,1029.76,1006905.72,201402.0,17.0,531.668,34,84
1000_300_4_17,LB,3600.0,-,1006874.24,-,-,-,-,-
1000_300_4_17,GH,3600.0,0.00,1210550.27,-,-,-,-,-
1000_300_4_17,GH + HC,3600.0,1020.62,1006887.62,203663.0,17.0,430.337,29,79
1000_300_4_18,LB,3600.0,-,1006894.7,-,-,-,-,-
1000_300_4_18,GH,3600.0,0.00,1208186.92,-,-,-,-,-
1000_300_4_18,GH + HC,3600.0,984.95,1006912.96,201274.0,17.0,506.854,33,83
1000_300_4_19,LB,3600.0,-,1006894.62,-,-,-,-,-
1000_300_4_19,GH,3600.0,0.00,1211235.11,-,-,-,-,-
1000_300_4_19,GH + HC,3600.0,1043.02,1006926.26,204309.0,17.0,483.463,32,82
