lower bound for relaxed s_ij: 1006874.24

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1210550.27

stacks (top to bottom):
stack 0:    634 735 186 82 
stack 1:    180 222 953 574 
stack 2:    768 300 91 595 
stack 3:    535 899 164 855 
stack 4:    312 719 681 489 
stack 5:    145 189 682 331 
stack 6:    725 958 678 643 
stack 7:    74 633 752 570 
stack 8:    691 897 929 891 
stack 9:    42 113 72 119 
stack 10:    226 478 481 817 
stack 11:    892 416 765 919 
stack 12:    726 359 345 360 
stack 13:    453 484 794 262 
stack 14:    585 821 487 520 
stack 15:    668 386 444 666 
stack 16:    667 972 210 979 
stack 17:    151 162 284 117 
stack 18:    759 265 98 348 
stack 19:    701 594 954 430 
stack 20:    67 191 264 289 
stack 21:    569 956 879 811 
stack 22:    751 991 977 692 
stack 23:    516 163 212 809 
stack 24:    248 190 625 624 
stack 25:    205 981 182 686 
stack 26:    537 441 218 561 
stack 27:    746 717 336 77 
stack 28:    209 332 328 525 
stack 29:    551 173 452 139 
stack 30:    496 68 310 773 
stack 31:    604 732 50 403 
stack 32:    467 168 852 252 
stack 33:    49 550 108 36 
stack 34:    134 267 257 43 
stack 35:    100 616 366 462 
stack 36:    479 90 601 322 
stack 37:    279 728 915 219 
stack 38:    788 5 738 889 
stack 39:    894 141 118 705 
stack 40:    921 154 241 557 
stack 41:    148 506 185 200 
stack 42:    2 887 850 493 
stack 43:    401 627 923 740 
stack 44:    70 559 623 532 
stack 45:    803 531 153 99 
stack 46:    865 476 515 980 
stack 47:    908 445 374 687 
stack 48:    486 621 421 142 
stack 49:    395 184 798 45 
stack 50:    990 490 227 724 
stack 51:    769 622 194 58 
stack 52:    593 324 640 676 
stack 53:    436 851 249 466 
stack 54:    973 30 110 845 
stack 55:    853 662 944 868 
stack 56:    394 790 964 683 
stack 57:    592 356 713 62 
stack 58:    29 880 237 309 
stack 59:    684 132 85 785 
stack 60:    308 166 617 4 
stack 61:    73 273 671 63 
stack 62:    782 999 985 382 
stack 63:    882 549 234 758 
stack 64:    741 694 407 433 
stack 65:    518 632 488 672 
stack 66:    787 274 24 8 
stack 67:    64 34 639 839 
stack 68:    933 718 230 754 
stack 69:    657 411 548 393 
stack 70:    392 606 943 866 
stack 71:    824 213 629 291 
stack 72:    293 7 240 459 
stack 73:    792 771 169 685 
stack 74:    584 636 313 524 
stack 75:    998 333 143 10 
stack 76:    699 290 555 936 
stack 77:    399 722 960 201 
stack 78:    504 814 79 220 
stack 79:    256 281 836 51 
stack 80:    367 473 862 57 
stack 81:    270 330 414 426 
stack 82:    543 460 612 931 
stack 83:    628 841 500 804 
stack 84:    823 605 914 340 
stack 85:    149 898 32 46 
stack 86:    387 285 346 463 
stack 87:    895 22 651 760 
stack 88:    873 244 468 19 
stack 89:    56 673 44 597 
stack 90:    573 1 384 52 
stack 91:    417 420 955 214 
stack 92:    317 96 893 260 
stack 93:    299 888 363 140 
stack 94:    197 842 609 829 
stack 95:    698 456 949 805 
stack 96:    930 748 427 23 
stack 97:    646 704 679 215 
