lower bound for relaxed s_ij: 1006854.72

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1212683.42

stacks (top to bottom):
stack 0:    680 157 911 298 
stack 1:    388 184 928 156 
stack 2:    630 659 469 623 
stack 3:    401 572 197 60 
stack 4:    792 110 570 600 
stack 5:    961 115 373 489 
stack 6:    322 808 573 135 
stack 7:    962 560 687 420 
stack 8:    138 831 724 423 
stack 9:    981 201 975 624 
stack 10:    220 554 27 85 
stack 11:    166 759 775 205 
stack 12:    362 195 618 83 
stack 13:    230 542 280 761 
stack 14:    945 563 904 467 
stack 15:    64 422 459 729 
stack 16:    758 439 868 82 
stack 17:    900 367 320 639 
stack 18:    830 593 768 788 
stack 19:    19 893 162 233 
stack 20:    696 433 959 486 
stack 21:    552 350 366 232 
stack 22:    782 488 35 9 
stack 23:    736 807 877 337 
stack 24:    178 672 937 611 
stack 25:    12 404 805 537 
stack 26:    669 693 112 153 
stack 27:    77 468 229 148 
stack 28:    887 972 939 409 
stack 29:    260 709 859 32 
stack 30:    304 747 916 812 
stack 31:    70 199 190 757 
stack 32:    579 855 124 890 
stack 33:    349 641 8 271 
stack 34:    29 310 896 360 
stack 35:    678 267 726 169 
stack 36:    225 642 0 476 
stack 37:    358 175 876 481 
stack 38:    844 46 227 883 
stack 39:    492 779 882 451 
stack 40:    377 920 496 39 
stack 41:    174 813 302 336 
stack 42:    490 539 72 967 
stack 43:    950 461 657 973 
stack 44:    266 769 288 359 
stack 45:    172 462 725 857 
stack 46:    389 620 247 51 
stack 47:    226 491 982 41 
stack 48:    836 213 923 931 
stack 49:    668 894 647 674 
stack 50:    755 295 303 45 
stack 51:    117 684 335 652 
stack 52:    598 849 834 583 
stack 53:    299 745 889 794 
stack 54:    946 327 372 833 
stack 55:    413 881 231 106 
stack 56:    867 971 943 798 
stack 57:    799 7 848 648 
stack 58:    58 938 210 991 
stack 59:    602 547 644 79 
stack 60:    370 707 566 526 
stack 61:    827 645 356 956 
stack 62:    510 597 59 704 
stack 63:    118 24 888 653 
stack 64:    15 613 627 452 
stack 65:    979 381 514 255 
stack 66:    720 68 89 3 
stack 67:    643 874 933 425 
stack 68:    250 235 1 994 
stack 69:    43 410 484 615 
stack 70:    509 374 78 605 
stack 71:    252 596 516 581 
stack 72:    795 918 688 5 
stack 73:    995 706 609 521 
stack 74:    50 586 907 638 
stack 75:    392 694 308 732 
stack 76:    665 656 130 387 
stack 77:    546 282 925 852 
stack 78:    636 536 880 606 
stack 79:    466 571 365 256 
stack 80:    26 944 733 714 
stack 81:    447 957 418 870 
stack 82:    408 682 357 746 
stack 83:    88 816 577 965 
stack 84:    142 921 441 567 
stack 85:    494 500 690 430 
stack 86:    910 399 177 717 
stack 87:    340 603 817 818 
stack 88:    21 207 582 604 
stack 89:    103 941 436 325 
stack 90:    55 702 990 126 
stack 91:    403 22 518 499 
stack 92:    898 259 828 36 
stack 93:    168 265 806 974 
stack 94:    763 964 339 829 
stack 95:    710 25 393 722 
stack 96:    922 81 576 756 
stack 97:    658 121 929 446 
stack 98:    838 133 663 483 
stack 99:    540 846 66 708 
stack 100:    76 236 147 407 
stack 101:    612 667 558 369 
stack 102:    353 670 161 61 
stack 103:    963 406 390 594 
stack 104:    283 650 902 427 
stack 105:    533 479 221 872 
stack 106:    223 241 858 569 
stack 107:    155 555 664 330 
stack 108:    797 382 101 495 
stack 109:    145 771 619 345 
stack 110:    700 815 614 44 
stack 111:    801 57 739 826 
stack 112:    884 662 71 189 
stack 113:    891 523 814 541 
stack 114:    440 851 412 331 
stack 115:    254 329 899 511 
stack 116:    796 538 348 584 
stack 117:    405 286 578 966 
stack 118:    457 218 677 65 
stack 119:    712 626 734 568 
stack 120:    989 326 987 209 
stack 121:    434 104 790 865 
stack 122:    128 73 99 203 
stack 123:    951 140 332 588 
stack 124:    908 673 188 809 
stack 125:    485 472 914 355 
stack 126:    92 196 691 774 
stack 127:    269 960 930 531 
stack 128:    341 149 301 144 
stack 129:    191 996 512 383 
stack 130:    550 314 791 376 
stack 131:    633 853 681 132 
stack 132:    354 219 443 315 
stack 133:    258 666 819 525 
stack 134:    395 835 976 906 
stack 135:    988 845 94 159 
stack 136:    179 123 368 296 
stack 137:    505 811 986 823 
stack 138:    164 924 610 632 
stack 139:    556 33 47 30 
stack 140:    742 338 841 131 
stack 141:    695 527 246 18 
stack 142:    513 590 284 954 
stack 143:    306 480 721 825 
stack 144:    660 754 524 879 
stack 145:    251 482 56 574 
stack 146:    683 740 151 193 
stack 147:    120 685 158 503 
stack 148:    983 54 48 239 
stack 149:    417 635 948 840 
stack 150:    970 375 317 564 
stack 151:    969 470 766 200 
stack 152:    211 958 170 634 
stack 153:    649 575 508 352 
stack 154:    262 323 421 95 
stack 155:    591 856 111 313 
stack 156:    968 713 113 181 
stack 157:    607 493 646 780 
stack 158:    549 750 837 917 
stack 159:    585 371 198 289 
stack 160:    764 438 783 333 
stack 161:    37 139 978 136 
stack 162:    861 49 528 743 
stack 163:    661 784 122 114 
stack 164:    279 90 592 821 
stack 165:    871 765 679 224 
stack 166:    292 530 475 728 
stack 167:    450 692 842 903 
stack 168:    718 63 932 222 
stack 169:    892 2 502 268 
stack 170:    949 545 936 109 
stack 171:    562 160 762 463 
stack 172:    206 42 16 263 
stack 173:    752 245 248 428 
stack 174:    129 767 347 953 
stack 175:    854 445 520 909 
stack 176:    107 176 154 686 
stack 177:    397 654 432 185 
stack 178:    519 474 738 442 
stack 179:    934 629 869 23 
stack 180:    31 735 334 318 
stack 181:    895 398 108 748 
stack 182:    52 464 291 915 
stack 183:    379 361 134 631 
