lower bound for relaxed s_ij: 1006872.9

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1205175.11

stacks (top to bottom):
stack 0:    398 744 434 203 
stack 1:    454 316 248 118 
stack 2:    500 182 132 121 
stack 3:    967 97 624 258 
stack 4:    208 873 518 143 
stack 5:    25 989 164 352 
stack 6:    814 508 219 689 
stack 7:    365 681 755 591 
stack 8:    547 16 878 498 
stack 9:    19 948 138 685 
stack 10:    683 465 235 752 
stack 11:    708 749 986 828 
stack 12:    466 451 891 11 
stack 13:    943 66 895 355 
stack 14:    793 662 460 982 
stack 15:    933 273 250 522 
stack 16:    291 693 651 524 
stack 17:    396 700 760 658 
stack 18:    770 739 148 527 
stack 19:    613 837 315 807 
stack 20:    110 570 403 360 
stack 21:    885 858 425 480 
stack 22:    124 532 437 848 
stack 23:    419 543 37 911 
stack 24:    397 525 413 616 
stack 25:    533 366 528 905 
stack 26:    677 207 909 433 
stack 27:    488 997 627 275 
stack 28:    462 892 54 211 
stack 29:    176 633 169 994 
stack 30:    574 720 642 959 
stack 31:    669 988 129 240 
stack 32:    27 665 109 391 
stack 33:    131 394 924 761 
stack 34:    602 21 439 555 
stack 35:    382 56 244 608 
stack 36:    519 228 531 174 
stack 37:    914 130 154 577 
stack 38:    317 274 484 826 
stack 39:    463 4 898 857 
stack 40:    287 386 191 582 
stack 41:    46 497 649 501 
stack 42:    346 259 970 82 
stack 43:    205 829 567 872 
stack 44:    217 712 303 83 
stack 45:    173 618 784 496 
stack 46:    541 661 510 678 
stack 47:    503 457 35 179 
stack 48:    941 257 526 664 
stack 49:    181 330 792 841 
stack 50:    47 586 990 417 
stack 51:    490 401 36 146 
stack 52:    170 581 653 313 
stack 53:    799 269 343 86 
stack 54:    569 686 565 579 
stack 55:    161 900 276 22 
stack 56:    152 300 89 558 
stack 57:    326 325 512 723 
stack 58:    23 50 995 615 
stack 59:    867 172 407 888 
stack 60:    897 430 746 726 
stack 61:    763 436 929 718 
stack 62:    494 907 881 940 
stack 63:    134 297 455 762 
stack 64:    603 320 136 94 
stack 65:    992 144 106 435 
stack 66:    778 309 635 421 
stack 67:    192 139 978 88 
stack 68:    483 229 116 747 
stack 69:    957 583 578 779 
stack 70:    379 544 115 378 
stack 71:    20 991 640 953 
stack 72:    232 928 9 517 
stack 73:    716 810 856 185 
stack 74:    950 213 265 251 
stack 75:    701 369 620 51 
stack 76:    137 344 390 904 
stack 77:    284 478 464 972 
stack 78:    445 632 764 609 
stack 79:    3 589 511 646 
stack 80:    282 165 370 440 
stack 81:    731 73 971 28 
stack 82:    947 795 711 599 
stack 83:    714 127 919 348 
stack 84:    917 742 405 459 
stack 85:    41 372 786 798 
stack 86:    772 704 787 606 
stack 87:    987 221 196 44 
stack 88:    443 241 507 549 
stack 89:    102 96 815 245 
stack 90:    42 560 380 461 
stack 91:    550 730 821 266 
stack 92:    322 223 707 996 
stack 93:    745 631 505 112 
stack 94:    70 175 468 956 
stack 95:    692 626 69 585 
stack 96:    634 234 293 676 
stack 97:    332 698 734 769 
stack 98:    200 751 420 227 
stack 99:    151 973 166 966 
stack 100:    271 58 702 482 
stack 101:    820 960 694 835 
stack 102:    76 67 329 506 
stack 103:    803 195 851 371 
stack 104:    656 92 876 337 
stack 105:    302 884 542 155 
stack 106:    687 854 57 103 
stack 107:    954 117 491 596 
stack 108:    263 214 951 612 
stack 109:    108 796 426 523 
stack 110:    697 400 551 100 
stack 111:    30 60 921 879 
stack 112:    345 305 149 356 
stack 113:    668 105 844 937 
stack 114:    79 727 81 62 
stack 115:    458 969 667 119 
stack 116:    791 600 120 450 
stack 117:    629 90 539 913 
stack 118:    611 509 964 224 
stack 119:    472 883 819 843 
stack 120:    717 204 647 183 
stack 121:    801 984 985 823 
stack 122:    354 842 311 442 
stack 123:    52 236 607 113 
stack 124:    190 72 31 431 
stack 125:    381 562 388 14 
stack 126:    521 568 288 13 
stack 127:    515 537 412 479 
stack 128:    622 680 99 753 
stack 129:    554 410 684 780 
stack 130:    641 350 261 278 
stack 131:    628 983 414 408 
stack 132:    328 912 26 908 
stack 133:    743 559 593 660 
stack 134:    748 757 492 916 
stack 135:    813 816 428 870 
stack 136:    999 194 406 645 
stack 137:    709 254 432 981 
stack 138:    427 286 880 43 
stack 139:    65 321 249 104 
stack 140:    225 197 341 935 
stack 141:    580 655 805 920 
stack 142:    729 307 617 657 
stack 143:    383 29 775 201 
stack 144:    502 349 797 871 
stack 145:    808 18 189 74 
stack 146:    946 922 705 336 
stack 147:    252 335 832 998 
stack 148:    918 424 927 869 
stack 149:    619 833 452 256 
stack 150:    767 447 824 358 
stack 151:    353 107 865 754 
stack 152:    621 587 538 963 
