lower bound for relaxed s_ij: 1006855.9

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1205199.29

stacks (top to bottom):
stack 0:    573 390 676 775 
stack 1:    972 318 794 921 
stack 2:    53 510 591 978 
stack 3:    108 824 442 103 
stack 4:    744 128 640 903 
stack 5:    364 511 395 654 
stack 6:    180 798 3 658 
stack 7:    197 829 246 311 
stack 8:    98 67 801 489 
stack 9:    41 806 125 625 
stack 10:    240 647 845 345 
stack 11:    316 600 355 706 
stack 12:    863 450 529 766 
stack 13:    151 877 787 366 
stack 14:    769 320 466 985 
stack 15:    198 928 885 38 
stack 16:    859 61 922 302 
stack 17:    280 898 393 283 
stack 18:    632 896 482 332 
stack 19:    309 871 452 720 
stack 20:    462 994 704 175 
stack 21:    208 92 608 251 
stack 22:    497 804 278 551 
stack 23:    920 70 949 124 
stack 24:    69 905 930 268 
stack 25:    685 618 80 352 
stack 26:    506 749 281 448 
stack 27:    498 484 761 828 
stack 28:    638 89 639 718 
stack 29:    688 721 172 408 
stack 30:    114 970 827 582 
stack 31:    815 932 78 915 
stack 32:    349 487 259 929 
stack 33:    54 700 737 425 
stack 34:    65 350 793 753 
stack 35:    25 844 550 477 
stack 36:    884 430 127 436 
stack 37:    252 682 64 228 
stack 38:    405 939 173 201 
stack 39:    587 518 642 106 
stack 40:    713 536 239 423 
stack 41:    113 486 431 586 
stack 42:    157 537 940 585 
stack 43:    245 185 145 944 
stack 44:    474 221 655 560 
stack 45:    363 299 860 897 
stack 46:    479 464 513 584 
stack 47:    319 333 847 751 
stack 48:    875 785 263 531 
stack 49:    826 275 958 86 
stack 50:    4 689 388 998 
stack 51:    29 459 843 831 
stack 52:    936 100 203 415 
stack 53:    165 546 538 276 
stack 54:    610 382 756 653 
stack 55:    874 526 544 681 
stack 56:    837 384 516 93 
stack 57:    182 334 851 853 
stack 58:    199 264 110 385 
stack 59:    822 30 966 391 
stack 60:    925 736 378 621 
stack 61:    107 34 184 440 
stack 62:    62 611 914 520 
stack 63:    153 24 746 465 
stack 64:    813 732 368 641 
stack 65:    432 777 868 729 
stack 66:    567 754 111 870 
stack 67:    916 933 435 886 
stack 68:    447 780 144 419 
stack 69:    411 748 121 143 
stack 70:    946 588 547 215 
stack 71:    166 535 404 200 
stack 72:    768 565 882 926 
stack 73:    907 496 195 596 
stack 74:    971 109 558 657 
stack 75:    105 149 218 952 
stack 76:    989 126 314 68 
stack 77:    783 901 254 997 
stack 78:    27 644 296 399 
stack 79:    357 643 343 416 
stack 80:    745 412 983 652 
stack 81:    410 205 999 803 
stack 82:    174 129 207 354 
