lower bound for relaxed s_ij: 1006888.72

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1212653.11

stacks (top to bottom):
stack 0:    454 161 450 174 
stack 1:    186 392 865 25 
stack 2:    823 190 374 651 
stack 3:    79 458 206 626 
stack 4:    664 590 558 780 
stack 5:    252 961 776 666 
stack 6:    1 367 477 790 
stack 7:    989 317 858 929 
stack 8:    196 915 788 648 
stack 9:    567 731 398 740 
stack 10:    168 487 112 537 
stack 11:    141 775 455 892 
stack 12:    170 311 154 703 
stack 13:    819 941 515 816 
stack 14:    188 762 7 504 
stack 15:    338 151 751 579 
stack 16:    84 431 396 757 
stack 17:    298 505 486 721 
stack 18:    106 594 659 335 
stack 19:    390 187 16 738 
stack 20:    29 934 544 247 
stack 21:    379 722 629 153 
stack 22:    385 633 433 958 
stack 23:    974 674 853 690 
stack 24:    841 891 401 724 
stack 25:    107 893 297 273 
stack 26:    422 554 27 879 
stack 27:    669 656 570 763 
stack 28:    996 242 602 278 
stack 29:    508 543 685 342 
stack 30:    796 365 37 296 
stack 31:    935 520 798 119 
stack 32:    521 447 640 203 
stack 33:    864 955 391 227 
stack 34:    826 5 443 704 
stack 35:    789 696 410 409 
stack 36:    930 368 759 327 
stack 37:    777 70 49 604 
stack 38:    863 95 675 462 
stack 39:    852 860 624 530 
stack 40:    403 963 280 177 
stack 41:    46 461 331 460 
stack 42:    901 812 861 17 
stack 43:    614 73 421 234 
stack 44:    400 634 413 228 
stack 45:    560 621 846 638 
stack 46:    51 992 249 556 
stack 47:    45 292 299 783 
stack 48:    586 129 145 336 
stack 49:    127 465 178 384 
stack 50:    673 198 867 372 
stack 51:    237 143 353 948 
stack 52:    831 378 717 300 
stack 53:    663 660 444 138 
stack 54:    637 818 445 291 
stack 55:    902 982 388 535 
stack 56:    671 870 36 393 
stack 57:    115 165 233 746 
stack 58:    295 366 593 245 
stack 59:    641 795 609 264 
stack 60:    15 210 765 877 
stack 61:    836 611 873 270 
stack 62:    109 977 13 855 
stack 63:    67 878 0 263 
stack 64:    61 794 490 473 
stack 65:    116 889 337 339 
stack 66:    439 807 779 522 
stack 67:    53 199 572 699 
stack 68:    489 494 680 41 
stack 69:    513 733 843 334 
stack 70:    781 414 837 851 
stack 71:    183 358 181 529 
stack 72:    478 857 175 658 
stack 73:    960 618 563 565 
stack 74:    440 308 92 872 
stack 75:    480 185 180 519 
stack 76:    448 946 885 464 
