lower bound for relaxed s_ij: 1006892.42

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,02 s
objective value: 1202272.36

stacks (top to bottom):
stack 0:    932 525 23 744 
stack 1:    232 898 960 845 
stack 2:    810 501 415 323 
stack 3:    45 772 479 613 
stack 4:    308 588 70 886 
stack 5:    176 185 72 547 
stack 6:    700 598 619 725 
stack 7:    894 162 97 689 
stack 8:    518 321 434 330 
stack 9:    254 20 88 880 
stack 10:    482 505 535 223 
stack 11:    17 404 578 136 
stack 12:    373 457 870 495 
stack 13:    695 26 743 215 
stack 14:    239 466 647 586 
stack 15:    138 82 826 194 
stack 16:    620 783 158 787 
stack 17:    493 444 813 896 
stack 18:    438 51 284 762 
stack 19:    454 352 506 489 
stack 20:    437 310 278 867 
stack 21:    730 582 868 587 
stack 22:    651 720 972 262 
stack 23:    985 805 716 269 
stack 24:    377 672 904 60 
stack 25:    19 106 209 32 
stack 26:    705 900 811 824 
stack 27:    6 149 419 829 
stack 28:    852 172 757 774 
stack 29:    390 441 31 571 
stack 30:    115 584 881 885 
stack 31:    161 244 103 449 
stack 32:    54 447 110 383 
stack 33:    179 625 806 270 
stack 34:    131 864 653 328 
stack 35:    760 523 803 83 
stack 36:    498 163 395 71 
stack 37:    560 627 85 361 
stack 38:    901 55 126 174 
stack 39:    663 722 789 184 
stack 40:    424 279 324 871 
stack 41:    332 697 371 25 
stack 42:    517 641 851 105 
stack 43:    86 808 938 815 
stack 44:    494 272 890 369 
stack 45:    240 520 241 850 
stack 46:    739 63 166 252 
stack 47:    397 709 995 39 
stack 48:    507 830 360 522 
stack 49:    81 721 853 497 
stack 50:    983 572 715 784 
stack 51:    148 472 769 565 
stack 52:    599 656 425 502 
stack 53:    391 866 608 640 
stack 54:    354 981 616 570 
stack 55:    707 779 770 966 
stack 56:    951 238 388 691 
stack 57:    892 219 259 841 
stack 58:    73 381 182 872 
stack 59:    529 386 317 780 
stack 60:    414 847 822 344 
stack 61:    573 544 208 13 
stack 62:    987 577 973 79 
stack 63:    968 957 576 595 
stack 64:    624 469 471 567 
stack 65:    713 300 52 860 
stack 66:    398 315 728 906 
stack 67:    553 684 66 970 
stack 68:    849 856 461 827 
stack 69:    80 581 828 533 
stack 70:    389 286 409 114 
stack 71:    680 412 198 543 
stack 72:    142 488 212 411 
stack 73:    108 767 213 545 
stack 74:    882 130 204 339 
stack 75:    785 945 740 644 
stack 76:    218 561 603 988 
stack 77:    274 761 839 314 
stack 78:    943 913 392 426 
stack 79:    201 334 43 470 
stack 80:    948 203 147 944 
stack 81:    120 282 190 908 
stack 82:    299 141 249 264 
stack 83:    175 14 668 307 
stack 84:    173 467 207 74 
stack 85:    199 455 295 186 
stack 86:    976 156 258 177 
stack 87:    676 224 568 538 
stack 88:    800 532 15 612 
stack 89:    253 929 216 267 
stack 90:    462 327 842 217 
stack 91:    191 134 121 68 
stack 92:    463 986 378 62 
stack 93:    964 621 801 883 
stack 94:    555 601 202 340 
stack 95:    674 516 667 579 
stack 96:    893 590 953 530 
stack 97:    961 703 768 311 
stack 98:    144 688 231 87 
stack 99:    835 237 376 859 
stack 100:    33 227 255 261 
stack 101:    422 357 648 211 
stack 102:    3 820 958 614 
stack 103:    865 861 165 534 
stack 104:    192 291 998 49 
stack 105:    991 35 891 458 
stack 106:    380 600 402 887 
stack 107:    362 119 609 433 
stack 108:    719 664 187 776 
stack 109:    748 706 406 256 
stack 110:    821 107 832 794 
stack 111:    287 128 792 113 
stack 112:    575 133 536 349 
stack 113:    195 118 452 756 
stack 114:    936 994 723 781 
stack 115:    170 206 385 977 
stack 116:    247 325 44 504 
stack 117:    29 348 909 591 
stack 118:    242 153 633 275 
stack 119:    635 37 11 734 
stack 120:    499 401 132 164 
stack 121:    309 747 137 313 
stack 122:    408 846 5 928 
stack 123:    833 692 819 678 
stack 124:    605 878 151 181 
stack 125:    690 4 492 764 
stack 126:    519 947 336 350 
stack 127:    293 602 123 250 
stack 128:    939 155 8 276 
stack 129:    804 359 329 89 
stack 130:    708 665 189 111 
stack 131:    558 788 596 243 
stack 132:    673 298 403 100 
stack 133:    659 248 341 21 
stack 134:    798 355 615 384 
stack 135:    246 18 844 611 
stack 136:    879 778 78 682 
stack 137:    817 732 566 752 
stack 138:    65 48 451 791 
stack 139:    427 765 200 235 
stack 140:    445 337 484 490 
stack 141:    726 937 343 916 
stack 142:    168 924 758 646 
stack 143:    969 273 112 816 
stack 144:    642 442 430 799 
stack 145:    733 825 685 210 
stack 146:    802 456 169 453 
stack 147:    230 807 436 393 
stack 148:    679 589 521 834 
stack 149:    143 910 363 696 
stack 150:    925 260 858 704 
stack 151:    326 731 610 863 
stack 152:    53 837 116 460 
stack 153:    992 634 297 139 
stack 154:    540 905 117 440 
stack 155:    483 473 993 94 
stack 156:    416 583 738 124 
stack 157:    432 814 549 666 
stack 158:    99 594 639 556 
stack 159:    922 914 475 855 
stack 160:    266 428 345 999 
stack 161:    956 759 763 351 
stack 162:    926 978 979 638 
stack 163:    236 417 251 180 
stack 164:    496 140 818 50 
stack 165:    949 755 889 952 
stack 166:    775 500 305 526 
stack 167:    233 316 649 372 
stack 168:    630 524 257 831 
stack 169:    290 606 657 58 
stack 170:    823 459 405 592 
stack 171:    477 312 955 7 
stack 172:    812 285 984 712 
stack 173:    92 548 205 22 
stack 174:    753 77 84 439 
