instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
750_130_7_17,GH + HC,1800.0,946.18,692246.02,59306.0,8.0,142.361,314,814
750_130_7_18,LB,1800.0,-,692233.9,-,-,-,-,-
750_130_7_18,BinP,1800.0,1804.37,704583.12
750_130_7_18,GH,1800.0,0.00,751727.56
750_130_7_18,GH + TS,1800.0,1001.83,692255.7,59472.0,8.0,76.403,145,645
750_130_7_18,GH + HC,1800.0,695.07,692243.58,59484.0,8.0,49.652,109,609
750_130_7_19,LB,1800.0,-,692236.34,-,-,-,-,-
750_130_7_19,BinP,1800.0,1804.42,707401.03
750_130_7_19,GH,1800.0,0.00,751666.97
750_130_7_19,GH + TS,1800.0,1174.07,692247.28,59420.0,8.0,52.9,116,616
750_130_7_19,GH + HC,1800.0,803.67,692247.28,59420.0,8.0,96.723,180,680
