solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 22.64 s
objective value: 256013.24

stacks (top to bottom):
stack 0:    250 
stack 1:    
stack 2:    
stack 3:    
stack 4:    4 
stack 5:    5 
stack 6:    
stack 7:    257 
stack 8:    
stack 9:    
stack 10:    
stack 11:    
stack 12:    11 
stack 13:    
stack 14:    
stack 15:    
stack 16:    16 
stack 17:    267 17 160 270 
stack 18:    21 269 18 274 
stack 19:    443 306 292 339 
stack 20:    25 28 27 142 
stack 21:    291 86 394 80 
stack 22:    316 155 281 272 
stack 23:    430 78 340 295 
stack 24:    26 460 31 34 
stack 25:    360 450 126 58 
stack 26:    238 381 214 303 
stack 27:    114 280 39 301 
stack 28:    445 35 437 94 
stack 29:    452 129 398 81 
stack 30:    199 110 365 57 
stack 31:    37 287 396 146 
stack 32:    241 317 358 285 
stack 33:    72 51 311 196 
stack 34:    377 307 159 42 
stack 35:    289 444 299 406 
stack 36:    207 320 428 231 
stack 37:    208 201 314 188 
stack 38:    191 115 409 249 
stack 39:    40 144 382 232 
stack 40:    495 174 300 68 
stack 41:    150 440 343 477 
stack 42:    417 402 432 176 
stack 43:    48 297 293 478 
stack 44:    498 127 102 46 
stack 45:    479 322 395 52 
stack 46:    100 369 119 346 
stack 47:    132 50 200 497 
stack 48:    388 61 427 64 
stack 49:    305 248 235 166 
stack 50:    175 467 351 308 
stack 51:    218 435 186 337 
stack 52:    70 400 59 152 
stack 53:    138 69 140 128 
stack 54:    62 124 415 476 
stack 55:    438 449 483 331 
stack 56:    170 485 74 397 
stack 57:    106 90 342 336 
stack 58:    143 157 156 312 
stack 59:    442 330 230 459 
stack 60:    353 323 326 108 
stack 61:    356 96 133 85 
stack 62:    164 416 319 233 
stack 63:    451 315 242 89 
stack 64:    228 419 153 424 
stack 65:    137 145 341 480 
stack 66:    163 362 458 352 
stack 67:    244 329 401 76 
stack 68:    371 162 481 141 
stack 69:    83 88 411 461 
stack 70:    367 408 183 185 
stack 71:    149 420 236 332 
stack 72:    404 246 490 334 
stack 73:    198 73 187 139 
stack 74:    215 158 107 373 
stack 75:    0 
stack 76:    1 251 
stack 77:    252 2 253 
stack 78:    3 
stack 79:    254 
stack 80:    255 
stack 81:    256 6 
stack 82:    258 
stack 83:    8 7 
stack 84:    260 259 
stack 85:    9 10 
stack 86:    262 261 
stack 87:    12 
stack 88:    13 263 
stack 89:    265 264 14 
stack 90:    15 
stack 91:    227 284 266 
stack 92:    38 24 271 19 
stack 93:    268 234 276 413 
stack 94:    87 22 20 374 
stack 95:    489 49 302 23 
stack 96:    161 431 273 338 
stack 97:    345 131 279 429 
stack 98:    349 247 65 474 
stack 99:    278 122 43 286 
stack 100:    275 277 79 423 
stack 101:    75 95 189 33 
stack 102:    282 29 350 30 
stack 103:    44 32 283 294 
stack 104:    36 190 492 204 
stack 105:    383 101 375 378 
stack 106:    487 290 482 55 
stack 107:    66 304 470 172 
stack 108:    41 465 135 310 
stack 109:    447 63 296 376 
stack 110:    288 154 171 91 
stack 111:    418 486 223 216 
stack 112:    169 354 471 407 
stack 113:    359 313 328 118 
stack 114:    123 298 130 209 
stack 115:    167 464 239 84 
stack 116:    56 325 77 309 
stack 117:    463 99 321 379 
stack 118:    53 202 412 245 
stack 119:    45 439 384 496 
stack 120:    456 54 195 457 
stack 121:    112 229 177 98 
stack 122:    47 344 372 243 
stack 123:    194 71 165 318 
stack 124:    225 357 436 67 
stack 125:    184 389 168 393 
stack 126:    405 475 469 192 
stack 127:    148 93 390 473 
stack 128:    178 366 213 197 
stack 129:    109 116 468 426 
stack 130:    425 173 484 347 
stack 131:    217 219 403 391 
stack 132:    448 240 147 491 
stack 133:    355 380 121 224 
stack 134:    103 446 237 60 
stack 135:    97 488 363 120 
stack 136:    421 205 210 180 
stack 137:    348 368 387 494 
stack 138:    454 221 211 220 
stack 139:    113 206 385 125 
stack 140:    361 92 386 136 
stack 141:    499 453 105 104 
stack 142:    433 182 441 434 
stack 143:    335 82 472 134 
stack 144:    222 422 414 392 
stack 145:    181 364 111 462 
stack 146:    333 212 327 117 
stack 147:    193 370 493 399 
stack 148:    179 466 455 324 
stack 149:    410 151 226 203 
