solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 224,19 s
objective value: 297964.34

stacks (top to bottom):
stack 0:    250 
stack 1:    
stack 2:    
stack 3:    253 
stack 4:    
stack 5:    256 255 
stack 6:    
stack 7:    7 
stack 8:    8 
stack 9:    259 
stack 10:    
stack 11:    427 214 322 37 277 131 
stack 12:    107 262 225 13 285 79 
stack 13:    195 291 98 65 14 275 
stack 14:    54 375 154 240 34 196 
stack 15:    106 428 180 269 394 50 
stack 16:    130 471 148 452 469 27 
stack 17:    272 474 40 323 125 336 
stack 18:    273 406 268 18 410 158 
stack 19:    459 42 437 458 21 59 
stack 20:    112 434 164 219 161 217 
stack 21:    295 200 62 206 416 31 
stack 22:    418 313 483 481 484 194 
stack 23:    133 210 466 23 453 321 
stack 24:    344 378 340 25 411 297 
stack 25:    30 388 145 141 110 137 
stack 26:    97 499 149 463 80 286 
stack 27:    75 288 46 303 413 136 
stack 28:    138 442 290 64 280 284 
stack 29:    391 306 81 35 52 436 
stack 30:    60 314 236 397 403 38 
stack 31:    227 396 147 312 282 202 
stack 32:    333 359 139 155 479 163 
stack 33:    468 309 82 326 100 377 
stack 34:    341 113 343 124 350 358 
stack 35:    393 423 129 157 238 71 
stack 36:    351 302 328 115 85 47 
stack 37:    228 114 184 203 349 360 
stack 38:    467 51 94 337 96 414 
stack 39:    366 151 48 489 105 457 
stack 40:    67 99 167 334 153 327 
stack 41:    419 86 245 142 193 353 
stack 42:    117 248 201 216 372 487 
stack 43:    109 355 135 70 367 412 
stack 44:    395 430 387 438 242 221 
stack 45:    462 422 126 211 485 191 
stack 46:    311 425 58 488 482 132 
stack 47:    472 402 332 444 159 146 
stack 48:    493 384 304 386 174 128 
stack 49:    235 320 84 185 492 448 
stack 50:    186 315 379 404 218 68 
stack 51:    0 
stack 52:    1 251 
stack 53:    252 2 
stack 54:    3 
stack 55:    254 4 
stack 56:    5 
stack 57:    6 
stack 58:    257 
stack 59:    258 
stack 60:    9 
stack 61:    415 10 12 260 11 39 
stack 62:    19 83 15 261 32 165 
stack 63:    266 76 267 283 183 270 
stack 64:    264 325 265 305 263 310 
stack 65:    53 271 324 95 229 478 
stack 66:    16 276 373 486 348 172 
stack 67:    22 93 417 28 223 296 
stack 68:    17 24 400 212 279 381 
stack 69:    29 90 91 409 398 307 
stack 70:    445 274 420 287 380 26 
stack 71:    20 41 470 239 368 87 
stack 72:    143 278 364 356 441 443 
stack 73:    281 450 220 480 317 209 
stack 74:    72 385 205 237 101 33 
stack 75:    246 140 374 160 465 69 
stack 76:    293 405 477 454 331 116 
stack 77:    496 308 316 401 475 189 
stack 78:    166 292 342 123 215 234 
stack 79:    408 44 43 361 300 298 
stack 80:    222 424 198 330 170 150 
stack 81:    171 383 162 78 121 233 
stack 82:    421 36 389 476 461 456 
stack 83:    187 188 352 399 175 77 
stack 84:    370 176 392 61 134 152 
stack 85:    432 213 497 119 45 429 
stack 86:    108 230 335 371 208 451 
stack 87:    168 318 495 338 244 226 
stack 88:    63 190 289 88 369 92 
stack 89:    55 354 56 204 347 249 
stack 90:    498 449 426 294 447 49 
stack 91:    339 464 102 144 224 241 
stack 92:    197 57 156 169 192 473 
stack 93:    357 243 207 435 301 382 
stack 94:    446 73 433 407 247 460 
stack 95:    182 365 439 173 319 103 
stack 96:    299 440 231 390 491 118 
stack 97:    122 181 362 177 66 232 
stack 98:    179 376 363 178 127 74 
stack 99:    490 329 494 455 346 199 
stack 100:    89 345 111 120 431 104 
