solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 160,01 s
objective value: 297953.4

stacks (top to bottom):
stack 0:    0 
stack 1:    1 
stack 2:    
stack 3:    
stack 4:    
stack 5:    
stack 6:    
stack 7:    257 
stack 8:    8 
stack 9:    9 
stack 10:    
stack 11:    350 470 264 190 316 14 
stack 12:    209 20 367 418 496 12 
stack 13:    389 268 67 226 184 144 
stack 14:    227 324 342 265 278 129 
stack 15:    442 309 384 24 176 275 
stack 16:    156 33 474 432 266 273 
stack 17:    136 451 444 218 43 90 
stack 18:    217 18 269 271 27 64 
stack 19:    79 149 32 408 167 380 
stack 20:    484 404 449 362 22 150 
stack 21:    21 277 175 160 359 185 
stack 22:    398 290 146 279 87 399 
stack 23:    338 172 323 174 73 459 
stack 24:    479 194 422 178 297 411 
stack 25:    106 292 293 241 110 99 
stack 26:    325 433 375 139 28 133 
stack 27:    437 88 203 74 383 355 
stack 28:    243 329 320 466 476 173 
stack 29:    29 61 72 238 189 242 
stack 30:    486 208 289 439 480 403 
stack 31:    56 487 143 122 468 201 
stack 32:    295 428 420 51 148 495 
stack 33:    38 344 421 371 436 153 
stack 34:    126 458 120 335 302 69 
stack 35:    97 219 181 390 438 385 
stack 36:    448 166 247 121 409 499 
stack 37:    416 291 229 472 353 68 
stack 38:    197 423 475 248 464 104 
stack 39:    94 492 391 206 296 234 
stack 40:    47 337 109 89 354 177 
stack 41:    467 493 340 341 379 225 
stack 42:    78 46 171 443 425 140 
stack 43:    81 200 113 246 188 53 
stack 44:    82 235 193 100 85 228 
stack 45:    491 170 54 186 490 435 
stack 46:    369 378 440 381 447 182 
stack 47:    119 397 405 220 118 473 
stack 48:    306 152 387 103 116 57 
stack 49:    478 395 66 401 60 98 
stack 50:    386 162 358 55 482 123 
stack 51:    250 
stack 52:    251 
stack 53:    252 2 
stack 54:    253 3 
stack 55:    4 254 
stack 56:    5 255 
stack 57:    256 6 
stack 58:    7 
stack 59:    258 
stack 60:    259 
stack 61:    261 417 334 196 260 10 
stack 62:    159 207 361 222 11 372 
stack 63:    13 39 311 262 19 16 
stack 64:    465 471 307 263 17 161 
stack 65:    312 26 158 40 15 267 
stack 66:    313 117 377 349 427 216 
stack 67:    462 345 135 276 318 23 
stack 68:    365 298 70 132 249 42 
stack 69:    280 95 31 111 388 321 
stack 70:    319 287 489 327 300 35 
stack 71:    431 407 96 315 274 270 
stack 72:    485 461 25 497 49 446 
stack 73:    205 214 272 402 63 328 
stack 74:    245 400 348 183 370 147 
stack 75:    127 37 34 115 441 281 
stack 76:    469 102 283 285 410 286 
stack 77:    452 199 419 333 360 44 
stack 78:    364 376 282 107 498 191 
stack 79:    48 373 192 308 233 224 
stack 80:    30 101 230 352 202 236 
stack 81:    457 91 124 145 213 221 
stack 82:    434 151 223 356 382 62 
stack 83:    52 412 332 326 426 142 
stack 84:    105 168 212 92 429 50 
stack 85:    288 357 84 179 284 454 
stack 86:    76 366 45 86 80 239 
stack 87:    83 317 36 450 322 244 
stack 88:    141 180 455 93 210 232 
stack 89:    413 304 299 414 112 314 
stack 90:    154 351 237 310 195 481 
stack 91:    368 394 41 331 231 453 
stack 92:    114 339 336 165 65 303 
stack 93:    240 343 483 58 169 164 
stack 94:    415 494 77 187 59 198 
stack 95:    396 294 456 301 138 430 
stack 96:    125 477 163 204 424 488 
stack 97:    128 445 215 347 108 346 
stack 98:    363 305 374 75 131 211 
stack 99:    130 393 71 137 157 134 
stack 100:    463 392 460 406 330 155 
