solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 180,27 s
objective value: 310043.18

stacks (top to bottom):
stack 0:    
stack 1:    1 251 
stack 2:    250 
stack 3:    
stack 4:    4 
stack 5:    5 
stack 6:    
stack 7:    
stack 8:    8 258 
stack 9:    359 260 273 10 9 
stack 10:    274 120 221 292 93 263 117 
stack 11:    333 248 62 173 340 12 13 
stack 12:    264 423 281 63 282 128 227 
stack 13:    15 18 429 14 426 139 179 
stack 14:    354 165 402 207 40 46 19 
stack 15:    98 382 68 265 437 17 176 
stack 16:    181 462 26 476 174 134 152 
stack 17:    71 439 319 407 22 110 84 
stack 18:    301 268 293 88 37 352 73 
stack 19:    440 433 23 225 154 431 342 
stack 20:    414 355 143 56 329 74 47 
stack 21:    232 97 315 446 403 341 366 
stack 22:    495 100 208 166 38 163 67 
stack 23:    157 137 49 276 392 224 411 
stack 24:    445 146 468 460 198 294 108 
stack 25:    383 316 323 35 279 484 36 
stack 26:    372 387 444 213 109 339 409 
stack 27:    435 400 472 362 122 151 121 
stack 28:    297 112 369 104 395 322 188 
stack 29:    415 243 82 218 463 422 498 
stack 30:    162 223 348 296 219 298 45 
stack 31:    491 374 164 413 420 384 105 
stack 32:    113 103 465 499 391 304 215 
stack 33:    377 300 307 390 86 398 287 
stack 34:    312 305 201 44 145 389 177 
stack 35:    140 325 405 346 190 289 345 
stack 36:    486 83 428 436 77 217 418 
stack 37:    330 309 202 70 130 53 249 
stack 38:    119 451 114 326 144 242 416 
stack 39:    320 412 76 125 394 197 182 
stack 40:    419 95 494 78 65 457 94 
stack 41:    410 245 131 425 107 64 210 
stack 42:    448 481 396 115 386 69 57 
stack 43:    126 358 475 141 60 118 347 
stack 44:    0 
stack 45:    
stack 46:    2 
stack 47:    3 254 252 253 
stack 48:    
stack 49:    255 
stack 50:    256 6 
stack 51:    257 7 
stack 52:    259 
stack 53:    124 133 39 459 229 262 318 
stack 54:    11 196 199 380 220 285 266 
stack 55:    89 277 261 186 469 357 492 
stack 56:    471 247 16 479 267 239 280 
stack 57:    299 271 206 87 58 29 33 
stack 58:    270 269 381 449 364 205 204 
stack 59:    461 20 80 424 335 214 111 
stack 60:    443 116 72 203 290 24 490 
stack 61:    360 123 328 158 27 474 378 
stack 62:    159 408 467 313 21 353 432 
stack 63:    379 42 351 278 138 350 101 
stack 64:    493 30 230 32 170 209 185 
stack 65:    211 25 332 31 438 275 28 
stack 66:    238 200 183 272 483 171 43 
stack 67:    393 194 373 233 184 160 135 
stack 68:    456 283 236 487 314 303 371 
stack 69:    356 79 321 147 59 195 81 
stack 70:    470 106 363 48 450 55 52 
stack 71:    370 142 454 235 496 336 168 
stack 72:    385 404 331 226 453 156 284 
stack 73:    244 85 365 61 178 430 132 
stack 74:    343 375 234 150 488 288 455 
stack 75:    464 417 129 66 442 193 187 
stack 76:    167 228 92 153 175 172 368 
stack 77:    189 349 216 34 361 231 50 
stack 78:    161 155 427 397 291 192 497 
stack 79:    337 452 90 54 310 406 169 
stack 80:    240 302 317 286 473 222 447 
stack 81:    311 246 91 136 180 327 241 
stack 82:    96 295 306 367 388 324 338 
stack 83:    376 99 434 102 478 489 344 
stack 84:    75 399 334 421 191 466 485 
stack 85:    41 308 477 148 237 441 480 
stack 86:    51 458 149 212 401 482 127 
