solved with: SP.post_optimization_methods.HillClimbing
time limit: 1800.0 s
time to solve: 591,10 s
objective value: 473013.34

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    3 
stack 4:    
stack 5:    6 
stack 6:    
stack 7:    
stack 8:    8 
stack 9:    384 
stack 10:    385 9 
stack 11:    11 
stack 12:    12 
stack 13:    13 
stack 14:    389 
stack 15:    390 15 
stack 16:    
stack 17:    17 
stack 18:    18 
stack 19:    
stack 20:    
stack 21:    
stack 22:    397 
stack 23:    23 
stack 24:    
stack 25:    400 
stack 26:    
stack 27:    402 
stack 28:    
stack 29:    29 
stack 30:    405 
stack 31:    31 406 
stack 32:    407 
stack 33:    
stack 34:    409 
stack 35:    
stack 36:    36 
stack 37:    37 
stack 38:    457 60 420 
stack 39:    414 634 432 
stack 40:    42 44 431 
stack 41:    43 642 48 
stack 42:    110 49 417 
stack 43:    227 142 259 
stack 44:    511 71 449 
stack 45:    460 423 440 
stack 46:    66 465 196 
stack 47:    53 292 188 
stack 48:    459 68 746 
stack 49:    56 439 603 
stack 50:    293 326 58 
stack 51:    429 52 305 
stack 52:    738 437 477 
stack 53:    434 455 743 
stack 54:    367 54 89 
stack 55:    69 446 358 
stack 56:    568 279 443 
stack 57:    503 84 81 
stack 58:    474 88 461 
stack 59:    72 649 594 
stack 60:    541 76 143 
stack 61:    438 141 125 
stack 62:    583 484 454 
stack 63:    715 453 175 
stack 64:    452 617 648 
stack 65:    269 65 285 
stack 66:    258 348 226 
stack 67:    714 240 445 
stack 68:    749 595 86 
stack 69:    515 444 741 
stack 70:    357 567 448 
stack 71:    87 237 590 
stack 72:    120 139 92 
stack 73:    123 689 467 
stack 74:    677 602 466 
stack 75:    350 94 490 
stack 76:    98 165 369 
stack 77:    555 479 481 
stack 78:    653 683 100 
stack 79:    687 223 103 
stack 80:    505 487 630 
stack 81:    297 106 685 
stack 82:    162 299 118 
stack 83:    482 491 673 
stack 84:    109 319 284 
stack 85:    145 701 488 
stack 86:    189 200 485 
stack 87:    235 286 117 
stack 88:    670 709 113 
stack 89:    157 726 631 
stack 90:    114 516 744 
stack 91:    497 659 679 
stack 92:    334 486 747 
stack 93:    501 371 546 
stack 94:    153 495 152 
stack 95:    257 317 267 
stack 96:    129 735 183 
stack 97:    208 492 731 
stack 98:    207 311 509 
stack 99:    626 573 500 
stack 100:    686 370 506 
stack 101:    636 127 553 
stack 102:    724 119 571 
stack 103:    512 355 349 
stack 104:    537 255 137 
stack 105:    140 151 176 
stack 106:    625 316 510 
stack 107:    695 276 705 
stack 108:    611 725 531 
stack 109:    588 591 232 
stack 110:    179 660 561 
stack 111:    604 219 209 
stack 112:    253 712 352 
stack 113:    308 260 697 
stack 114:    668 251 343 
stack 115:    563 282 682 
stack 116:    737 623 620 
stack 117:    535 605 296 
stack 118:    332 656 195 
stack 119:    212 554 666 
stack 120:    221 562 366 
stack 121:    150 703 138 
stack 122:    182 612 198 
stack 123:    640 665 298 
stack 124:    294 647 559 
stack 125:    589 268 261 
stack 126:    543 708 521 
stack 127:    225 172 241 
stack 128:    645 214 345 
stack 129:    270 218 545 
stack 130:    704 564 177 
stack 131:    592 720 272 
stack 132:    314 624 533 
stack 133:    713 526 530 
stack 134:    291 711 204 
stack 135:    346 216 222 
stack 136:    607 671 643 
stack 137:    354 593 684 
stack 138:    149 576 646 
stack 139:    599 341 199 
stack 140:    733 178 356 
stack 141:    579 336 301 
stack 142:    678 691 359 
stack 143:    338 365 650 
stack 144:    155 174 229 
stack 145:    728 220 550 
stack 146:    572 213 577 
stack 147:    309 597 278 
stack 148:    373 736 606 
stack 149:    717 651 192 
stack 150:    0 375 
stack 151:    1 376 
stack 152:    2 377 
stack 153:    378 
stack 154:    4 379 
stack 155:    
stack 156:    5 381 380 
stack 157:    382 
stack 158:    7 383 
stack 159:    
stack 160:    10 
stack 161:    386 
stack 162:    387 
stack 163:    388 
stack 164:    14 
stack 165:    391 
stack 166:    16 
stack 167:    392 
stack 168:    393 
stack 169:    394 19 
stack 170:    395 20 
stack 171:    21 396 
stack 172:    
stack 173:    398 22 
