instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_127_4_00,LB,1800.0,-,289589.5,-,-,-,-,-
500_127_4_00,BinP,1800.0,786.98,289589.5
500_127_4_00,GH,1800.0,0.01,308142.86
500_127_4_00,GH + TS,1800.0,243.57,289589.5,18553.0,6.0,12.76,65,415
500_127_4_00,GH + HC,1800.0,187.27,289589.5,18553.0,6.0,20.771,137,487
500_127_4_01,LB,1800.0,-,289583.44,-,-,-,-,-
500_127_4_01,BinP,1800.0,775.39,289589.5
500_127_4_01,GH,1800.0,0.00,309433.64
500_127_4_01,GH + TS,1800.0,348.69,289595.56,19838.0,6.0,78.209,263,613
500_127_4_01,GH + HC,1800.0,150.67,289593.12,19841.0,6.0,15.979,88,438
500_127_4_02,LB,1800.0,-,289587.06,-,-,-,-,-
500_127_4_02,BinP,1800.0,648.23,289587.06
500_127_4_02,GH,1800.0,0.00,308948.84
500_127_4_02,GH + TS,1800.0,246.62,289593.12,19356.0,6.0,13.481,75,425
500_127_4_02,GH + HC,1800.0,202.5,289587.06,19362.0,6.0,25.749,142,492
500_127_4_03,LB,1800.0,-,289578.56,-,-,-,-,-
500_127_4_03,BinP,1800.0,691.46,289578.56
500_127_4_03,GH,1800.0,0.00,308251.94
500_127_4_03,GH + TS,1800.0,232.71,289578.56,18673.0,6.0,9.286,57,407
500_127_4_03,GH + HC,1800.0,162.74,289578.56,18673.0,6.0,8.153,41,391
500_127_4_04,LB,1800.0,-,289581.0,-,-,-,-,-
500_127_4_04,BinP,1800.0,734.75,289581.0
500_127_4_04,GH,1800.0,0.00,307421.72
500_127_4_04,GH + TS,1800.0,245.76,289581.0,17841.0,6.0,21.74,98,448
500_127_4_04,GH + HC,1800.0,160.33,289581.0,17841.0,6.0,12.784,83,433
500_127_4_05,LB,1800.0,-,289581.0,-,-,-,-,-
500_127_4_05,BinP,1800.0,689.72,289581.0
500_127_4_05,GH,1800.0,0.00,308451.92
500_127_4_05,GH + TS,1800.0,192.47,289581.0,18871.0,6.0,7.872,38,388
500_127_4_05,GH + HC,1800.0,162.31,289581.0,18871.0,6.0,14.527,89,439
500_127_4_06,LB,1800.0,-,289581.0,-,-,-,-,-
500_127_4_06,BinP,1800.0,794.31,289581.0
500_127_4_06,GH,1800.0,0.00,307961.06
500_127_4_06,GH + TS,1800.0,290.98,289581.0,18380.0,6.0,44.218,205,555
500_127_4_06,GH + HC,1800.0,174.35,289581.0,18380.0,6.0,8.577,78,428
500_127_4_07,LB,1800.0,-,289578.56,-,-,-,-,-
500_127_4_07,BinP,1800.0,620.36,289578.56
500_127_4_07,GH,1800.0,0.00,308136.8
500_127_4_07,GH + TS,1800.0,260.83,289578.56,18558.0,6.0,14.282,80,430
500_127_4_07,GH + HC,1800.0,141.79,289578.56,18558.0,6.0,11.012,67,417
500_127_4_08,LB,1800.0,-,289587.06,-,-,-,-,-
500_127_4_08,BinP,1800.0,578.49,289587.06
500_127_4_08,GH,1800.0,0.00,308445.86
500_127_4_08,GH + TS,1800.0,239.8,289587.06,18859.0,6.0,10.406,57,407
500_127_4_08,GH + HC,1800.0,186.05,289587.06,18859.0,6.0,10.782,63,413
500_127_4_09,LB,1800.0,-,289578.56,-,-,-,-,-
500_127_4_09,BinP,1800.0,703.02,289578.56
500_127_4_09,GH,1800.0,0.00,308215.58
500_127_4_09,GH + TS,1800.0,217.07,289578.56,18637.0,6.0,9.198,38,388
500_127_4_09,GH + HC,1800.0,183.54,289578.56,18637.0,6.0,24.436,131,481
500_127_4_10,LB,1800.0,-,289578.56,-,-,-,-,-
500_127_4_10,BinP,1800.0,718.98,289578.56
500_127_4_10,GH,1800.0,0.00,307245.98
