instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_125_4_18,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_18,BinP,1800.0,666.12,292601.32
500_125_4_18,GH,1800.0,0.01,305666.68
500_125_4_18,GH + TS,1800.0,130.55,292928.56,12738.0,4.0,0.0,0,350
500_125_4_18,GH + HC,1800.0,132.77,292928.56,12738.0,4.0,0.0,0,350
500_125_4_19,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_19,BinP,1800.0,718.98,292601.32
500_125_4_19,GH,1800.0,0.37,309290.56
500_125_4_19,GH + TS,1800.0,105.32,292952.8,16338.0,5.0,0.0,0,350
500_125_4_19,GH + HC,1800.0,113.31,292952.8,16338.0,5.0,0.0,0,350
