solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 307,53 s
objective value: 211706.22

stacks (top to bottom):
stack 0:    250 
stack 1:    1 
stack 2:    2 
stack 3:    
stack 4:    
stack 5:    
stack 6:    
stack 7:    
stack 8:    8 258 
stack 9:    
stack 10:    10 
stack 11:    11 
stack 12:    
stack 13:    263 
stack 14:    14 
stack 15:    15 
stack 16:    266 
stack 17:    
stack 18:    
stack 19:    19 
stack 20:    20 
stack 21:    
stack 22:    22 272 
stack 23:    273 
stack 24:    
stack 25:    25 
stack 26:    276 26 277 
stack 27:    53 279 31 
stack 28:    29 278 45 
stack 29:    293 292 172 
stack 30:    30 32 33 
stack 31:    234 351 281 
stack 32:    314 120 59 
stack 33:    309 287 44 
stack 34:    285 37 34 
stack 35:    143 119 295 
stack 36:    302 359 48 
stack 37:    39 458 96 
stack 38:    70 313 38 
stack 39:    74 298 40 
stack 40:    105 206 46 
stack 41:    413 379 54 
stack 42:    219 49 92 
stack 43:    235 50 63 
stack 44:    99 72 322 
stack 45:    305 60 410 
stack 46:    139 304 375 
stack 47:    396 108 57 
stack 48:    360 315 398 
stack 49:    385 383 328 
stack 50:    225 318 160 
stack 51:    482 67 415 
stack 52:    363 147 61 
stack 53:    212 319 194 
stack 54:    391 91 56 
stack 55:    466 62 399 
stack 56:    82 376 346 
stack 57:    184 348 80 
stack 58:    233 103 330 
stack 59:    324 499 204 
stack 60:    325 345 130 
stack 61:    332 484 441 
stack 62:    125 86 364 
stack 63:    83 354 113 
stack 64:    336 373 232 
stack 65:    186 331 228 
stack 66:    93 209 454 
stack 67:    238 342 412 
stack 68:    374 90 365 
stack 69:    483 247 490 
stack 70:    195 334 196 
stack 71:    349 122 161 
stack 72:    148 340 394 
stack 73:    144 134 344 
stack 74:    124 100 95 
stack 75:    201 407 168 
stack 76:    146 456 367 
stack 77:    460 471 94 
stack 78:    447 353 211 
stack 79:    448 496 197 
stack 80:    127 157 180 
stack 81:    417 190 156 
stack 82:    220 216 420 
stack 83:    178 492 467 
stack 84:    381 408 497 
stack 85:    425 414 176 
stack 86:    166 169 97 
stack 87:    347 416 356 
stack 88:    150 421 428 
stack 89:    135 366 433 
stack 90:    461 131 430 
stack 91:    388 198 389 
stack 92:    402 123 193 
stack 93:    443 431 173 
stack 94:    358 444 231 
stack 95:    378 397 203 
stack 96:    187 361 350 
stack 97:    473 462 459 
stack 98:    208 110 436 
stack 99:    401 439 158 
stack 100:    230 411 368 
stack 101:    0 
stack 102:    251 
stack 103:    252 
stack 104:    253 3 
stack 105:    4 254 
stack 106:    5 255 
stack 107:    256 6 
stack 108:    257 7 
stack 109:    
stack 110:    9 259 
stack 111:    260 
stack 112:    262 261 
stack 113:    12 
stack 114:    13 
stack 115:    264 
stack 116:    265 
stack 117:    16 17 
stack 118:    267 
stack 119:    268 18 
stack 120:    269 
stack 121:    270 
stack 122:    21 
stack 123:    271 
stack 124:    23 
stack 125:    24 
stack 126:    275 274 426 
stack 127:    242 28 283 
stack 128:    27 289 290 
stack 129:    470 280 495 
stack 130:    487 308 282 
stack 131:    296 288 35 
stack 132:    299 297 286 
stack 133:    36 311 450 
stack 134:    352 284 246 
stack 135:    455 41 294 
stack 136:    89 307 58 
stack 137:    474 182 43 
stack 138:    109 303 42 
stack 139:    384 424 300 
stack 140:    191 312 55 
stack 141:    422 291 446 
stack 142:    47 64 111 
stack 143:    327 66 116 
stack 144:    118 51 333 
stack 145:    215 52 335 
stack 146:    179 301 76 
stack 147:    101 68 323 
stack 148:    306 171 370 
stack 149:    393 338 69 
stack 150:    241 75 316 
stack 151:    320 479 310 
stack 152:    205 65 239 
stack 153:    317 475 102 
stack 154:    452 78 87 
stack 155:    71 392 114 
stack 156:    84 339 355 
stack 157:    326 121 321 
stack 158:    329 386 419 
stack 159:    449 73 117 
stack 160:    207 88 476 
stack 161:    159 79 432 
stack 162:    77 213 248 
stack 163:    240 133 223 
stack 164:    85 221 437 
stack 165:    405 337 465 
stack 166:    357 485 341 
stack 167:    249 409 217 
stack 168:    162 227 371 
stack 169:    244 457 343 
stack 170:    468 380 404 
stack 171:    185 142 115 
stack 172:    489 243 81 
stack 173:    229 377 493 
stack 174:    435 403 155 
stack 175:    129 440 183 
stack 176:    463 210 202 
stack 177:    362 175 236 
stack 178:    163 181 245 
stack 179:    145 199 445 
stack 180:    214 167 151 
stack 181:    177 164 472 
stack 182:    136 152 418 
stack 183:    192 226 442 
stack 184:    478 395 153 
stack 185:    224 469 170 
stack 186:    477 141 427 
stack 187:    498 138 98 
stack 188:    222 132 112 
stack 189:    149 140 400 
stack 190:    137 372 481 
stack 191:    423 165 154 
stack 192:    464 382 434 
stack 193:    104 387 188 
stack 194:    451 488 494 
stack 195:    189 106 237 
stack 196:    480 174 128 
stack 197:    438 429 390 
stack 198:    107 453 218 
stack 199:    486 126 200 
stack 200:    491 406 369 
