solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 445,13 s
objective value: 567471.82

stacks (top to bottom):
stack 0:    
stack 1:    0 376 
stack 2:    377 
stack 3:    
stack 4:    379 
stack 5:    5 
stack 6:    
stack 7:    
stack 8:    382 
stack 9:    
stack 10:    
stack 11:    386 
stack 12:    387 
stack 13:    388 
stack 14:    389 
stack 15:    390 
stack 16:    
stack 17:    17 
stack 18:    393 
stack 19:    19 
stack 20:    20 
stack 21:    395 
stack 22:    
stack 23:    
stack 24:    
stack 25:    25 
stack 26:    27 747 33 402 
stack 27:    214 35 29 225 
stack 28:    416 31 413 39 
stack 29:    436 343 67 407 
stack 30:    32 34 37 30 
stack 31:    614 36 267 209 
stack 32:    58 285 52 361 
stack 33:    411 746 417 362 
stack 34:    272 427 428 143 
stack 35:    97 80 341 307 
stack 36:    729 47 412 355 
stack 37:    634 426 414 526 
stack 38:    217 450 439 53 
stack 39:    234 371 736 173 
stack 40:    40 566 446 68 
stack 41:    698 684 433 730 
stack 42:    589 156 639 675 
stack 43:    66 599 490 77 
stack 44:    372 430 155 162 
stack 45:    49 421 46 127 
stack 46:    112 228 63 255 
stack 47:    448 661 317 545 
stack 48:    504 497 431 55 
stack 49:    314 197 56 175 
stack 50:    694 463 85 61 
stack 51:    610 263 712 449 
stack 52:    443 494 101 632 
stack 53:    238 211 464 462 
stack 54:    556 81 229 658 
stack 55:    264 542 87 619 
stack 56:    603 629 438 737 
stack 57:    288 445 370 188 
stack 58:    251 613 720 244 
stack 59:    588 701 604 75 
stack 60:    475 187 699 719 
stack 61:    575 152 583 480 
stack 62:    740 289 227 141 
stack 63:    298 664 649 79 
stack 64:    119 330 723 453 
stack 65:    546 683 72 147 
stack 66:    115 491 90 282 
stack 67:    530 600 574 459 
stack 68:    467 715 544 587 
stack 69:    321 347 502 577 
stack 70:    295 74 659 663 
stack 71:    594 617 353 160 
stack 72:    564 518 283 117 
stack 73:    360 647 206 301 
stack 74:    735 126 340 165 
stack 75:    86 336 284 739 
stack 76:    452 744 266 271 
stack 77:    552 262 670 319 
stack 78:    373 524 299 624 
stack 79:    672 560 346 708 
stack 80:    88 151 296 598 
stack 81:    643 350 335 618 
stack 82:    131 306 249 616 
stack 83:    133 642 96 691 
stack 84:    728 130 543 194 
stack 85:    184 305 469 495 
stack 86:    291 749 697 677 
stack 87:    278 591 159 98 
stack 88:    303 342 638 120 
stack 89:    192 538 91 541 
stack 90:    597 651 706 536 
stack 91:    129 219 626 748 
