instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
750_226_4_00,LB,3600.0,-,567468.12,-,-,-,-,-
750_226_4_00,GH,3600.0,0.01,684975.42,-,-,-,-,-
750_226_4_00,GH + HC,3600.0,433.03,567480.32,117495.0,17.0,170.5,22,72
750_226_4_01,LB,3600.0,-,567466.94,-,-,-,-,-
750_226_4_01,GH,3600.0,0.00,688817.44,-,-,-,-,-
750_226_4_01,GH + HC,3600.0,431.39,567474.26,121343.0,18.0,191.755,26,76
750_226_4_02,LB,3600.0,-,567440.18,-,-,-,-,-
750_226_4_02,GH,3600.0,0.00,686841.9,-,-,-,-,-
750_226_4_02,GH + HC,3600.0,452.72,567452.38,119390.0,17.0,231.159,29,79
750_226_4_03,LB,3600.0,-,567453.64,-,-,-,-,-
750_226_4_03,GH,3600.0,0.00,680254.67,-,-,-,-,-
750_226_4_03,GH + HC,3600.0,437.52,567475.52,112779.0,17.0,200.862,24,74
750_226_4_04,LB,3600.0,-,567451.04,-,-,-,-,-
750_226_4_04,GH,3600.0,0.00,683811.9,-,-,-,-,-
750_226_4_04,GH + HC,3600.0,437.54,567477.8,116334.0,17.0,202.44,28,78
750_226_4_05,LB,3600.0,-,567440.18,-,-,-,-,-
750_226_4_05,GH,3600.0,0.00,683896.73,-,-,-,-,-
750_226_4_05,GH + HC,3600.0,444.59,567454.82,116442.0,17.0,223.376,28,78
750_226_4_06,LB,3600.0,-,567446.32,-,-,-,-,-
750_226_4_06,GH,3600.0,0.00,682933.2,-,-,-,-,-
750_226_4_06,GH + HC,3600.0,478.47,567467.02,115466.0,17.0,194.842,28,78
750_226_4_07,LB,3600.0,-,567449.86,-,-,-,-,-
750_226_4_07,GH,3600.0,0.00,689750.68,-,-,-,-,-
750_226_4_07,GH + HC,3600.0,448.69,567462.06,122289.0,18.0,199.801,28,78
750_226_4_08,LB,3600.0,-,567441.44,-,-,-,-,-
750_226_4_08,GH,3600.0,0.00,685654.13,-,-,-,-,-
750_226_4_08,GH + HC,3600.0,439.36,567457.26,118197.0,17.0,211.685,30,80
750_226_4_09,LB,3600.0,-,567460.8,-,-,-,-,-
750_226_4_09,GH,3600.0,0.00,686478.28,-,-,-,-,-
750_226_4_09,GH + HC,3600.0,484.12,567491.18,118987.0,17.0,263.307,36,86
750_226_4_10,LB,3600.0,-,567474.26,-,-,-,-,-
750_226_4_10,GH,3600.0,0.00,685635.93,-,-,-,-,-
750_226_4_10,GH + HC,3600.0,464.3,567492.44,118143.0,17.0,210.148,26,76
750_226_4_11,LB,3600.0,-,567435.3,-,-,-,-,-
750_226_4_11,GH,3600.0,0.00,689114.4,-,-,-,-,-
750_226_4_11,GH + HC,3600.0,464.83,567449.94,121664.0,18.0,205.542,26,76
750_226_4_12,LB,3600.0,-,567438.92,-,-,-,-,-
750_226_4_12,GH,3600.0,0.00,684611.82,-,-,-,-,-
750_226_4_12,GH + HC,3600.0,449.12,567464.5,117147.0,17.0,225.798,27,77
750_226_4_13,LB,3600.0,-,567457.26,-,-,-,-,-
750_226_4_13,GH,3600.0,0.00,679036.61,-,-,-,-,-
750_226_4_13,GH + HC,3600.0,431.86,567475.44,111561.0,16.0,184.619,26,76
750_226_4_14,LB,3600.0,-,567441.44,-,-,-,-,-
750_226_4_14,GH,3600.0,0.00,681527.28,-,-,-,-,-
750_226_4_14,GH + HC,3600.0,469.81,567471.82,114055.0,17.0,222.277,31,81
750_226_4_15,LB,3600.0,-,567460.88,-,-,-,-,-
750_226_4_15,GH,3600.0,0.00,683502.84,-,-,-,-,-
750_226_4_15,GH + HC,3600.0,445.13,567471.82,116031.0,17.0,216.677,25,75
750_226_4_16,LB,3600.0,-,567457.18,-,-,-,-,-
750_226_4_16,GH,3600.0,0.00,678200.33,-,-,-,-,-
750_226_4_16,GH + HC,3600.0,496.56,567471.82,110729.0,16.0,203.874,27,77
750_226_4_17,LB,3600.0,-,567430.5,-,-,-,-,-
750_226_4_17,GH,3600.0,0.00,684872.4,-,-,-,-,-
750_226_4_17,GH + HC,3600.0,432.96,567437.82,117435.0,17.0,205.981,28,78
750_226_4_18,LB,3600.0,-,567449.86,-,-,-,-,-
750_226_4_18,GH,3600.0,0.00,680957.63,-,-,-,-,-
750_226_4_18,GH + HC,3600.0,424.87,567464.5,113493.0,17.0,198.344,28,78
750_226_4_19,LB,3600.0,-,567462.06,-,-,-,-,-
750_226_4_19,GH,3600.0,0.00,680272.87,-,-,-,-,-
750_226_4_19,GH + HC,3600.0,454.47,567474.26,112799.0,17.0,183.175,27,77
