lower bound for relaxed s_ij: 567440.18

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 686841.9

stacks (top to bottom):
stack 0:    262 644 555 251 
stack 1:    534 274 300 192 
stack 2:    419 100 208 470 
stack 3:    141 559 280 679 
stack 4:    599 588 516 266 
stack 5:    651 325 79 547 
stack 6:    590 308 698 650 
stack 7:    641 621 125 104 
stack 8:    362 420 739 255 
stack 9:    428 655 675 508 
stack 10:    361 725 108 151 
stack 11:    73 446 316 161 
stack 12:    181 528 359 587 
stack 13:    434 242 417 532 
stack 14:    397 98 541 616 
stack 15:    16 128 264 117 
stack 16:    524 664 107 703 
stack 17:    484 741 204 103 
stack 18:    598 529 188 27 
stack 19:    14 685 82 677 
stack 20:    381 39 62 297 
stack 21:    298 92 143 368 
stack 22:    253 592 595 89 
stack 23:    184 383 494 120 
stack 24:    159 182 660 199 
stack 25:    702 438 68 37 
stack 26:    70 165 234 722 
stack 27:    351 20 238 401 
stack 28:    606 374 391 394 
stack 29:    66 459 179 563 
stack 30:    696 333 635 537 
stack 31:    707 452 112 490 
stack 32:    40 400 346 379 
stack 33:    218 395 439 536 
stack 34:    667 533 665 390 
stack 35:    464 318 213 303 
stack 36:    683 25 510 654 
stack 37:    467 414 364 1 
stack 38:    254 425 268 489 
stack 39:    219 291 294 455 
stack 40:    612 525 694 341 
stack 41:    286 509 709 731 
stack 42:    643 366 162 633 
stack 43:    157 637 209 354 
stack 44:    546 638 44 356 
stack 45:    727 626 235 309 
stack 46:    326 212 447 222 
stack 47:    249 295 591 310 
stack 48:    270 530 52 289 
stack 49:    324 556 693 671 
stack 50:    523 493 735 402 
stack 51:    628 742 718 450 
stack 52:    479 365 403 496 
stack 53:    2 245 483 96 
stack 54:    474 448 548 568 
stack 55:    178 278 697 477 
stack 56:    413 215 207 335 
stack 57:    150 636 424 258 
stack 58:    481 674 619 355 
stack 59:    372 135 269 732 
stack 60:    131 80 449 589 
stack 61:    155 43 0 656 
stack 62:    99 704 67 116 
stack 63:    378 512 56 113 
stack 64:    353 134 386 437 
stack 65:    673 672 712 715 
stack 66:    596 578 69 339 
stack 67:    624 348 18 237 
stack 68:    228 259 197 180 
stack 69:    668 59 3 239 
stack 70:    305 659 570 478 
stack 71:    140 357 430 648 
stack 72:    663 375 575 552 
stack 73:    124 726 203 77 
stack 74:    12 260 433 49 
stack 75:    301 292 195 229 
stack 76:    363 130 406 412 
stack 77:    518 223 45 71 
stack 78:    462 473 190 86 
stack 79:    503 189 398 399 
stack 80:    600 737 47 690 
stack 81:    340 221 647 629 
stack 82:    156 734 168 661 
stack 83:    290 30 550 111 
stack 84:    164 319 129 733 
stack 85:    396 26 201 622 
stack 86:    597 247 118 275 
stack 87:    444 240 83 265 
stack 88:    293 35 634 558 
