lower bound for relaxed s_ij: 567441.44

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 681527.28

stacks (top to bottom):
stack 0:    176 175 107 79 
stack 1:    486 637 29 550 
stack 2:    350 74 7 413 
stack 3:    0 418 207 629 
stack 4:    516 708 636 337 
stack 5:    704 394 196 630 
stack 6:    569 484 437 719 
stack 7:    369 509 590 689 
stack 8:    398 599 572 273 
stack 9:    46 722 735 316 
stack 10:    710 743 498 499 
stack 11:    233 224 269 30 
stack 12:    470 60 500 523 
stack 13:    426 597 158 241 
stack 14:    139 382 381 558 
stack 15:    508 643 153 664 
stack 16:    531 95 677 712 
stack 17:    587 49 253 721 
stack 18:    469 370 665 216 
stack 19:    738 349 414 124 
stack 20:    332 71 38 184 
stack 21:    430 458 235 31 
stack 22:    308 644 576 323 
stack 23:    206 322 43 182 
stack 24:    446 154 346 179 
stack 25:    342 705 674 477 
stack 26:    424 432 607 22 
stack 27:    266 416 358 199 
stack 28:    99 701 631 58 
stack 29:    129 594 479 208 
stack 30:    243 443 667 511 
stack 31:    296 55 189 162 
stack 32:    131 201 292 497 
stack 33:    408 702 228 304 
stack 34:    588 251 300 145 
stack 35:    245 543 14 281 
stack 36:    539 238 329 77 
stack 37:    433 181 220 632 
stack 38:    229 462 709 173 
stack 39:    547 642 367 160 
stack 40:    451 698 321 641 
stack 41:    325 680 364 24 
stack 42:    198 97 412 440 
stack 43:    203 683 548 522 
stack 44:    171 90 564 730 
stack 45:    404 36 339 354 
stack 46:    314 386 608 392 
stack 47:    429 113 688 648 
stack 48:    120 202 717 561 
stack 49:    76 282 345 306 
stack 50:    645 149 111 633 
stack 51:    194 200 485 302 
stack 52:    115 727 407 289 
stack 53:    538 54 427 579 
stack 54:    278 505 603 258 
stack 55:    559 352 57 180 
stack 56:    489 660 562 466 
stack 57:    18 324 343 361 
stack 58:    188 3 535 272 
stack 59:    87 598 64 527 
stack 60:    534 609 474 472 
stack 61:    259 183 335 84 
stack 62:    277 399 333 126 
stack 63:    506 491 463 652 
stack 64:    605 45 148 577 
stack 65:    141 541 2 533 
stack 66:    331 672 299 285 
stack 67:    583 144 334 482 
stack 68:    744 122 591 668 
stack 69:    330 693 371 503 
stack 70:    740 211 640 19 
stack 71:    105 619 214 401 
stack 72:    212 186 47 374 
stack 73:    204 748 319 303 
stack 74:    417 724 130 657 
stack 75:    379 338 504 265 
stack 76:    526 581 67 11 
stack 77:    336 197 218 254 
stack 78:    42 143 734 461 
stack 79:    405 686 1 37 
stack 80:    312 388 635 21 
stack 81:    137 567 193 288 
stack 82:    356 528 656 275 
stack 83:    532 733 309 313 
stack 84:    106 267 41 473 
stack 85:    654 301 467 647 
stack 86:    239 513 34 663 
stack 87:    26 169 510 68 
stack 88:    35 593 556 75 
stack 89:    453 72 549 236 
stack 90:    13 119 295 264 
stack 91:    731 706 190 353 
stack 92:    696 396 155 655 
stack 93:    639 684 749 315 
stack 94:    570 134 573 445 
stack 95:    431 270 359 638 
stack 96:    422 244 83 283 
stack 97:    707 393 555 110 
stack 98:    276 434 252 138 
stack 99:    268 618 464 128 
stack 100:    167 568 360 512 
stack 101:    616 546 490 103 
stack 102:    191 102 376 17 
stack 103:    715 742 615 205 
stack 104:    219 231 70 96 
stack 105:    234 745 487 649 
stack 106:    93 215 662 39 
stack 107:    646 455 271 261 
stack 108:    452 100 406 475 
stack 109:    606 515 260 136 
stack 110:    250 20 726 85 
stack 111:    227 584 496 456 
stack 112:    551 545 428 94 
stack 113:    372 383 384 157 
stack 114:    284 230 700 423 
stack 115:    621 348 210 242 
stack 116:    263 670 602 174 
stack 117:    468 357 172 703 
stack 118:    9 525 650 402 
stack 119:    217 305 589 480 
stack 120:    28 257 679 23 
stack 121:    454 673 682 262 
stack 122:    195 123 529 713 
stack 123:    377 690 419 411 
stack 124:    627 676 109 287 
stack 125:    601 420 623 274 
stack 126:    347 582 82 286 
stack 127:    410 596 378 132 
stack 128:    152 625 537 213 
stack 129:    81 403 666 595 
stack 130:    578 575 56 118 
stack 131:    61 514 249 481 
stack 132:    150 53 63 92 
stack 133:    311 170 415 51 
stack 134:    400 237 675 397 
stack 135:    385 6 185 373 
stack 136:    135 736 291 247 
stack 137:    351 226 628 592 
stack 138:    156 681 362 52 
stack 139:    494 653 225 571 
stack 140:    624 91 478 465 
stack 141:    436 553 10 729 
stack 142:    732 69 108 694 
stack 143:    65 611 444 519 
stack 144:    140 720 16 697 
stack 145:    290 112 390 246 
stack 146:    658 232 612 507 
stack 147:    177 142 166 165 
stack 148:    502 669 614 147 
stack 149:    718 368 44 380 
stack 150:    178 739 574 387 
stack 151:    687 439 8 699 
stack 152:    613 310 459 66 
stack 153:    307 518 279 483 
stack 154:    563 298 222 395 
stack 155:    33 161 544 448 
stack 156:    326 192 435 187 
stack 157:    471 80 121 600 
stack 158:    209 449 580 501 
stack 159:    634 492 585 409 
stack 160:    86 620 651 164 
stack 161:    441 256 565 450 
stack 162:    363 457 127 524 
stack 163:    678 40 604 240 
stack 164:    725 104 73 88 
stack 165:    723 566 542 671 
stack 166:    117 714 5 328 
stack 167:    50 27 610 552 
stack 168:    389 48 476 695 
stack 169:    521 557 737 659 
stack 170:    425 517 626 151 
stack 171:    344 530 114 159 
stack 172:    168 341 685 586 
stack 173:    728 365 355 746 
stack 174:    716 421 340 391 
stack 175:    617 125 62 146 
stack 176:    255 133 163 317 
stack 177:    711 89 294 98 
stack 178:    318 116 248 536 
stack 179:    741 540 488 560 
stack 180:    297 747 280 447 
stack 181:    554 366 661 495 
stack 182:    320 221 32 460 
stack 183:    59 293 15 
stack 184:    375 101 520 223 
stack 185:    622 692 327 
stack 186:    438 25 
stack 187:    691 78 
stack 188:    4 12 
stack 189:    493 442 
stack 190:    
stack 191:    
stack 192:    
stack 193:    
stack 194:    
stack 195:    
stack 196:    
stack 197:    
stack 198:    
stack 199:    
stack 200:    
stack 201:    
stack 202:    
stack 203:    
stack 204:    
stack 205:    
stack 206:    
stack 207:    
stack 208:    
stack 209:    
stack 210:    
stack 211:    
stack 212:    
stack 213:    
stack 214:    
stack 215:    
stack 216:    
stack 217:    
stack 218:    
stack 219:    
stack 220:    
stack 221:    
