solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 15.54 s
objective value: 282007.1

stacks (top to bottom):
stack 0:    0 
stack 1:    
stack 2:    2 
stack 3:    
stack 4:    253 
stack 5:    
stack 6:    6 
stack 7:    257 
stack 8:    8 
stack 9:    9 
stack 10:    10 
stack 11:    
stack 12:    12 
stack 13:    269 93 265 15 268 
stack 14:    460 275 272 499 20 
stack 15:    121 210 465 16 23 
stack 16:    323 281 290 443 309 
stack 17:    285 47 57 267 358 
stack 18:    25 31 399 142 74 
stack 19:    308 64 44 32 277 
stack 20:    173 432 442 42 234 
stack 21:    230 492 279 404 212 
stack 22:    278 62 174 82 273 
stack 23:    302 325 411 189 240 
stack 24:    298 366 304 24 228 
stack 25:    29 484 276 324 431 
stack 26:    160 133 178 127 99 
stack 27:    374 288 236 338 297 
stack 28:    452 190 387 369 172 
stack 29:    115 359 476 116 171 
stack 30:    246 114 141 30 154 
stack 31:    486 51 295 497 80 
stack 32:    365 440 166 450 162 
stack 33:    229 375 328 94 52 
stack 34:    306 183 316 122 455 
stack 35:    175 134 155 193 491 
stack 36:    293 303 103 161 202 
stack 37:    357 426 429 322 407 
stack 38:    317 113 110 55 370 
stack 39:    330 182 318 461 149 
stack 40:    415 383 97 217 307 
stack 41:    147 218 382 453 215 
stack 42:    219 333 436 221 157 
stack 43:    98 376 45 320 487 
stack 44:    58 208 478 361 70 
stack 45:    203 156 108 348 109 
stack 46:    396 490 371 226 430 
stack 47:    124 91 111 181 165 
stack 48:    488 153 249 437 346 
stack 49:    467 192 494 140 363 
stack 50:    401 392 394 331 186 
stack 51:    472 239 337 76 148 
stack 52:    232 355 128 188 339 
stack 53:    196 56 106 384 418 
stack 54:    356 129 195 458 312 
stack 55:    321 143 457 481 180 
stack 56:    335 158 483 101 117 
stack 57:    495 73 422 81 397 
stack 58:    198 393 69 409 423 
stack 59:    85 498 368 244 373 
stack 60:    250 
stack 61:    1 251 
stack 62:    252 
stack 63:    3 
stack 64:    255 4 254 
stack 65:    5 
stack 66:    
stack 67:    7 256 
stack 68:    258 
stack 69:    259 
stack 70:    260 
stack 71:    261 11 
stack 72:    88 262 463 274 107 
stack 73:    14 479 264 263 13 
stack 74:    459 216 403 214 26 
stack 75:    270 364 48 18 367 
stack 76:    19 296 138 266 271 
stack 77:    350 39 28 17 163 
stack 78:    27 90 402 152 345 
stack 79:    287 280 43 243 412 
stack 80:    200 79 206 21 146 
stack 81:    35 351 71 36 213 
stack 82:    209 235 96 22 289 
stack 83:    414 201 168 179 416 
stack 84:    61 427 408 50 125 
stack 85:    292 362 199 283 119 
stack 86:    347 132 197 352 60 
stack 87:    389 238 378 135 327 
stack 88:    419 63 241 462 286 
stack 89:    41 78 454 315 49 
stack 90:    169 451 204 449 126 
stack 91:    398 207 46 187 223 
stack 92:    75 89 40 332 282 
stack 93:    34 471 33 410 67 
stack 94:    291 231 86 37 284 
stack 95:    395 87 164 227 388 
stack 96:    386 105 247 176 194 
stack 97:    406 38 448 444 294 
stack 98:    391 311 233 313 144 
stack 99:    84 65 400 145 104 
stack 100:    336 59 377 482 248 
stack 101:    54 184 222 435 439 
stack 102:    413 420 470 299 385 
stack 103:    334 434 185 341 319 
stack 104:    92 211 130 340 136 
stack 105:    485 170 466 139 53 
stack 106:    342 123 120 220 167 
stack 107:    424 66 349 242 468 
stack 108:    329 405 95 205 83 
stack 109:    475 245 326 159 489 
stack 110:    428 447 237 456 300 
stack 111:    151 131 314 354 301 
stack 112:    425 469 480 464 77 
stack 113:    225 372 441 473 360 
stack 114:    446 438 474 112 310 
stack 115:    224 445 305 493 344 
stack 116:    477 353 343 379 137 
stack 117:    390 381 118 100 417 
stack 118:    68 150 191 72 177 
stack 119:    380 496 421 433 102 
