instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_101_6_18,LB,1800.0,-,297957.02,-,-,-,-,-
500_101_6_18,BinP,1800.0,543.18,297964.34
500_101_6_18,GH,1800.0,0.00,328990.06
500_101_6_18,GH + TS,1800.0,286.33,297964.34,31026.0,9.0,15.476,94,344
500_101_6_18,GH + HC,1800.0,147.15,297964.34,31026.0,9.0,14.715,72,322
500_101_6_19,LB,1800.0,-,297963.08,-,-,-,-,-
500_101_6_19,BinP,1800.0,461.70,297974.02
500_101_6_19,GH,1800.0,0.00,328196.2
500_101_6_19,GH + TS,1800.0,276.54,297988.58,30208.0,9.0,17.375,117,367
500_101_6_19,GH + HC,1800.0,165.14,297974.02,30222.0,9.0,32.751,160,410
