solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 47.11 s
objective value: 282009.54

stacks (top to bottom):
stack 0:    250 
stack 1:    251 
stack 2:    252 
stack 3:    
stack 4:    
stack 5:    255 
stack 6:    
stack 7:    7 257 
stack 8:    8 
stack 9:    9 
stack 10:    
stack 11:    11 
stack 12:    12 
stack 13:    215 264 476 13 279 
stack 14:    439 26 268 87 489 
stack 15:    293 486 415 226 205 
stack 16:    76 229 270 266 34 
stack 17:    274 276 480 275 19 
stack 18:    25 291 288 430 397 
stack 19:    295 340 232 243 306 
stack 20:    154 494 129 354 241 
stack 21:    410 367 219 466 286 
stack 22:    146 230 305 460 135 
stack 23:    487 401 388 392 29 
stack 24:    138 233 228 432 481 
stack 25:    335 307 317 204 44 
stack 26:    427 448 281 290 311 
stack 27:    159 334 376 429 278 
stack 28:    471 79 125 55 113 
stack 29:    431 201 289 319 282 
stack 30:    496 124 470 428 171 
stack 31:    162 497 195 91 143 
stack 32:    449 235 434 172 474 
stack 33:    36 43 361 450 161 
stack 34:    139 151 78 66 80 
stack 35:    346 488 48 379 64 
stack 36:    437 332 490 177 484 
stack 37:    441 234 400 362 37 
stack 38:    67 422 182 483 42 
stack 39:    326 169 209 65 325 
stack 40:    140 242 457 109 316 
stack 41:    115 49 163 103 345 
stack 42:    352 157 467 144 207 
stack 43:    46 333 498 374 88 
stack 44:    350 348 351 296 478 
stack 45:    405 338 81 167 45 
stack 46:    413 95 473 193 373 
stack 47:    189 461 365 89 300 
stack 48:    156 433 206 223 479 
stack 49:    244 117 342 420 191 
stack 50:    185 122 318 142 164 
stack 51:    176 217 148 236 212 
stack 52:    349 389 463 239 370 
stack 53:    105 337 203 443 100 
stack 54:    341 85 68 472 70 
stack 55:    73 436 435 314 98 
stack 56:    74 158 425 106 336 
stack 57:    343 452 321 175 411 
stack 58:    141 150 399 387 237 
stack 59:    445 199 86 120 152 
stack 60:    
stack 61:    0 1 
stack 62:    2 3 
stack 63:    253 
stack 64:    254 4 
stack 65:    5 256 
stack 66:    6 
stack 67:    
stack 68:    258 
stack 69:    259 
stack 70:    260 10 
stack 71:    261 
stack 72:    263 366 262 312 408 
stack 73:    339 16 267 393 15 
stack 74:    265 132 491 75 14 
stack 75:    17 200 247 22 271 
stack 76:    357 419 28 214 21 
stack 77:    102 464 18 277 20 
stack 78:    168 407 287 96 110 
stack 79:    272 269 442 294 41 
stack 80:    453 190 186 382 27 
stack 81:    438 23 381 24 273 
stack 82:    323 298 280 456 84 
stack 83:    485 238 358 31 324 
stack 84:    165 198 297 402 248 
stack 85:    283 360 308 414 216 
stack 86:    423 386 30 33 32 
stack 87:    222 284 499 47 180 
stack 88:    447 477 404 187 52 
stack 89:    112 90 221 406 184 
stack 90:    285 181 451 35 145 
stack 91:    309 385 104 39 465 
stack 92:    327 246 353 202 155 
stack 93:    292 38 245 380 302 
stack 94:    458 390 444 40 356 
stack 95:    50 153 322 121 173 
stack 96:    299 383 101 99 421 
stack 97:    77 53 394 303 218 
stack 98:    92 194 359 131 459 
stack 99:    147 440 454 363 136 
stack 100:    409 51 378 475 424 
stack 101:    130 133 127 231 375 
stack 102:    71 412 128 426 403 
stack 103:    114 69 179 108 211 
stack 104:    377 93 446 469 107 
stack 105:    310 62 364 58 119 
stack 106:    197 192 330 56 170 
stack 107:    54 118 416 220 320 
stack 108:    418 372 395 72 166 
stack 109:    249 240 149 384 301 
stack 110:    328 183 208 304 174 
stack 111:    123 225 126 417 137 
stack 112:    178 160 134 462 396 
stack 113:    315 368 57 495 371 
stack 114:    83 468 227 210 492 
stack 115:    313 493 97 213 196 
stack 116:    111 455 331 59 94 
stack 117:    61 391 63 398 344 
stack 118:    347 60 224 482 369 
stack 119:    188 116 82 355 329 
