instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_101_6_18,LB,1800.0,-,297957.02,-,-,-,-,-
500_101_6_18,BinP,1800.0,549.92,297964.34
500_101_6_18,GH,1800.0,0.00,329317.3
500_101_6_18,GH + TS,1800.0,446.54,297964.34,31353.0,10.0,61.833,208,558
500_101_6_18,GH + HC,1800.0,260.5,297964.34,31353.0,10.0,53.938,289,639
500_101_6_19,LB,1800.0,-,297963.08,-,-,-,-,-
500_101_6_19,BinP,1800.0,464.60,297974.02
500_101_6_19,GH,1800.0,0.00,327850.78
500_101_6_19,GH + TS,1800.0,412.29,297974.02,29877.0,9.0,52.594,174,524
500_101_6_19,GH + HC,1800.0,335.67,297976.46,29874.0,9.0,95.983,422,772
