solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 166,61 s
objective value: 282013.16

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    2 
stack 3:    253 
stack 4:    254 
stack 5:    4 
stack 6:    
stack 7:    7 
stack 8:    
stack 9:    259 
stack 10:    260 10 
stack 11:    261 
stack 12:    
stack 13:    481 231 265 264 263 
stack 14:    266 316 287 26 235 
stack 15:    355 18 15 175 41 
stack 16:    25 290 171 267 17 
stack 17:    274 19 157 364 400 
stack 18:    489 38 271 21 28 
stack 19:    269 191 441 30 207 
stack 20:    39 20 43 433 103 
stack 21:    410 170 31 208 22 
stack 22:    142 128 50 343 461 
stack 23:    232 33 82 281 384 
stack 24:    90 354 291 143 466 
stack 25:    347 213 399 145 277 
stack 26:    451 35 344 351 220 
stack 27:    432 305 183 420 87 
stack 28:    329 491 68 29 119 
stack 29:    99 101 413 165 138 
stack 30:    493 334 480 203 37 
stack 31:    415 56 299 300 498 
stack 32:    54 94 304 36 368 
stack 33:    330 288 44 160 53 
stack 34:    122 350 380 377 359 
stack 35:    88 92 40 86 338 
stack 36:    328 430 462 55 52 
stack 37:    311 336 192 460 298 
stack 38:    474 149 197 221 154 
stack 39:    243 161 176 131 196 
stack 40:    315 396 242 406 436 
stack 41:    310 135 331 212 237 
stack 42:    46 403 238 112 162 
stack 43:    301 153 184 346 123 
stack 44:    227 76 295 163 440 
stack 45:    425 159 245 325 439 
stack 46:    210 95 246 98 362 
stack 47:    456 132 324 222 435 
stack 48:    69 312 193 79 375 
stack 49:    477 240 124 401 111 
stack 50:    437 482 201 402 340 
stack 51:    118 308 358 75 404 
stack 52:    494 381 414 206 120 
stack 53:    102 194 84 320 77 
stack 54:    72 371 151 152 424 
stack 55:    418 378 411 389 471 
stack 56:    383 472 136 180 166 
stack 57:    140 382 467 367 93 
stack 58:    121 419 360 345 230 
stack 59:    469 387 234 376 185 
stack 60:    250 0 
stack 61:    251 1 
stack 62:    252 
stack 63:    3 
stack 64:    
stack 65:    255 5 
stack 66:    6 256 
stack 67:    257 
stack 68:    258 
stack 69:    8 9 
stack 70:    11 
stack 71:    262 
stack 72:    13 12 16 273 14 
stack 73:    397 108 24 130 294 
stack 74:    276 270 278 405 158 
stack 75:    168 289 81 27 42 
stack 76:    74 363 284 286 303 
stack 77:    195 198 23 164 476 
stack 78:    268 458 285 335 282 
stack 79:    177 60 117 365 45 
stack 80:    113 422 214 239 32 
stack 81:    421 241 438 100 429 
stack 82:    485 390 57 129 272 
stack 83:    468 455 357 306 391 
stack 84:    313 65 279 499 133 
stack 85:    463 275 202 416 205 
stack 86:    147 187 51 73 219 
stack 87:    127 442 488 337 229 
stack 88:    293 478 465 446 445 
stack 89:    484 49 428 427 322 
stack 90:    182 190 423 280 125 
stack 91:    283 70 409 58 457 
stack 92:    34 179 78 443 48 
stack 93:    247 89 83 297 172 
stack 94:    236 373 224 408 146 
stack 95:    372 204 292 80 199 
stack 96:    321 107 417 307 388 
stack 97:    200 148 139 385 106 
stack 98:    91 454 479 104 369 
stack 99:    475 352 223 374 342 
stack 100:    486 318 296 116 173 
stack 101:    249 174 126 85 393 
stack 102:    309 339 361 356 137 
stack 103:    452 110 323 109 496 
stack 104:    326 225 217 167 47 
stack 105:    395 67 96 215 386 
stack 106:    169 490 319 233 464 
stack 107:    115 444 216 492 71 
stack 108:    431 228 188 64 379 
stack 109:    459 97 366 181 141 
stack 110:    333 317 314 450 348 
stack 111:    178 302 370 327 59 
stack 112:    434 447 407 105 211 
stack 113:    226 487 497 470 209 
stack 114:    114 394 63 61 144 
stack 115:    412 150 189 398 62 
stack 116:    449 66 349 156 426 
stack 117:    244 473 186 155 483 
stack 118:    453 134 248 495 332 
stack 119:    448 353 341 218 392 
