solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 981,69 s
objective value: 1177725.16

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    2 
stack 3:    3 
stack 4:    504 
stack 5:    
stack 6:    6 
stack 7:    7 
stack 8:    
stack 9:    10 
stack 10:    
stack 11:    511 
stack 12:    
stack 13:    513 13 
stack 14:    
stack 15:    
stack 16:    
stack 17:    17 
stack 18:    18 
stack 19:    19 519 
stack 20:    21 
stack 21:    477 24 887 44 885 488 
stack 22:    204 534 724 346 522 31 
stack 23:    30 23 246 489 43 524 
stack 24:    783 35 965 429 442 526 
stack 25:    730 908 798 562 564 175 
stack 26:    641 762 931 27 87 529 
stack 27:    220 768 739 923 65 364 
stack 28:    352 605 996 727 837 66 
stack 29:    677 419 531 244 570 89 
stack 30:    218 571 411 47 954 363 
stack 31:    543 883 533 126 67 289 
stack 32:    659 84 676 953 592 45 
stack 33:    665 302 647 201 49 388 
stack 34:    833 610 952 430 34 614 
stack 35:    551 341 99 995 776 36 
stack 36:    61 628 821 347 418 769 
stack 37:    556 319 631 390 214 71 
stack 38:    626 259 73 699 327 234 
stack 39:    202 541 966 568 565 401 
stack 40:    78 42 114 82 137 236 
stack 41:    788 166 258 709 396 601 
stack 42:    196 983 653 745 199 542 
stack 43:    422 268 68 844 384 856 
stack 44:    76 767 91 589 907 633 
stack 45:    378 496 46 894 859 550 
stack 46:    48 359 118 64 813 286 
stack 47:    642 942 805 547 487 593 
stack 48:    454 353 640 765 164 567 
stack 49:    117 334 272 215 475 763 
stack 50:    50 460 468 743 406 90 
stack 51:    55 956 675 135 850 222 
stack 52:    868 257 349 276 737 395 
stack 53:    843 476 873 927 72 682 
stack 54:    223 934 461 827 106 577 
stack 55:    939 929 932 450 558 649 
stack 56:    458 235 447 243 668 382 
stack 57:    325 826 773 784 935 97 
stack 58:    922 830 337 876 639 112 
stack 59:    632 308 766 186 101 131 
stack 60:    408 897 309 354 301 340 
stack 61:    160 893 886 638 742 802 
stack 62:    279 377 116 955 892 652 
stack 63:    143 444 146 746 217 303 
stack 64:    790 119 987 369 904 219 
stack 65:    310 696 831 294 342 437 
stack 66:    261 782 778 441 729 490 
stack 67:    916 170 706 465 132 616 
stack 68:    686 138 943 946 459 151 
stack 69:    599 871 602 111 252 703 
stack 70:    291 191 604 227 229 799 
stack 71:    618 284 287 398 413 448 
stack 72:    446 306 797 157 361 902 
stack 73:    178 125 499 585 928 835 
stack 74:    495 74 960 697 357 719 
stack 75:    674 445 801 725 764 753 
stack 76:    598 977 964 903 498 81 
stack 77:    424 107 650 153 848 122 
stack 78:    392 403 841 110 980 154 
stack 79:    750 108 300 793 646 412 
stack 80:    731 861 842 704 250 239 
stack 81:    326 969 621 982 878 332 
stack 82:    338 834 139 381 691 497 
stack 83:    734 760 320 329 901 717 
stack 84:    472 423 993 457 479 608 
stack 85:    918 791 492 493 823 100 
stack 86:    596 951 311 992 312 840 
stack 87:    661 233 981 781 643 428 
stack 88:    383 845 271 777 747 96 
stack 89:    226 853 979 822 211 292 
stack 90:    911 803 660 968 405 273 
stack 91:    169 285 612 655 917 994 
stack 92:    684 617 336 880 849 256 
stack 93:    713 832 732 133 890 365 
stack 94:    351 104 149 438 180 600 
stack 95:    462 899 685 789 358 986 
stack 96:    174 278 407 740 264 173 
stack 97:    970 695 481 350 755 940 
stack 98:    165 484 863 785 624 394 
stack 99:    491 913 636 144 772 854 
stack 100:    213 619 629 209 269 687 
stack 101:    
stack 102:    1 500 0 501 
stack 103:    502 
stack 104:    503 
stack 105:    505 4 
stack 106:    5 
stack 107:    506 
stack 108:    507 
stack 109:    508 8 
stack 110:    509 9 
stack 111:    510 
stack 112:    11 512 
stack 113:    
stack 114:    12 
stack 115:    14 514 
stack 116:    15 515 
stack 117:    516 16 
stack 118:    517 
stack 119:    518 
stack 120:    520 
stack 121:    521 52 20 26 
stack 122:    525 561 22 744 967 581 
stack 123:    53 535 528 846 673 523 
stack 124:    532 147 28 812 297 816 
stack 125:    38 544 25 560 690 373 
stack 126:    33 527 921 906 648 251 
stack 127:    559 366 839 115 595 404 
stack 128:    810 155 40 530 536 318 
stack 129:    29 54 539 37 182 290 
stack 130:    335 877 75 451 609 177 
stack 131:    32 263 944 711 545 718 
stack 132:    41 433 453 538 701 238 
stack 133:    540 698 360 141 752 57 
stack 134:    759 587 930 537 546 197 
stack 135:    988 274 255 563 466 974 
stack 136:    120 230 316 56 69 39 
stack 137:    552 948 324 958 796 171 
stack 138:    128 265 83 434 355 127 
stack 139:    959 478 58 93 712 683 
stack 140:    109 313 819 333 555 761 
stack 141:    208 792 895 77 95 242 
stack 142:    295 806 984 720 945 554 
stack 143:    469 855 658 548 569 240 
stack 144:    914 123 591 869 420 549 
stack 145:    635 705 884 933 836 574 
stack 146:    723 431 828 467 328 553 
stack 147:    576 721 817 247 486 321 
stack 148:    594 771 371 59 176 70 
stack 149:    557 786 51 654 989 867 
