solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 842,45 s
objective value: 1110916.02

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    502 
stack 3:    3 
stack 4:    
stack 5:    504 5 
stack 6:    6 
stack 7:    7 
stack 8:    8 
stack 9:    509 
stack 10:    510 
stack 11:    
stack 12:    12 
stack 13:    13 
stack 14:    14 514 
stack 15:    
stack 16:    
stack 17:    
stack 18:    
stack 19:    
stack 20:    
stack 21:    521 
stack 22:    22 
stack 23:    23 
stack 24:    
stack 25:    453 154 46 324 
stack 26:    359 121 70 526 48 
stack 27:    550 55 528 27 929 
stack 28:    674 44 145 150 62 
stack 29:    534 759 745 746 668 
stack 30:    797 107 880 36 592 
stack 31:    572 541 865 416 32 
stack 32:    33 740 662 57 492 
stack 33:    841 104 635 417 552 
stack 34:    302 34 322 756 40 
stack 35:    63 810 681 537 84 
stack 36:    37 565 908 546 545 
stack 37:    999 599 43 564 71 
stack 38:    975 343 912 748 52 
stack 39:    385 688 549 627 608 
stack 40:    845 628 292 551 439 
stack 41:    308 665 717 557 577 
stack 42:    663 334 561 190 93 
stack 43:    429 945 339 497 566 
stack 44:    574 832 477 65 187 
stack 45:    92 61 631 124 289 
stack 46:    315 295 472 254 554 
stack 47:    53 676 287 264 641 
stack 48:    51 769 979 723 97 
stack 49:    943 560 90 702 450 
stack 50:    433 50 319 755 282 
stack 51:    374 402 653 91 907 
stack 52:    85 105 431 378 193 
stack 53:    738 995 585 142 610 
stack 54:    244 445 318 106 586 
stack 55:    851 191 352 571 366 
stack 56:    182 482 329 562 616 
stack 57:    906 159 67 904 847 
stack 58:    245 112 94 579 935 
stack 59:    456 200 134 258 75 
stack 60:    413 580 372 714 724 
stack 61:    750 272 962 799 642 
stack 62:    175 394 480 73 887 
stack 63:    468 733 405 202 848 
stack 64:    435 267 689 624 783 
stack 65:    889 852 726 645 194 
stack 66:    987 744 710 131 771 
stack 67:    818 460 867 83 123 
stack 68:    99 868 881 623 682 
stack 69:    774 672 496 638 391 
stack 70:    596 829 718 778 965 
stack 71:    793 617 483 578 773 
stack 72:    186 262 305 252 856 
stack 73:    878 787 426 601 819 
stack 74:    941 722 221 370 199 
stack 75:    575 466 423 590 576 
stack 76:    116 807 133 409 217 
stack 77:    103 96 356 196 669 
stack 78:    925 120 969 703 898 
stack 79:    88 673 281 122 697 
stack 80:    257 708 811 706 177 
stack 81:    448 597 884 890 373 
stack 82:    761 326 684 765 422 
stack 83:    268 481 763 438 785 
stack 84:    721 411 491 171 238 
stack 85:    983 404 636 749 172 
stack 86:    947 138 464 303 789 
stack 87:    780 720 862 226 205 
stack 88:    820 626 495 737 790 
stack 89:    375 866 215 100 250 
stack 90:    256 144 278 441 595 
stack 91:    179 446 108 984 786 
stack 92:    270 312 643 667 731 
stack 93:    894 152 996 271 216 
stack 94:    630 913 428 764 715 
stack 95:    926 470 432 274 195 
stack 96:    203 341 473 980 892 
stack 97:    831 471 412 986 836 
stack 98:    390 365 766 619 974 
stack 99:    488 747 149 310 323 
stack 100:    968 410 301 183 918 
stack 101:    664 910 309 283 792 
stack 102:    340 650 629 875 126 
stack 103:    741 970 775 911 916 
stack 104:    776 606 249 380 677 
stack 105:    242 959 327 379 236 
stack 106:    452 989 834 690 162 
stack 107:    652 357 770 353 942 
stack 108:    694 679 615 222 813 
stack 109:    879 951 903 228 479 
stack 110:    358 406 348 976 475 
stack 111:    392 692 854 949 241 
stack 112:    188 246 311 420 751 
stack 113:    117 204 296 812 897 
stack 114:    843 686 917 345 317 
stack 115:    223 192 174 877 386 
stack 116:    734 243 437 320 861 
stack 117:    229 842 346 164 671 
stack 118:    459 225 700 768 788 
stack 119:    403 784 830 141 869 
stack 120:    0 500 
stack 121:    501 
stack 122:    2 1 
stack 123:    503 
stack 124:    4 
stack 125:    505 
stack 126:    506 
stack 127:    507 
stack 128:    508 
stack 129:    9 
stack 130:    10 
stack 131:    11 511 
stack 132:    512 
stack 133:    513 
stack 134:    
stack 135:    15 515 
stack 136:    16 516 
stack 137:    517 17 
stack 138:    518 18 
stack 139:    19 519 
stack 140:    20 520 
stack 141:    21 
stack 142:    522 523 
stack 143:    
stack 144:    24 524 525 
stack 145:    532 135 41 758 25 
stack 146:    531 26 527 570 535 
stack 147:    544 971 930 640 529 
stack 148:    31 344 822 28 530 
stack 149:    835 693 29 38 369 
stack 150:    39 539 30 45 54 
stack 151:    209 47 958 533 351 
stack 152:    259 547 824 591 247 
stack 153:    779 168 35 730 430 
stack 154:    568 542 992 127 559 
stack 155:    185 540 978 613 977 
