solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 381,91 s
objective value: 628072.99

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    3 
stack 4:    
stack 5:    
stack 6:    6 
stack 7:    382 
stack 8:    383 
stack 9:    9 
stack 10:    
stack 11:    
stack 12:    
stack 13:    
stack 14:    14 
stack 15:    390 
stack 16:    391 
stack 17:    
stack 18:    
stack 19:    548 135 396 149 24 
stack 20:    482 20 399 30 22 
stack 21:    397 279 25 21 66 
stack 22:    416 90 141 346 697 
stack 23:    646 301 412 335 413 
stack 24:    740 535 40 258 403 
stack 25:    541 336 418 361 37 
stack 26:    466 658 295 575 401 
stack 27:    678 32 483 651 420 
stack 28:    239 28 574 445 732 
stack 29:    46 29 419 259 414 
stack 30:    634 406 35 423 156 
stack 31:    638 472 494 337 31 
stack 32:    489 596 436 47 580 
stack 33:    408 534 287 207 620 
stack 34:    292 52 648 624 200 
stack 35:    36 185 727 621 603 
stack 36:    417 428 310 251 43 
stack 37:    195 720 540 146 220 
stack 38:    730 38 524 739 562 
stack 39:    62 496 490 687 604 
stack 40:    191 102 444 60 340 
stack 41:    203 103 257 619 439 
stack 42:    465 274 553 58 365 
stack 43:    329 672 437 318 231 
stack 44:    667 147 227 495 738 
stack 45:    657 107 194 451 578 
stack 46:    746 454 356 626 75 
stack 47:    70 276 204 184 180 
stack 48:    631 447 441 261 206 
stack 49:    497 67 79 450 742 
stack 50:    139 565 115 268 344 
stack 51:    155 122 529 453 660 
stack 52:    566 108 703 280 598 
stack 53:    650 277 182 152 522 
stack 54:    614 508 296 647 460 
stack 55:    712 558 371 684 526 
stack 56:    659 537 245 449 214 
stack 57:    205 503 549 721 294 
stack 58:    690 299 176 502 114 
stack 59:    748 357 246 731 705 
stack 60:    567 219 517 87 556 
stack 61:    525 546 446 673 63 
stack 62:    162 281 724 674 613 
stack 63:    725 692 93 89 266 
stack 64:    132 306 729 519 367 
stack 65:    358 747 101 713 737 
stack 66:    129 531 343 686 557 
stack 67:    116 675 236 232 661 
stack 68:    570 313 94 456 505 
stack 69:    372 521 166 714 492 
stack 70:    530 212 199 298 664 
stack 71:    131 348 663 639 248 
stack 72:    605 138 189 265 288 
stack 73:    662 92 588 564 143 
stack 74:    572 550 289 303 452 
stack 75:    233 488 341 702 252 
stack 76:    134 278 589 320 197 
stack 77:    179 247 538 695 183 
stack 78:    190 126 555 711 198 
stack 79:    86 464 515 653 153 
stack 80:    211 685 719 481 642 
stack 81:    228 242 670 302 112 
stack 82:    573 347 485 644 652 
stack 83:    111 736 113 467 218 
stack 84:    563 510 334 689 284 
