solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 484,92 s
objective value: 628094.88

stacks (top to bottom):
stack 0:    
stack 1:    1 
stack 2:    377 
stack 3:    3 
stack 4:    
stack 5:    
stack 6:    6 
stack 7:    
stack 8:    8 
stack 9:    
stack 10:    
stack 11:    11 
stack 12:    
stack 13:    388 
stack 14:    
stack 15:    390 
stack 16:    
stack 17:    392 391 
stack 18:    394 393 
stack 19:    607 23 342 30 58 
stack 20:    686 535 409 20 479 
stack 21:    401 35 263 735 540 
stack 22:    117 407 235 708 210 
stack 23:    611 34 712 646 32 
stack 24:    109 551 427 514 228 
stack 25:    489 709 400 505 693 
stack 26:    135 311 305 731 184 
stack 27:    570 29 652 174 54 
stack 28:    699 273 28 127 736 
stack 29:    112 42 410 216 694 
stack 30:    630 205 415 315 413 
stack 31:    136 92 120 411 577 
stack 32:    698 510 556 412 37 
stack 33:    665 271 567 498 534 
stack 34:    79 98 734 495 278 
stack 35:    154 275 706 50 422 
stack 36:    195 481 732 568 83 
stack 37:    167 476 269 436 38 
stack 38:    710 747 371 430 417 
stack 39:    648 164 571 748 147 
stack 40:    253 364 247 52 65 
stack 41:    421 126 687 60 75 
stack 42:    701 128 420 363 629 
stack 43:    490 61 494 454 663 
stack 44:    555 369 536 56 467 
stack 45:    161 424 307 625 194 
stack 46:    183 705 295 288 441 
stack 47:    310 218 217 616 437 
stack 48:    159 318 456 208 474 
stack 49:    542 222 93 574 100 
stack 50:    361 340 478 267 429 
stack 51:    449 633 651 82 723 
stack 52:    480 141 146 707 452 
stack 53:    695 538 299 725 433 
stack 54:    434 257 344 163 529 
stack 55:    95 91 727 211 715 
stack 56:    496 63 69 173 277 
stack 57:    156 688 641 294 471 
stack 58:    291 591 73 130 697 
stack 59:    485 649 518 119 142 
stack 60:    302 77 113 605 553 
stack 61:    714 619 90 289 447 
stack 62:    172 632 199 438 569 
stack 63:    491 347 99 274 226 
stack 64:    659 108 350 655 497 
stack 65:    246 458 674 565 354 
stack 66:    372 348 165 260 550 
stack 67:    573 621 613 261 680 
stack 68:    96 635 579 365 335 
stack 69:    151 559 462 153 523 
stack 70:    546 102 700 170 718 
stack 71:    74 457 519 152 602 
stack 72:    524 351 175 468 743 
stack 73:    656 213 713 88 564 
stack 74:    187 587 341 114 304 
stack 75:    684 721 526 486 177 
stack 76:    728 615 121 740 604 
stack 77:    280 325 513 243 482 
stack 78:    515 582 137 662 266 
stack 79:    148 158 337 359 353 
stack 80:    225 563 539 696 279 
stack 81:    254 592 544 155 241 
stack 82:    196 689 501 374 590 
stack 83:    239 360 512 234 265 
stack 84:    333 643 251 356 240 
stack 85:    711 150 203 527 169 
stack 86:    472 103 576 87 140 
stack 87:    608 233 653 596 606 
stack 88:    681 483 329 620 511 
stack 89:    720 182 595 584 166 
stack 90:    375 0 
stack 91:    376 
stack 92:    2 
stack 93:    378 
stack 94:    379 4 
stack 95:    5 380 
stack 96:    
stack 97:    382 381 7 
stack 98:    383 
stack 99:    384 9 
stack 100:    10 385 
stack 101:    386 
stack 102:    387 12 
stack 103:    13 
stack 104:    14 389 
stack 105:    16 15 
stack 106:    
stack 107:    17 
stack 108:    22 18 
