solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 372,74 s
objective value: 692237.52

stacks (top to bottom):
stack 0:    375 0 
stack 1:    
stack 2:    377 
stack 3:    3 
stack 4:    379 
stack 5:    
stack 6:    
stack 7:    
stack 8:    
stack 9:    
stack 10:    
stack 11:    11 
stack 12:    
stack 13:    19 260 388 
stack 14:    389 635 23 561 395 15 297 
stack 15:    64 16 286 29 748 191 390 
stack 16:    391 537 398 129 312 337 562 
stack 17:    31 535 50 131 497 123 253 
stack 18:    427 220 394 414 477 403 393 
stack 19:    683 397 351 610 27 52 723 
stack 20:    244 234 268 235 461 627 55 
stack 21:    422 470 188 428 439 469 355 
stack 22:    676 672 522 552 658 573 632 
stack 23:    371 557 741 636 566 25 401 
stack 24:    267 527 48 703 87 367 326 
stack 25:    612 528 74 459 47 275 670 
stack 26:    413 146 489 177 558 315 514 
stack 27:    37 661 311 715 159 276 529 
stack 28:    587 154 202 106 72 467 76 
stack 29:    36 406 423 30 271 81 684 
stack 30:    61 121 80 95 412 370 660 
stack 31:    77 32 217 333 568 262 294 
stack 32:    232 410 637 577 51 615 483 
stack 33:    649 60 329 360 238 536 324 
stack 34:    66 415 631 688 62 448 34 
stack 35:    112 518 318 429 532 617 39 
stack 36:    43 99 46 675 195 551 571 
stack 37:    588 218 538 257 624 41 98 
stack 38:    710 38 366 126 190 104 224 
stack 39:    742 744 151 139 719 252 229 
stack 40:    434 369 673 40 373 714 145 
stack 41:    549 693 107 162 58 301 599 
stack 42:    630 343 141 613 472 255 237 
stack 43:    575 283 86 184 502 295 334 
stack 44:    643 444 150 419 102 722 604 
stack 45:    545 426 589 668 424 328 484 
stack 46:    228 94 499 198 214 207 316 
stack 47:    92 293 103 137 720 733 595 
stack 48:    67 556 176 585 49 203 170 
stack 49:    651 178 53 361 493 606 169 
stack 50:    314 674 682 321 488 365 291 
stack 51:    307 721 183 158 620 269 296 
stack 52:    54 737 607 243 335 109 362 
stack 53:    438 516 700 172 279 165 712 
stack 54:    468 345 122 697 100 526 550 
stack 55:    205 289 513 108 511 730 451 
stack 56:    368 263 690 305 213 652 199 
stack 57:    280 453 140 653 437 241 173 
stack 58:    554 726 364 725 344 82 491 
stack 59:    136 270 623 542 132 546 505 
stack 60:    231 230 671 266 648 436 540 
stack 61:    208 473 327 163 152 706 471 
stack 62:    578 336 157 592 127 464 124 
stack 63:    341 524 586 285 130 310 210 
stack 64:    189 520 372 507 113 641 478 
stack 65:    
stack 66:    1 
stack 67:    2 378 376 
stack 68:    
stack 69:    4 
stack 70:    380 5 
stack 71:    381 6 
stack 72:    382 7 
stack 73:    383 8 
stack 74:    384 9 
stack 75:    10 385 
stack 76:    386 
stack 77:    12 387 
stack 78:    560 227 633 440 13 496 245 
stack 79:    254 618 392 356 400 582 14 
stack 80:    596 63 272 201 602 603 348 
stack 81:    634 265 486 17 352 659 223 
stack 82:    18 70 28 559 508 396 425 
stack 83:    197 625 443 645 490 20 21 
stack 84:    219 105 399 707 342 407 663 
stack 85:    718 594 404 614 747 282 681 
stack 86:    605 677 290 22 616 421 411 
stack 87:    155 211 519 590 24 669 621 
stack 88:    118 749 44 246 281 418 445 
stack 89:    35 57 332 142 239 567 33 
stack 90:    698 466 402 300 462 447 600 
stack 91:    353 708 553 574 26 119 666 
stack 92:    79 215 458 288 68 405 222 
stack 93:    495 731 650 525 313 475 193 
stack 94:    320 694 609 322 435 303 501 
stack 95:    148 642 678 699 702 417 225 
stack 96:    408 161 530 75 420 455 576 
stack 97:    456 409 71 647 446 120 194 
stack 98:    565 116 256 711 729 531 593 
stack 99:    249 512 73 89 591 498 45 
stack 100:    317 90 180 187 509 432 597 
stack 101:    59 492 695 347 42 449 584 
stack 102:    196 689 430 581 233 240 746 
stack 103:    732 110 181 349 646 644 743 
stack 104:    192 69 739 331 727 521 517 
stack 105:    619 143 212 450 416 709 533 
stack 106:    358 494 179 323 506 171 85 
stack 107:    734 563 259 655 338 442 78 
stack 108:    656 569 543 206 696 96 665 
stack 109:    117 209 544 686 691 664 274 
stack 110:    740 339 639 503 264 679 704 
stack 111:    716 735 523 153 174 534 167 
stack 112:    555 480 539 515 250 134 431 
stack 113:    736 626 97 185 278 357 204 
stack 114:    476 717 83 346 125 662 487 
stack 115:    298 200 541 433 547 580 583 
stack 116:    84 687 350 363 657 701 168 
stack 117:    460 284 56 248 166 258 504 
stack 118:    93 340 638 88 374 156 548 
stack 119:    251 261 463 308 147 304 640 
stack 120:    306 667 299 579 287 111 452 
stack 121:    570 135 685 221 138 611 500 
stack 122:    629 598 454 738 160 164 692 
stack 123:    622 465 654 485 510 175 236 
stack 124:    277 479 457 728 474 273 572 
stack 125:    302 481 114 128 292 628 564 
stack 126:    482 724 149 325 216 330 91 
stack 127:    601 226 680 608 705 133 101 
stack 128:    242 65 745 309 144 186 359 
stack 129:    319 247 713 441 115 182 354 
