solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 370,20 s
objective value: 692259.33

stacks (top to bottom):
stack 0:    
stack 1:    1 
stack 2:    
stack 3:    3 2 
stack 4:    
stack 5:    5 
stack 6:    
stack 7:    
stack 8:    8 
stack 9:    
stack 10:    
stack 11:    
stack 12:    387 
stack 13:    388 389 
stack 14:    662 396 29 689 15 361 14 
stack 15:    174 398 49 736 531 649 17 
stack 16:    16 97 153 590 602 400 19 
stack 17:    392 404 485 154 304 523 445 
stack 18:    698 170 399 349 530 210 54 
stack 19:    623 516 406 140 675 512 637 
stack 20:    557 704 615 510 187 542 733 
stack 21:    186 44 332 670 105 353 556 
stack 22:    360 518 427 650 106 573 627 
stack 23:    96 51 176 143 23 299 570 
stack 24:    606 196 269 534 447 405 26 
stack 25:    124 209 328 454 213 42 450 
stack 26:    288 407 411 107 475 87 252 
stack 27:    483 36 301 486 277 27 65 
stack 28:    271 492 297 167 410 34 248 
stack 29:    267 223 43 742 302 666 55 
stack 30:    120 414 235 272 45 348 31 
stack 31:    575 612 730 476 561 664 56 
stack 32:    607 37 122 195 563 75 509 
stack 33:    459 48 314 61 641 464 130 
stack 34:    162 501 626 94 497 149 199 
stack 35:    467 473 137 35 38 648 193 
stack 36:    339 364 84 47 197 434 165 
stack 37:    58 266 564 41 729 281 68 
stack 38:    654 263 146 251 221 250 639 
stack 39:    688 53 340 220 347 74 290 
stack 40:    333 259 244 148 598 737 714 
stack 41:    419 585 635 718 336 593 342 
stack 42:    237 291 113 338 684 425 739 
stack 43:    99 152 313 462 576 532 596 
stack 44:    695 697 674 79 503 46 653 
stack 45:    141 335 748 192 258 734 227 
stack 46:    69 520 423 478 548 295 527 
stack 47:    738 572 632 716 90 273 164 
stack 48:    50 212 452 142 234 708 202 
stack 49:    554 569 177 85 470 625 103 
stack 50:    178 677 460 136 591 663 605 
stack 51:    567 91 329 592 189 439 285 
stack 52:    231 651 479 541 303 519 513 
stack 53:    330 665 117 586 601 435 155 
stack 54:    326 582 78 441 701 588 114 
stack 55:    728 437 366 93 584 624 487 
stack 56:    355 240 477 217 597 239 318 
stack 57:    725 566 125 242 108 265 60 
stack 58:    600 255 491 128 354 633 351 
stack 59:    359 630 721 216 712 535 286 
stack 60:    123 112 81 262 507 254 289 
stack 61:    552 67 172 283 101 171 88 
stack 62:    717 287 494 226 159 562 211 
stack 63:    488 540 310 373 337 461 311 
stack 64:    578 722 241 741 482 104 150 
stack 65:    375 0 
stack 66:    376 
stack 67:    377 
stack 68:    378 
stack 69:    379 4 
stack 70:    
stack 71:    380 381 
stack 72:    6 382 7 
stack 73:    383 
stack 74:    384 
stack 75:    9 10 385 
stack 76:    386 
stack 77:    13 12 11 
stack 78:    394 640 678 391 86 713 647 
stack 79:    443 236 98 481 628 166 402 
stack 80:    308 156 551 390 397 25 293 
stack 81:    669 420 320 260 691 18 543 
stack 82:    723 135 469 724 474 331 20 
stack 83:    692 76 616 393 22 395 200 
stack 84:    127 371 203 72 161 700 471 
stack 85:    218 40 524 468 82 343 683 
stack 86:    583 160 657 466 175 521 21 
stack 87:    30 358 24 168 744 204 436 
stack 88:    438 715 499 32 433 151 356 
stack 89:    594 401 456 658 39 506 207 
stack 90:    144 696 334 415 95 403 372 
stack 91:    322 225 538 184 28 416 208 
stack 92:    555 489 180 344 449 350 352 
stack 93:    367 261 345 673 661 163 57 
stack 94:    686 500 315 412 652 680 619 
stack 95:    614 77 426 553 707 33 319 
stack 96:    71 550 247 659 687 694 421 
stack 97:    300 446 121 560 409 710 194 
stack 98:    490 599 668 408 547 357 80 
stack 99:    511 451 158 233 100 188 418 
stack 100:    638 727 732 413 526 183 693 
stack 101:    458 66 278 369 224 316 545 
stack 102:    539 745 604 480 690 709 111 
stack 103:    428 703 63 568 455 685 245 
stack 104:    110 424 198 276 636 536 631 
stack 105:    324 448 671 133 430 191 444 
stack 106:    62 363 264 417 306 190 422 
stack 107:    634 611 374 109 173 603 676 
stack 108:    294 64 496 643 157 73 440 
stack 109:    621 222 219 201 432 145 115 
stack 110:    498 305 699 646 667 238 118 
stack 111:    243 571 574 682 558 731 529 
stack 112:    453 116 505 323 362 134 642 
stack 113:    321 431 549 528 493 740 711 
stack 114:    298 365 533 515 346 280 608 
stack 115:    589 735 508 546 502 102 613 
stack 116:    179 92 622 645 429 52 522 
stack 117:    312 618 147 70 581 463 214 
stack 118:    743 681 169 232 544 292 580 
stack 119:    620 230 59 457 726 274 257 
stack 120:    679 139 749 206 719 565 370 
stack 121:    185 296 341 495 720 746 656 
stack 122:    284 609 228 702 472 747 282 
stack 123:    442 249 138 617 465 629 215 
stack 124:    129 119 307 672 126 181 525 
stack 125:    559 644 368 705 706 268 317 
stack 126:    610 327 579 229 660 253 182 
stack 127:    132 655 279 504 256 577 131 
stack 128:    89 275 325 514 517 83 309 
stack 129:    246 595 270 205 537 484 587 
