solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 254.47 s
objective value: 255995.14

stacks (top to bottom):
stack 0:    250 
stack 1:    
stack 2:    
stack 3:    
stack 4:    254 
stack 5:    
stack 6:    6 
stack 7:    
stack 8:    8 
stack 9:    9 
stack 10:    260 
stack 11:    11 
stack 12:    
stack 13:    13 
stack 14:    14 
stack 15:    15 
stack 16:    19 
stack 17:    23 460 267 17 
stack 18:    268 56 105 35 
stack 19:    26 22 318 20 
stack 20:    185 34 414 374 
stack 21:    275 272 21 472 
stack 22:    381 347 286 309 
stack 23:    306 415 316 411 
stack 24:    423 315 224 277 
stack 25:    440 307 397 276 
stack 26:    343 473 410 301 
stack 27:    223 57 297 281 
stack 28:    390 368 313 85 
stack 29:    282 334 30 74 
stack 30:    221 476 54 283 
stack 31:    44 357 120 457 
stack 32:    404 451 295 171 
stack 33:    329 455 33 53 
stack 34:    205 75 114 285 
stack 35:    388 450 454 474 
stack 36:    449 99 349 333 
stack 37:    289 236 41 95 
stack 38:    298 222 448 431 
stack 39:    148 199 198 494 
stack 40:    43 66 322 422 
stack 41:    427 230 302 89 
stack 42:    442 330 468 226 
stack 43:    203 117 59 152 
stack 44:    177 51 139 445 
stack 45:    167 229 383 407 
stack 46:    303 210 437 118 
stack 47:    165 481 469 72 
stack 48:    310 441 128 240 
stack 49:    351 491 149 207 
stack 50:    384 50 141 477 
stack 51:    188 217 365 242 
stack 52:    327 142 153 429 
stack 53:    346 200 380 432 
stack 54:    60 488 86 214 
stack 55:    312 344 220 444 
stack 56:    233 119 126 421 
stack 57:    71 352 112 107 
stack 58:    373 446 129 184 
stack 59:    104 336 419 480 
stack 60:    213 61 490 393 
stack 61:    486 181 194 353 
stack 62:    320 360 321 180 
stack 63:    96 164 70 77 
stack 64:    425 91 370 452 
stack 65:    163 499 487 387 
stack 66:    395 478 191 215 
stack 67:    438 175 364 326 
stack 68:    155 84 94 122 
stack 69:    456 367 418 204 
stack 70:    492 127 106 162 
stack 71:    174 176 130 405 
stack 72:    109 73 123 323 
stack 73:    325 341 82 495 
stack 74:    158 428 244 493 
stack 75:    0 
stack 76:    1 252 251 
stack 77:    2 
stack 78:    3 253 
stack 79:    4 
stack 80:    5 255 
stack 81:    256 
stack 82:    7 257 
stack 83:    
stack 84:    258 259 
stack 85:    10 
stack 86:    261 
stack 87:    262 12 
stack 88:    263 
stack 89:    264 
stack 90:    266 265 
stack 91:    16 271 
stack 92:    471 42 279 58 
stack 93:    458 273 18 25 
stack 94:    470 269 31 81 
stack 95:    80 232 498 270 
stack 96:    88 28 280 68 
stack 97:    287 314 46 36 
stack 98:    24 274 27 161 
stack 99:    29 292 311 40 
stack 100:    245 145 409 32 
stack 101:    49 361 137 38 
stack 102:    426 284 294 196 
stack 103:    461 39 278 115 
stack 104:    305 382 398 296 
stack 105:    83 48 69 100 
stack 106:    239 52 293 386 
stack 107:    37 288 466 348 
stack 108:    496 87 378 342 
stack 109:    101 136 228 134 
stack 110:    337 396 47 150 
stack 111:    238 234 447 78 
stack 112:    211 430 249 79 
stack 113:    231 202 201 132 
stack 114:    187 372 459 366 
stack 115:    377 144 151 290 
stack 116:    475 291 304 125 
stack 117:    363 186 156 110 
stack 118:    45 379 354 178 
stack 119:    300 299 67 489 
stack 120:    482 143 235 93 
stack 121:    406 308 355 62 
stack 122:    408 484 131 183 
stack 123:    362 182 64 443 
stack 124:    399 172 133 433 
stack 125:    243 338 394 116 
stack 126:    160 319 340 146 
stack 127:    124 389 413 55 
stack 128:    166 154 193 463 
stack 129:    157 401 192 179 
stack 130:    102 113 358 324 
stack 131:    63 439 189 98 
stack 132:    335 190 168 218 
stack 133:    65 497 345 147 
stack 134:    479 464 434 385 
stack 135:    135 416 208 169 
stack 136:    402 170 76 317 
stack 137:    328 375 465 197 
stack 138:    392 462 227 103 
stack 139:    485 216 90 212 
stack 140:    248 391 356 339 
stack 141:    417 237 376 108 
stack 142:    467 241 412 403 
stack 143:    359 219 121 369 
stack 144:    138 225 173 420 
stack 145:    436 247 140 195 
stack 146:    97 350 400 159 
stack 147:    206 246 92 435 
stack 148:    453 483 332 371 
stack 149:    331 111 209 424 
