instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_225_4_00,LB,1800.0,-,161291.5,-,-,-,-,-
500_225_4_00,BinP,1800.0,1036.61,161325.58
500_225_4_00,GH,1800.0,0.01,278593.8
500_225_4_00,GH + TS,1800.0,3615.97,161325.58,117268.0,42.0,49.79,76,335
500_225_4_00,GH + HC,1800.0,751.85,161325.58,117268.0,42.0,76.467,92,442
500_225_4_01,LB,1800.0,-,161275.6,-,-,-,-,-
500_225_4_01,BinP,1800.0,1073.86,161315.74
500_225_4_01,GH,1800.0,0.00,280260.3
500_225_4_01,GH + TS,1800.0,3608.57,161315.74,118945.0,42.0,59.686,79,355
500_225_4_01,GH + HC,1800.0,846.0,161315.74,118945.0,42.0,120.397,143,493
500_225_4_02,LB,1800.0,-,161308.5,-,-,-,-,-
500_225_4_02,BinP,1800.0,959.86,161359.58
500_225_4_02,GH,1800.0,0.01,278442.3
500_225_4_02,GH + TS,1800.0,3612.76,161359.58,117083.0,42.0,53.755,86,366
500_225_4_02,GH + HC,1800.0,682.64,161365.64,117077.0,42.0,47.46,69,419
500_225_4_03,LB,1800.0,-,161315.66,-,-,-,-,-
500_225_4_03,BinP,1800.0,932.89,161358.24
500_225_4_03,GH,1800.0,0.00,276321.3
500_225_4_03,GH + TS,1800.0,3636.39,161358.24,114963.0,42.0,73.528,80,303
500_225_4_03,GH + HC,1800.0,1177.23,161370.36,114951.0,42.0,298.935,358,708
500_225_4_04,LB,1800.0,-,161274.34,-,-,-,-,-
500_225_4_04,BinP,1800.0,1061.67,161316.92
500_225_4_04,GH,1800.0,0.00,275830.44
500_225_4_04,GH + TS,1800.0,3608.95,161329.04,114501.0,42.0,59.93,91,395
500_225_4_04,GH + HC,1800.0,853.75,161325.42,114505.0,42.0,127.25,154,504
500_225_4_05,LB,1800.0,-,161331.56,-,-,-,-,-
500_225_4_05,BinP,1800.0,979.54,161382.64
500_225_4_05,GH,1800.0,0.00,276884.88
500_225_4_05,GH + TS,1800.0,3608.32,161385.08,115500.0,42.0,1586.579,300,324
500_225_4_05,GH + HC,1800.0,724.45,161382.64,115502.0,42.0,68.45,97,447
500_225_4_06,LB,1800.0,-,161274.5,-,-,-,-,-
500_225_4_06,BinP,1800.0,903.48,161302.52
500_225_4_06,GH,1800.0,0.00,279636.12
500_225_4_06,GH + TS,1800.0,3534.88,161304.96,118331.0,42.0,378.736,178,528
500_225_4_06,GH + HC,1800.0,1100.38,161302.52,118334.0,42.0,250.283,299,649
500_225_4_07,LB,1800.0,-,161297.4,-,-,-,-,-
500_225_4_07,BinP,1800.0,1091.35,161352.18
500_225_4_07,GH,1800.0,0.00,281751.06
500_225_4_07,GH + TS,1800.0,3605.29,161352.18,120399.0,43.0,91.802,85,386
500_225_4_07,GH + HC,1800.0,781.07,161352.18,120399.0,43.0,94.394,134,484
500_225_4_08,LB,1800.0,-,161303.54,-,-,-,-,-
500_225_4_08,BinP,1800.0,968.12,161349.82
500_225_4_08,GH,1800.0,0.00,275624.4
500_225_4_08,GH + TS,1800.0,3623.57,161349.82,114275.0,41.0,63.604,87,435
500_225_4_08,GH + HC,1800.0,701.42,161361.94,114262.0,41.0,54.426,72,422
500_225_4_09,LB,1800.0,-,161274.66,-,-,-,-,-
500_225_4_09,BinP,1800.0,939.29,161313.62
500_225_4_09,GH,1800.0,0.00,274666.92
500_225_4_09,GH + TS,1800.0,3609.0,161313.62,113353.0,41.0,65.155,78,318
500_225_4_09,GH + HC,1800.0,794.94,161313.62,113353.0,41.0,101.427,121,471
500_225_4_10,LB,1800.0,-,161282.92,-,-,-,-,-
500_225_4_10,BinP,1800.0,1026.75,161325.5
500_225_4_10,GH,1800.0,0.00,280636.02
500_225_4_10,GH + TS,1800.0,3601.59,161325.5,119311.0,43.0,53.852,94,367
500_225_4_10,GH + HC,1800.0,771.66,161329.12,119307.0,43.0,78.094,99,449
500_225_4_11,LB,1800.0,-,161257.5,-,-,-,-,-
500_225_4_11,BinP,1800.0,1072.88,161287.96
500_225_4_11,GH,1800.0,0.00,277024.26
500_225_4_11,GH + TS,1800.0,3603.04,161287.96,115736.0,42.0,59.736,79,377
500_225_4_11,GH + HC,1800.0,679.76,161296.46,115728.0,42.0,49.991,71,421
500_225_4_12,LB,1800.0,-,161291.42,-,-,-,-,-
500_225_4_12,BinP,1800.0,969.16,161347.3
500_225_4_12,GH,1800.0,0.00,277921.14
500_225_4_12,GH + TS,1800.0,3617.09,161347.3,116574.0,42.0,61.782,85,346
500_225_4_12,GH + HC,1800.0,690.5,161355.8,116565.0,42.0,52.05,69,419
500_225_4_13,LB,1800.0,-,161292.44,-,-,-,-,-
500_225_4_13,BinP,1800.0,931.39,161349.66
500_225_4_13,GH,1800.0,0.00,275060.82
500_225_4_13,GH + TS,1800.0,3629.23,161359.34,113701.0,41.0,92.421,91,364
500_225_4_13,GH + HC,1800.0,736.85,161361.78,113699.0,41.0,63.742,91,441
500_225_4_14,LB,1800.0,-,161319.44,-,-,-,-,-
500_225_4_14,BinP,1800.0,1095.90,161342.58
500_225_4_14,GH,1800.0,0.00,276497.04
500_225_4_14,GH + TS,1800.0,3611.11,161342.58,115154.0,42.0,55.202,74,323
500_225_4_14,GH + HC,1800.0,964.59,161345.02,115152.0,42.0,183.402,249,599
500_225_4_15,LB,1800.0,-,161295.04,-,-,-,-,-
500_225_4_15,BinP,1800.0,951.12,161320.62
500_225_4_15,GH,1800.0,0.00,280739.04
500_225_4_15,GH + TS,1800.0,3621.57,161320.62,119418.0,43.0,1200.37,295,409
500_225_4_15,GH + HC,1800.0,705.47,161320.62,119418.0,43.0,57.922,84,434
500_225_4_16,LB,1800.0,-,161262.3,-,-,-,-,-
500_225_4_16,BinP,1800.0,1114.15,161306.06
500_225_4_16,GH,1800.0,0.03,280429.98
500_225_4_16,GH + TS,1800.0,3638.49,161306.06,119124.0,42.0,55.705,64,357
500_225_4_16,GH + HC,1800.0,747.56,161306.06,119124.0,42.0,70.278,88,438
500_225_4_17,LB,1800.0,-,161299.84,-,-,-,-,-
500_225_4_17,BinP,1800.0,854.63,161333.92
500_225_4_17,GH,1800.0,0.00,279793.68
500_225_4_17,GH + TS,1800.0,3607.92,161336.36,118457.0,42.0,541.087,157,342
500_225_4_17,GH + HC,1800.0,718.65,161336.36,118457.0,42.0,58.091,72,422
500_225_4_18,LB,1800.0,-,161257.42,-,-,-,-,-
500_225_4_18,BinP,1800.0,972.80,161309.76
500_225_4_18,GH,1800.0,0.00,272236.86
500_225_4_18,GH + TS,1800.0,3602.39,161309.76,110927.0,41.0,1758.069,331,336
500_225_4_18,GH + HC,1800.0,713.29,161309.76,110927.0,41.0,60.13,70,420
500_225_4_19,LB,1800.0,-,161313.3,-,-,-,-,-
500_225_4_19,BinP,1800.0,964.32,161357.06
500_225_4_19,GH,1800.0,0.00,274297.26
500_225_4_19,GH + TS,1800.0,3631.82,161363.12,112934.0,41.0,721.761,188,326
500_225_4_19,GH + HC,1800.0,694.58,161357.06,112940.0,41.0,52.611,84,434
