instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_300_2_14,GH,1800.0,0.00,258546.1,-,-,-,-,-
500_300_2_14,GH + HC,1800.0,411.94,129740.86,127836.0,50.0,231.248,37,87
500_300_2_15,LB,1800.0,-,129749.36,-,-,-,-,-
500_300_2_15,BinP,1800.0,1180.38,129768.88,-,-,-,-,-
500_300_2_15,3Idx,1800.0,437.21,129768.88,-,-,-,-,-
500_300_2_15,GH,1800.0,0.00,264169.78,-,-,-,-,-
500_300_2_15,GH + HC,1800.0,383.85,129768.88,137734.0,51.0,208.543,36,86
500_300_2_16,LB,1800.0,-,129737.24,-,-,-,-,-
500_300_2_16,BinP,1800.0,1021.19,129761.56,-,-,-,-,-
500_300_2_16,3Idx,1800.0,892.41,129761.56,-,-,-,-,-
500_300_2_16,GH,1800.0,0.00,265351.48,-,-,-,-,-
500_300_2_16,GH + HC,1800.0,456.59,129761.56,132560.0,51.0,238.763,37,87
500_300_2_17,LB,1800.0,-,129703.16,-,-,-,-,-
500_300_2_17,BinP,1800.0,981.40,129720.24,-,-,-,-,-
500_300_2_17,3Idx,1800.0,379.43,129720.24,-,-,-,-,-
500_300_2_17,GH,1800.0,0.00,254928.28,-,-,-,-,-
500_300_2_17,GH + HC,1800.0,397.32,129720.24,127281.0,50.0,205.337,32,82
500_300_2_18,LB,1800.0,-,129714.18,-,-,-,-,-
500_300_2_18,BinP,1800.0,1286.04,129748.26,-,-,-,-,-
500_300_2_18,3Idx,1800.0,455.95,129748.26,-,-,-,-,-
500_300_2_18,GH,1800.0,0.00,258546.1,-,-,-,-,-
500_300_2_18,GH + HC,1800.0,405.82,129748.26,119035.0,48.0,237.602,38,88
500_300_2_19,LB,1800.0,-,129742.04,-,-,-,-,-
500_300_2_19,BinP,1800.0,1201.27,129762.74,-,-,-,-,-
500_300_2_19,3Idx,1800.0,489.86,129762.74,-,-,-,-,-
500_300_2_19,GH,1800.0,0.00,260491.36,-,-,-,-,-
500_300_2_19,GH + HC,1800.0,439.4,129762.74,129959.0,50.0,237.442,36,86
