solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 217,83 s
objective value: 255986.64

stacks (top to bottom):
stack 0:    0 
stack 1:    
stack 2:    
stack 3:    253 
stack 4:    
stack 5:    255 254 
stack 6:    6 
stack 7:    257 
stack 8:    
stack 9:    259 
stack 10:    10 
stack 11:    
stack 12:    
stack 13:    263 
stack 14:    
stack 15:    265 
stack 16:    
stack 17:    400 267 425 339 
stack 18:    26 27 268 325 
stack 19:    192 269 280 66 
stack 20:    21 274 220 279 
stack 21:    282 234 283 130 
stack 22:    426 272 117 290 
stack 23:    301 429 294 340 
stack 24:    24 395 89 219 
stack 25:    52 468 445 438 
stack 26:    238 157 34 298 
stack 27:    30 112 177 348 
stack 28:    42 278 64 160 
stack 29:    167 296 56 74 
stack 30:    289 82 70 209 
stack 31:    99 44 201 43 
stack 32:    33 55 303 86 
stack 33:    134 45 295 409 
stack 34:    51 169 174 38 
stack 35:    311 300 183 159 
stack 36:    128 79 224 291 
stack 37:    37 292 190 330 
stack 38:    385 101 299 139 
stack 39:    341 67 78 324 
stack 40:    344 320 345 498 
stack 41:    239 342 363 356 
stack 42:    309 452 484 102 
stack 43:    314 231 481 343 
stack 44:    405 135 236 96 
stack 45:    427 439 414 121 
stack 46:    93 415 497 124 
stack 47:    166 316 334 156 
stack 48:    378 163 247 65 
stack 49:    113 179 447 317 
stack 50:    95 162 449 360 
stack 51:    315 413 199 129 
stack 52:    475 194 63 490 
stack 53:    312 323 154 474 
stack 54:    147 195 137 433 
stack 55:    392 419 222 216 
stack 56:    442 313 138 235 
stack 57:    369 441 471 467 
stack 58:    188 319 123 143 
stack 59:    223 380 470 69 
stack 60:    142 243 446 386 
stack 61:    382 347 127 328 
stack 62:    404 126 430 145 
stack 63:    104 336 384 346 
stack 64:    242 217 83 443 
stack 65:    229 428 68 90 
stack 66:    478 245 153 106 
stack 67:    152 451 193 191 
stack 68:    110 198 218 120 
stack 69:    204 94 494 105 
stack 70:    375 240 131 144 
stack 71:    374 180 210 225 
stack 72:    408 432 132 403 
stack 73:    376 410 165 118 
stack 74:    416 457 226 476 
stack 75:    250 
stack 76:    251 1 
stack 77:    252 2 
stack 78:    3 
stack 79:    4 
stack 80:    5 
stack 81:    256 
stack 82:    258 7 
stack 83:    8 
stack 84:    9 
stack 85:    260 
stack 86:    11 261 
stack 87:    262 12 
stack 88:    13 
stack 89:    14 264 
stack 90:    15 
stack 91:    266 19 16 58 
stack 92:    17 463 284 107 
stack 93:    97 62 48 18 
stack 94:    22 487 306 230 
stack 95:    293 20 270 287 
stack 96:    273 25 271 420 
stack 97:    23 85 277 249 
stack 98:    164 36 50 88 
stack 99:    458 305 221 406 
stack 100:    32 29 332 275 
stack 101:    310 499 407 276 
stack 102:    47 444 496 28 
stack 103:    486 286 84 40 
stack 104:    158 92 281 98 
stack 105:    288 402 31 424 
stack 106:    187 435 333 41 
stack 107:    178 302 212 141 
stack 108:    149 308 331 329 
stack 109:    196 368 362 285 
stack 110:    350 35 103 297 
stack 111:    39 431 371 237 
stack 112:    171 357 57 49 
stack 113:    364 111 246 304 
stack 114:    469 399 465 338 
stack 115:    248 353 181 335 
stack 116:    53 244 125 461 
stack 117:    161 205 54 46 
stack 118:    176 155 182 489 
stack 119:    116 202 197 214 
stack 120:    72 185 462 456 
stack 121:    495 71 455 381 
stack 122:    464 412 485 80 
stack 123:    351 307 492 397 
stack 124:    440 109 421 215 
stack 125:    423 394 200 436 
stack 126:    352 448 146 480 
stack 127:    318 108 473 206 
stack 128:    100 358 60 327 
stack 129:    488 172 367 401 
stack 130:    454 133 77 450 
stack 131:    437 140 398 208 
stack 132:    228 227 417 388 
stack 133:    233 491 76 91 
stack 134:    59 393 189 322 
stack 135:    150 361 61 337 
stack 136:    477 151 168 213 
stack 137:    472 136 411 460 
stack 138:    359 119 366 396 
stack 139:    379 365 173 479 
stack 140:    81 186 493 422 
stack 141:    370 390 373 349 
stack 142:    466 391 87 148 
stack 143:    122 383 321 175 
stack 144:    372 114 453 377 
stack 145:    482 326 418 73 
stack 146:    203 115 387 207 
stack 147:    232 355 211 241 
stack 148:    170 483 184 434 
stack 149:    75 354 389 459 
