solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 386,01 s
objective value: 667303.06

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    
stack 4:    4 
stack 5:    380 
stack 6:    6 
stack 7:    
stack 8:    
stack 9:    9 
stack 10:    10 
stack 11:    11 
stack 12:    
stack 13:    
stack 14:    389 
stack 15:    157 315 32 36 473 17 
stack 16:    238 145 20 308 453 151 
stack 17:    176 403 77 47 18 626 
stack 18:    103 425 356 393 21 517 
stack 19:    38 260 520 46 724 69 
stack 20:    666 395 35 39 595 396 
stack 21:    739 404 80 638 407 338 
stack 22:    735 34 303 398 731 94 
stack 23:    728 202 209 49 67 25 
stack 24:    620 624 28 729 645 275 
stack 25:    710 31 29 136 250 295 
stack 26:    188 26 475 280 263 653 
stack 27:    362 300 494 654 452 439 
stack 28:    30 329 310 436 468 353 
stack 29:    58 538 490 540 561 107 
stack 30:    667 689 347 222 417 554 
stack 31:    616 242 647 600 266 539 
stack 32:    410 259 746 640 285 730 
stack 33:    448 420 218 109 437 699 
stack 34:    113 321 63 220 531 414 
stack 35:    663 358 662 101 350 686 
stack 36:    698 509 316 114 169 629 
stack 37:    313 623 52 190 214 143 
stack 38:    572 228 501 65 205 141 
stack 39:    140 211 158 172 252 70 
stack 40:    652 66 55 493 644 444 
stack 41:    682 335 675 692 268 307 
stack 42:    504 697 655 427 445 298 
stack 43:    150 235 748 734 596 57 
stack 44:    192 230 581 435 481 276 
stack 45:    528 156 463 423 586 286 
stack 46:    243 351 610 605 253 282 
stack 47:    487 661 593 294 289 54 
stack 48:    568 612 555 217 467 184 
stack 49:    111 471 646 88 317 237 
stack 50:    469 428 339 556 227 134 
stack 51:    440 565 529 100 454 577 
stack 52:    551 363 162 507 573 292 
stack 53:    186 433 632 613 438 604 
stack 54:    621 138 174 553 636 170 
stack 55:    309 254 617 466 723 664 
stack 56:    301 742 449 64 502 714 
stack 57:    602 557 131 326 648 281 
stack 58:    97 166 533 349 461 706 
stack 59:    506 656 703 582 705 331 
stack 60:    366 649 733 369 637 130 
stack 61:    606 532 550 464 547 346 
stack 62:    571 650 98 345 457 608 
stack 63:    182 477 580 200 607 684 
stack 64:    651 277 450 603 721 82 
stack 65:    125 499 179 492 584 333 
stack 66:    248 374 91 594 712 578 
stack 67:    525 147 348 579 508 181 
stack 68:    104 245 618 727 558 193 
stack 69:    619 458 601 89 537 117 
stack 70:    370 625 241 183 674 287 
stack 71:    173 112 146 562 701 474 
stack 72:    226 343 269 72 740 325 
stack 73:    105 566 512 212 197 599 
stack 74:    503 306 713 570 536 336 
stack 75:    0 1 375 
stack 76:    376 
stack 77:    2 377 
stack 78:    378 3 
stack 79:    379 
stack 80:    5 
stack 81:    7 381 
stack 82:    382 
stack 83:    383 8 
stack 84:    384 
stack 85:    385 
stack 86:    386 
stack 87:    12 
stack 88:    387 13 14 
stack 89:    388 
stack 90:    405 216 16 585 390 15 
stack 91:    391 24 635 33 244 716 
stack 92:    23 482 364 118 45 392 
stack 93:    489 451 19 328 408 68 
stack 94:    394 53 84 402 399 236 
stack 95:    148 27 726 360 160 352 
stack 96:    478 208 498 497 411 154 
stack 97:    239 412 22 359 397 441 
stack 98:    409 590 201 171 685 400 
stack 99:    246 416 48 717 86 406 
stack 100:    462 401 511 535 297 432 
stack 101:    415 261 232 159 355 93 
stack 102:    221 549 229 128 708 44 
stack 103:    40 251 634 592 99 42 
stack 104:    693 676 744 247 361 591 
stack 105:    312 745 194 219 322 133 
stack 106:    548 122 120 288 299 576 
stack 107:    371 711 102 50 37 704 
stack 108:    223 522 167 62 660 668 
stack 109:    249 424 164 542 185 486 
stack 110:    278 273 267 233 61 631 
stack 111:    302 510 421 678 206 224 
stack 112:    354 658 657 73 74 413 
stack 113:    418 642 488 419 680 465 
stack 114:    683 518 472 442 149 344 
stack 115:    567 559 589 198 279 614 
stack 116:    483 213 443 43 41 422 
stack 117:    447 110 431 633 430 108 
stack 118:    368 304 270 225 284 367 
stack 119:    342 628 79 709 639 161 
stack 120:    332 665 234 264 743 210 
stack 121:    256 165 153 51 434 81 
stack 122:    340 426 168 695 694 372 
stack 123:    123 500 330 291 274 324 
stack 124:    563 290 491 142 719 196 
stack 125:    456 671 598 696 519 725 
stack 126:    337 681 180 732 334 90 
stack 127:    83 677 271 672 690 484 
stack 128:    526 659 59 564 718 446 
stack 129:    737 429 470 722 177 314 
stack 130:    480 139 56 60 319 327 
stack 131:    320 127 78 207 132 569 
stack 132:    240 76 115 191 738 609 
stack 133:    560 588 479 116 530 615 
stack 134:    106 700 124 688 137 513 
stack 135:    702 673 119 460 92 455 
stack 136:    135 583 679 189 129 258 
stack 137:    204 715 195 231 71 720 
stack 138:    687 541 524 574 215 515 
stack 139:    736 365 707 747 544 630 
stack 140:    546 523 496 622 534 587 
stack 141:    741 126 341 203 545 187 
stack 142:    95 514 552 155 749 199 
stack 143:    669 670 305 627 641 121 
stack 144:    318 178 521 152 163 75 
stack 145:    476 265 144 175 85 643 
stack 146:    485 373 311 357 283 96 
stack 147:    87 255 495 262 257 459 
stack 148:    527 272 296 611 505 691 
stack 149:    543 575 323 597 516 293 
