solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 336,05 s
objective value: 667303.06

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    
stack 4:    4 
stack 5:    
stack 6:    381 
stack 7:    7 
stack 8:    
stack 9:    384 
stack 10:    
stack 11:    385 
stack 12:    12 387 
stack 13:    
stack 14:    13 
stack 15:    15 625 401 16 391 
stack 16:    537 205 512 106 25 451 
stack 17:    743 17 155 27 22 623 
stack 18:    71 20 395 664 297 18 
stack 19:    628 487 48 260 79 61 
stack 20:    489 659 52 298 504 329 
stack 21:    728 397 77 30 508 597 
stack 22:    632 398 521 400 208 115 
stack 23:    207 445 113 414 332 540 
stack 24:    420 181 291 443 552 587 
stack 25:    31 643 498 692 192 118 
stack 26:    511 26 472 289 716 431 
stack 27:    199 347 293 36 206 656 
stack 28:    28 621 137 737 403 520 
stack 29:    409 469 145 34 624 33 
stack 30:    701 51 70 372 109 610 
stack 31:    611 44 45 356 49 491 
stack 32:    458 85 348 163 423 158 
stack 33:    598 325 424 447 541 608 
stack 34:    686 746 342 322 682 662 
stack 35:    173 564 92 43 413 187 
stack 36:    153 267 183 705 344 90 
stack 37:    667 653 50 526 327 219 
stack 38:    678 166 574 254 374 418 
stack 39:    637 180 371 454 225 345 
stack 40:    583 726 673 467 76 566 
stack 41:    202 193 319 713 340 730 
stack 42:    154 250 655 684 557 501 
stack 43:    474 425 246 466 55 619 
stack 44:    710 251 53 718 666 127 
stack 45:    573 178 191 529 658 629 
stack 46:    296 532 224 82 370 339 
stack 47:    470 497 263 147 196 724 
stack 48:    463 550 711 452 530 669 
stack 49:    140 542 170 544 304 620 
stack 50:    88 727 600 84 264 367 
stack 51:    616 239 449 427 538 78 
stack 52:    430 274 434 681 721 135 
stack 53:    312 59 429 706 188 107 
stack 54:    437 97 100 195 697 722 
stack 55:    670 220 213 677 719 234 
stack 56:    533 565 433 603 510 301 
stack 57:    647 586 244 229 546 86 
stack 58:    272 534 307 464 275 336 
stack 59:    306 523 122 652 257 241 
stack 60:    277 130 320 708 481 676 
stack 61:    558 349 459 720 63 93 
stack 62:    594 554 453 687 261 112 
stack 63:    569 518 747 440 141 490 
stack 64:    359 266 714 148 596 171 
stack 65:    545 590 142 126 184 210 
stack 66:    143 660 223 159 294 563 
stack 67:    551 198 602 162 302 740 
stack 68:    580 218 295 368 83 80 
stack 69:    641 639 736 105 484 265 
stack 70:    243 650 473 360 321 500 
stack 71:    712 486 337 626 613 269 
stack 72:    200 595 121 516 110 696 
stack 73:    211 174 694 114 589 281 
stack 74:    346 305 253 642 309 361 
stack 75:    375 0 
stack 76:    1 376 
stack 77:    377 2 
stack 78:    378 3 
stack 79:    379 
stack 80:    380 5 
stack 81:    6 
stack 82:    382 
stack 83:    8 
stack 84:    9 
stack 85:    383 10 
stack 86:    386 11 
stack 87:    
stack 88:    388 
stack 89:    389 14 390 
stack 90:    151 402 408 617 37 39 
stack 91:    703 517 393 560 314 19 
stack 92:    116 259 411 42 392 422 
stack 93:    396 609 287 635 399 477 
stack 94:    612 271 527 571 394 326 
stack 95:    460 405 35 24 475 23 
stack 96:    21 233 103 636 416 417 
stack 97:    194 579 330 406 404 465 
stack 98:    139 227 47 426 94 644 
stack 99:    270 311 284 704 283 282 
stack 100:    685 179 419 87 584 592 
stack 101:    630 547 698 562 276 238 
stack 102:    561 58 152 407 734 575 
stack 103:    665 32 351 350 585 535 
stack 104:    578 549 29 555 442 553 
stack 105:    286 201 362 69 448 615 
stack 106:    525 249 421 41 262 576 
stack 107:    226 410 123 435 522 674 
stack 108:    604 446 648 627 124 505 
stack 109:    108 247 292 167 528 235 
stack 110:    164 317 221 614 634 683 
stack 111:    428 412 513 300 492 38 
stack 112:    156 732 548 353 40 745 
stack 113:    185 680 111 60 363 577 
stack 114:    303 209 217 222 242 328 
stack 115:    733 101 570 131 599 415 
stack 116:    258 495 231 338 203 189 
stack 117:    605 483 324 717 67 507 
stack 118:    679 723 640 197 268 308 
stack 119:    128 313 478 749 689 354 
stack 120:    690 572 157 169 479 556 
stack 121:    358 606 133 65 46 182 
stack 122:    444 582 741 248 663 120 
stack 123:    104 436 232 480 441 96 
stack 124:    132 64 177 333 256 134 
stack 125:    633 89 471 176 438 245 
stack 126:    352 343 618 56 519 214 
stack 127:    455 476 601 54 161 237 
stack 128:    657 457 149 432 748 117 
stack 129:    316 57 622 318 651 649 
stack 130:    62 136 509 675 672 742 
stack 131:    700 702 738 75 671 315 
stack 132:    323 364 731 285 168 631 
stack 133:    331 739 707 744 725 559 
stack 134:    568 278 279 531 138 160 
stack 135:    461 439 593 638 456 591 
stack 136:    310 482 215 98 335 66 
stack 137:    499 74 236 688 288 729 
stack 138:    588 488 341 607 150 715 
stack 139:    68 493 334 506 515 212 
stack 140:    693 99 91 581 536 485 
stack 141:    373 543 186 119 735 366 
stack 142:    299 494 450 645 503 280 
stack 143:    567 95 175 172 102 146 
stack 144:    273 369 357 654 355 365 
stack 145:    502 468 216 290 240 699 
stack 146:    646 230 72 709 204 462 
stack 147:    129 165 496 524 539 514 
stack 148:    190 661 668 255 73 228 
stack 149:    125 144 81 252 691 695 
